ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-223454.57314893242,-97875.5242088287,30.48000030449081,32.91570944848326,-97.02596414511564,100.0,0.3,198.38,2414.0,64.25,124.0,66176.0
70.0,-217101.6041632287,-94811.50194757099,888.2172272758395,32.9445521920157,-96.95865525121819,2914.0,0.4727,309.53,2286.0,64.14,111.53,66064.0
140.0,-207151.11224442665,-89988.93123810805,1700.6315222006451,32.98986635929636,-96.85314824485295,5579.0,0.4917,318.95,2115.0,64.16,107.19,65957.0
210.0,-196888.22590412974,-85019.25735827435,2452.293773195039,33.03647160216336,-96.74421458294123,8046.0,0.5102,328.03,1965.0,64.2,102.99,65854.0
280.0,-186323.1218264779,-79911.24790784153,3150.64992785844,33.084278431687586,-96.63195120521387,10337.0,0.53,337.9,1832.0,64.25,99.02,65755.0
350.0,-175429.56841837603,-74656.50028412773,3801.817231518668,33.13335776785396,-96.51606779191094,12473.0,0.5521,349.21,1738.0,64.31,95.86,65659.0
420.0,-164160.97464929766,-69236.70636851259,4419.501131240077,33.18387134289387,-96.39605571392973,14500.0,0.574,360.28,1647.0,64.39,92.8,65567.0
490.0,-152523.79053269554,-63658.5656218277,5004.6726490309,33.23574615707755,-96.27196982822637,16420.0,0.5957,371.16,1558.0,64.48,89.86,65477.0
560.0,-140522.5675970983,-57929.00763068173,5558.175854167349,33.288907214131875,-96.14384462001952,18235.0,0.6173,381.86,1471.0,64.58,87.03,65390.0
630.0,-128161.21884997943,-52054.80281443263,6080.807301254182,33.343280780224774,-96.01170781189303,19950.0,0.6387,392.43,1386.0,64.7,84.33,65305.0
700.0,-115442.15844424495,-46041.98690842823,6573.255400151652,33.398799626736995,-95.8755711767196,21566.0,0.6599,402.87,1303.0,64.83,81.77,65224.0
770.0,-102367.63329069641,-39897.18483740249,7036.224263359993,33.45539091729056,-95.73544466905055,23085.0,0.6811,413.22,1221.0,64.96,79.33,65144.0
839.0,-88938.9576169869,-33624.662397694214,7470.305773095241,33.51300277806243,-95.59132853391218,24509.0,0.7022,423.58,1141.0,65.1,77.05,65067.0
909.0,-75155.10926126047,-27226.87789768007,7875.914047756689,33.57159938289808,-95.44319792953156,25840.0,0.7233,433.85,1063.0,65.24,74.93,64992.0
979.0,-61017.89173932794,-20706.654194952145,8253.64100426955,33.631140971091014,-95.29105832492723,27079.0,0.7444,444.23,985.0,65.38,72.93,64919.0
1049.0,-46523.70612503183,-14063.180521277143,8603.651288563211,33.69162034782535,-95.13485692764691,28227.0,0.7658,454.75,906.0,65.51,71.05,64848.0
1119.0,-31666.884302245726,-7295.615527725989,8925.709520928009,33.75303000846417,-94.97451811086465,29284.0,0.7701,455.25,406.0,65.64,60.0,64788.0
