ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-223454.573249059,-97875.52432562472,30.48000000550984,32.915709447412596,-97.02596414615931,100.0,0.3,198.38,2414.0,64.25,107.43,66193.0
61.0,-217946.663317791,-95219.07217341861,773.6299224552635,32.94071766440772,-96.96761107379567,2538.0,0.3914,256.64,2483.0,75.76,101.71,66091.0
121.0,-210259.82918786423,-93268.63524958097,1538.0048577709838,32.95978011617807,-96.8857122316538,5046.0,0.4542,295.22,2160.0,60.76,94.15,65997.0
182.0,-202279.86469104016,-88801.90845669883,2203.132695768937,33.001464800353745,-96.80119648407825,7228.0,0.5615,362.09,1660.0,45.76,86.47,65910.0
242.0,-194223.9833188418,-80957.6132331968,2714.311849819361,33.073470897856616,-96.7165108154852,8905.0,0.6204,397.65,1160.0,30.76,80.7,65830.0
303.0,-187898.50832715767,-70330.68097421834,3071.542317341543,33.170135304065184,-96.65084932909706,10077.0,0.6706,427.92,660.0,28.5,76.16,65753.0
364.0,-181540.4630004221,-58620.8992498843,3274.824099906287,33.27650737731852,-96.58491443292604,10744.0,0.676,430.31,663.0,42.63,75.67,65678.0
424.0,-172466.06387296593,-48762.48049929761,3479.0692374129762,33.366643738036835,-96.4892148186892,11414.0,0.6814,432.71,667.0,57.63,75.19,65603.0
485.0,-161086.39747951474,-41548.71844079831,3684.2875852707884,33.43328117778753,-96.36799582012446,12088.0,0.6869,435.11,670.0,72.63,74.69,65528.0
545.0,-148156.3277592535,-37503.79243432348,3890.489611310924,33.47152653787999,-96.22934581114998,12764.0,0.6925,437.5,673.0,87.63,74.17,65454.0
606.0,-134545.57770808262,-36940.162773158736,4097.685825482907,33.47840123719103,-96.08270649397849,13444.0,0.6981,439.89,676.0,97.09,73.65,65380.0
667.0,-120953.5339131685,-38629.978631908256,4305.887782186068,33.46483733594256,-95.93593985373504,14127.0,0.7037,442.28,680.0,112.09,73.13,65307.0
727.0,-108193.38805750565,-43807.9302887875,4515.107553407805,33.419648828083346,-95.79776272460668,14813.0,0.7093,444.65,683.0,100.84,72.59,65234.0
788.0,-94595.93758194098,-46411.169499004114,4725.357999345392,33.39753273694025,-95.65098652895938,15503.0,0.7149,447.01,686.0,89.91,72.04,65162.0
849.0,-80678.30305703597,-46389.510581068906,4936.652590571889,33.39887127426357,-95.501074625091,16196.0,0.7206,449.35,690.0,85.92,71.49,65091.0
909.0,-66723.41316689178,-45394.297073850496,5149.005794967368,33.40878558308739,-95.35082980581741,16893.0,0.7263,451.67,693.0,70.92,70.92,65020.0
970.0,-53433.58105165304,-40797.675840114476,5362.433058972681,33.45087184297605,-95.20793216347539,17593.0,0.732,453.96,697.0,55.92,70.35,64949.0
1030.0,-41727.37416339699,-32878.1699122594,5576.950877057944,33.522615473682,-95.08212897344275,18297.0,0.7376,456.22,700.0,54.17,69.76,64880.0
1091.0,-30211.831686402034,-24563.59065753684,5792.577002451399,33.59777916724431,-94.95818897344493,19005.0,0.7433,458.43,704.0,54.42,69.16,64811.0
1152.0,-18604.616876817046,-16258.57199565621,6009.330554830414,33.67273465205893,-94.83304204306813,19716.0,0.7489,460.61,708.0,65.1,68.56,64742.0
1212.0,-5598.117541523474,-10220.331800815515,6227.232203941182,33.7271864455347,-94.69252814449632,20431.0,0.7545,462.72,712.0,76.24,67.95,64674.0
