ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-107242.29898121966,-353962.06940673635,30.480000000743406,32.915715076290056,-97.0259498186554,100.0,0.1818,120.21,1303.0,15.55,166.88,66133.0
92.0,-105738.71807567318,-348560.31864995795,636.0229369628671,32.96444355735754,-97.01049130728607,2087.0,0.2042,134.09,1443.0,21.62,165.33,65968.0
183.0,-103435.14315111515,-342748.02719131426,1306.6550907871222,33.01694218708294,-96.98648841338122,4287.0,0.2283,148.78,1543.0,6.62,162.88,65805.0
275.0,-102635.38144629382,-335856.77462602966,2023.920170447131,33.078990150189824,-96.97871135430077,6640.0,0.2766,178.73,1788.0,351.62,157.79,65647.0
366.0,-103849.50399752289,-327615.01335553435,2855.1704905209594,33.15298100522975,-96.99270124140598,9367.0,0.3638,232.8,2037.0,336.62,147.29,65500.0
458.0,-108156.87611986035,-317651.79361631075,3802.2285183146055,33.242129444971994,-97.04016678190298,12475.0,0.5638,356.62,1693.0,351.62,124.27,65376.0
549.0,-110588.76525597998,-301143.5257883594,4589.032545079609,33.39031585809087,-97.06838031657777,15056.0,0.6536,409.37,1193.0,356.04,114.1,65261.0
641.0,-111913.21489364463,-281995.06008108024,5143.4257525194635,33.562357570685734,-97.08509307643246,16875.0,0.7257,451.36,693.0,355.95,107.13,65154.0
732.0,-113411.43324756376,-260847.89175186574,5465.408622410521,33.75234962622097,-97.10402189458378,17931.0,0.7343,454.78,698.0,356.16,105.8,65049.0
824.0,-114843.02293654368,-239535.60657808502,5789.8915551338205,33.94383033922136,-97.12234533888905,18996.0,0.7428,458.13,704.0,356.4,104.47,64944.0
915.0,-116193.98672475657,-218061.57256340212,6116.93870827877,34.136771347040835,-97.13990833073217,20069.0,0.7512,461.36,709.0,357.5,103.06,64841.0
1007.0,-117139.1712574332,-196414.6418797315,6446.622135949428,34.33131114371138,-97.1531684416347,21150.0,0.7595,464.45,715.0,359.73,101.65,64739.0
1098.0,-117242.29600287763,-174602.76767120743,6779.023062023735,34.527430960852925,-97.15733399843026,22241.0,0.7677,467.37,721.0,360.0,100.18,64639.0
1190.0,-117242.29615247743,-152654.31878983634,7114.1931962837225,34.72479067990524,-97.16042041738216,23341.0,0.7756,470.07,406.0,360.0,90.88,64548.0
1281.0,-117242.29725420068,-130555.92152808342,7302.858151780292,34.92349855285855,-97.16355312356642,23960.0,0.78,471.56,41.0,360.0,80.79,64468.0
1373.0,-117242.2976052545,-108361.76079532724,7321.938631172056,35.12306734914035,-97.1667250943024,24022.0,0.7808,471.88,541.0,0.0,93.14,64374.0
1464.0,-117242.29755270809,-86188.58227920858,7573.421881994174,35.322447297219455,-97.16992003675604,24847.0,0.7863,473.63,732.0,360.0,96.46,64278.0
1556.0,-117242.29793859964,-63948.089318919956,7913.867428671803,35.52243235537729,-97.17315102553637,25964.0,0.7932,475.58,734.0,0.0,94.75,64183.0
1647.0,-117242.2955712306,-41616.75768187805,8255.032088300815,35.72323404910103,-97.17642198884079,27083.0,0.7994,477.03,697.0,15.0,92.07,64091.0
1739.0,-111444.22204965517,-19978.044527629463,8579.068680525508,35.91848757439352,-97.11523704868519,28147.0,0.8044,477.85,197.0,25.92,78.0,64013.0
1830.0,-101617.78230185862,239.07354368253166,8670.72298102318,36.10135839871771,-97.00873228589705,28447.0,0.806,478.17,36.0,28.16,73.46,63940.0
1922.0,-90996.3314347187,20080.448870874658,8687.50171761786,36.28083370621847,-96.89282530271294,28502.0,0.8067,478.45,28.0,29.0,73.17,63866.0
2013.0,-80078.59413805955,39776.50200282548,8700.439186249458,36.458917577111485,-96.77306361290317,28545.0,0.8073,478.74,24.0,29.36,73.02,63793.0
2105.0,-69030.4829339353,59415.56261213449,8711.553799421468,36.63638127274269,-96.65129180160406,28581.0,0.8079,479.03,32.0,29.57,73.17,63720.0
2196.0,-57904.79756802778,79025.60306405122,8726.61080696781,36.81346738465166,-96.52809159655408,28631.0,0.8085,479.31,30.0,29.68,73.05,63647.0
2288.0,-46735.14999625223,98626.43301428155,8740.49374531854,36.990348376249436,-96.40383202981972,28676.0,0.8092,479.6,34.0,29.74,73.09,63574.0
2379.0,-35537.05377452992,118226.27208936389,8756.261347749722,37.16709466843823,-96.27867962669673,28728.0,0.8099,479.89,24.0,29.77,72.77,63501.0
2471.0,-24322.157111064444,137832.9329228458,8767.583493430742,37.34377380897554,-96.15275822817449,28765.0,0.8105,480.18,99.0,29.82,74.59,63427.0
2562.0,-13084.351734922102,157435.6426773767,8813.775161519678,37.52028696503189,-96.02599070094114,28917.0,0.8115,480.47,351.0,29.84,80.56,63346.0
2654.0,-1844.2031082774492,177030.50374819513,8976.7623796631,37.69659675900287,-95.89860296576022,29451.0,0.8136,480.64,-149.0,29.84,67.24,63279.0
2745.0,9417.469423053031,196665.59139551414,8907.345570399257,37.87313377220372,-95.77036988346815,29224.0,0.8135,481.01,-649.0,29.8,55.14,63224.0
2837.0,20693.847414374624,216353.0957002984,8605.518460652078,38.05000548473281,-95.64135905788093,28233.0,0.8102,481.12,-1149.0,29.79,44.46,63179.0
2928.0,31985.98995131847,236074.50888041477,8071.280709280003,38.22704332786529,-95.51154911356129,26481.0,0.8017,479.6,-1649.0,29.86,35.13,63144.0
3020.0,43277.71790043858,255745.52123797368,7304.6322496371595,38.403487698454754,-95.38112136210422,23965.0,0.7858,475.03,-2149.0,29.83,26.94,63117.0
3111.0,54465.633068873394,275253.81075604534,6305.573122029672,38.578333047300546,-95.2512694825561,20688.0,0.7615,466.54,-2500.0,29.56,22.74,63095.0
3203.0,65367.607651710154,294474.404505499,5143.518819990538,38.750470824228714,-95.12411453614426,16875.0,0.7309,454.59,-2500.0,28.9,25.87,63069.0
3294.0,75770.3569753226,313318.45940052666,3981.464492598783,38.91912878570029,-95.00216136028213,13063.0,0.6795,428.82,-2500.0,26.74,23.08,63046.0
3386.0,84903.60852319427,331444.38455887005,2819.410175855813,39.08132348241304,-94.89442348777374,9250.0,0.4795,306.93,-2500.0,39.17,12.98,63033.0
3477.0,94063.8827390404,342687.5072986028,1657.3560432096617,39.18152584393692,-94.78682136405321,5438.0,0.2795,181.4,-2000.0,24.17,14.89,63018.0
3569.0,97558.79763219677,350474.46648574615,727.712613389315,39.251179716800195,-94.74519210452702,2388.0,0.159,104.33,-1500.0,15.55,16.86,63001.0
3660.0,98867.93159374892,355177.648967464,30.480000000421125,39.293330000040136,-94.72931999997012,100.0,0.0386,25.49,-1000.0,6.94,168.61,62832.0
