ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-107242.29897943926,-353962.0693879936,30.479999999999166,32.915715076458774,-97.0259498186386,100.0,0.245,161.99,1730.0,15.55,186.55,66113.0
106.0,-104892.26245765627,-345519.35006156756,964.6949604950579,32.99187490007217,-97.0017813036052,3165.0,0.445,291.12,1232.0,0.56,135.29,65978.0
213.0,-104738.7433839508,-329673.1746331766,1629.7965072057168,33.13438352257361,-97.00200498533363,5347.0,0.645,418.72,732.0,353.79,144.39,65834.0
319.0,-107209.7049767743,-306963.00692490296,2025.1072035016716,33.338344420422466,-97.03128909707891,6644.0,0.6556,423.65,232.0,353.65,128.99,65705.0
425.0,-109770.69025218982,-283952.57808668417,2150.4735338069017,33.544987469314286,-97.06173231040682,7055.0,0.6575,424.24,-76.0,358.74,118.81,65586.0
532.0,-110279.82490218649,-260749.93619847184,2109.440178434569,33.75357424242249,-97.07017373784383,6921.0,0.6571,424.19,205.0,13.74,127.54,65458.0
638.0,-104772.09152402017,-238229.55830424713,2220.0080610864675,33.956664258559144,-97.01336277482794,7283.0,0.6588,424.73,-293.0,28.74,111.55,65347.0
744.0,-93591.38306653108,-217843.71382605925,2061.830715303017,34.141075572521245,-96.89440880706833,6765.0,0.6568,424.21,207.0,35.31,127.95,65219.0
850.0,-80190.53263336708,-198923.81199806696,2173.590329269915,34.31236734859195,-96.75062163330614,7131.0,0.6253,403.37,707.0,49.15,133.59,65085.0
957.0,-63543.87871030533,-184528.2490708741,2555.329943273071,34.44301218950908,-96.57049327125931,8384.0,0.4253,273.12,1207.0,47.23,129.35,64956.0
1063.0,-52632.38178110932,-174433.97350457503,3207.043772451672,34.53442059736059,-96.45215603934253,10522.0,0.2253,143.56,1048.0,32.23,183.34,64773.0
1169.0,-48470.36720802158,-167832.45007386807,3772.975919740596,34.593997951427774,-96.40710882351823,12379.0,0.2305,145.84,933.0,17.23,179.81,64593.0
1276.0,-46119.602722238575,-160253.0495716215,4276.8300210380785,34.66227069246662,-96.38185000722156,14032.0,0.2512,157.94,996.0,2.23,174.6,64418.0
1382.0,-45784.77591073262,-151667.5709900079,4814.7149494579235,34.73949550277863,-96.3786625827045,15796.0,0.4512,281.77,1496.0,353.0,137.06,64281.0
1488.0,-47650.47190849096,-136471.3077749758,5622.606727015694,34.8760683366464,-96.39995370840515,18447.0,0.5784,357.54,1657.0,0.29,135.16,64146.0
1595.0,-47552.352755287255,-117051.32837904706,6517.516868650794,35.0507170684024,-96.40000151218358,21383.0,0.4927,300.98,1595.0,14.46,136.34,64010.0
1701.0,-43472.25330976325,-101224.11701034427,7378.7156916983695,35.193238999250354,-96.35602501201438,24208.0,0.6927,418.31,1224.0,29.45,118.13,63892.0
1807.0,-32277.365292043836,-81400.66671932864,8039.64318907312,35.37194228370751,-96.23362279096344,26377.0,0.7975,477.29,732.0,44.45,109.18,63782.0
1914.0,-14047.936811098447,-62820.411052004136,8435.11418261513,35.539466752877985,-96.03289922500508,27674.0,0.8044,478.83,712.0,42.07,106.19,63676.0
2020.0,3449.612024291638,-43434.256972669165,8819.713404997767,35.71390518649511,-95.8394380088172,28936.0,0.8099,479.46,212.0,27.07,89.55,63587.0
2126.0,15372.624832032834,-20103.359746808685,8934.370705812424,35.923609659906866,-95.70692530819059,29312.0,0.8116,479.69,-287.0,12.07,74.27,63512.0
2233.0,20863.90809730146,5579.288213316751,8779.52804859402,36.15447622841781,-95.64526076528269,28804.0,0.8106,480.14,-598.0,358.48,66.24,63446.0
2339.0,20165.594042732824,31887.52519243019,8456.402328181275,36.39108574093651,-95.65235777451926,27744.0,0.8068,480.06,-390.0,354.68,74.49,63372.0
2445.0,17729.17990476495,58067.34836040644,8245.621459520291,36.626573603185676,-95.67897551164647,27053.0,0.8038,479.71,-73.0,339.68,85.08,63287.0
2551.0,8617.291574918989,82677.82797826226,8206.345233829232,36.848025742341854,-95.78080388343294,26924.0,0.8036,479.84,-572.0,324.68,70.85,63216.0
2658.0,-6585.066182983123,104135.59679615697,7897.185112198751,37.041016156596164,-95.95183443766979,25909.0,0.7982,478.64,-73.0,323.58,87.28,63128.0
2764.0,-22131.10517816319,125205.64583840403,7857.886752609331,37.23026827676973,-96.12760078368174,25780.0,0.6164,369.85,427.0,338.58,84.0,63044.0
2870.0,-29506.75942592078,144005.09826783062,8088.457486502186,37.39913344504817,-96.21164662565482,26537.0,0.4164,249.07,926.0,353.49,125.17,62919.0
2977.0,-31045.66357718736,157483.2989066087,8588.811647423212,37.52029522432195,-96.22963032084306,28179.0,0.4331,257.23,807.0,6.49,117.56,62802.0
3083.0,-29461.197287371586,171411.9302576157,9024.813010148639,37.64560803576719,-96.21222253195565,29609.0,0.4855,286.58,307.0,10.52,84.6,62717.0
3189.0,-26604.068391787463,186802.9359116937,9190.87202120934,37.784106740174394,-96.18033373452863,30154.0,0.5217,307.23,-192.0,21.59,58.19,62659.0
3296.0,-20417.31547845097,202438.65681627096,9086.944685704693,37.92487662011167,-96.11038175374709,29813.0,0.6983,411.83,-692.0,35.48,46.07,62613.0
3402.0,-7312.559608655413,220827.3147049706,8713.016448569286,38.090444051990545,-95.96118649619103,28586.0,0.8155,483.53,-1192.0,37.86,50.42,62562.0
3508.0,8987.002207509213,241792.86735164217,8069.080070116494,38.278976973189465,-95.7747120662605,26473.0,0.8047,481.42,-1692.0,40.35,40.43,62522.0
3615.0,26130.961876898826,261972.92393479348,7155.132922939206,38.4601347041744,-95.57761505294542,23475.0,0.7847,475.32,-2192.0,49.3,31.67,62490.0
3721.0,45976.4088213268,279040.2502588724,5971.175326591297,38.61284693650418,-95.34865023915111,19590.0,0.7546,464.33,-2500.0,34.3,28.34,62462.0
3827.0,60393.883986085115,300172.1804553281,4621.0181453251225,38.802050468479145,-95.18095669652593,15161.0,0.7181,449.59,-2500.0,34.22,32.44,62430.0
3934.0,74318.51522034971,320645.7509353468,3270.8571155483555,38.98513945550349,-95.01815326693006,10731.0,0.6077,386.84,-2500.0,45.55,14.73,62415.0
4040.0,89515.84506796711,335551.6979085731,1920.7037122816807,39.117816856945716,-94.84048438691191,6302.0,0.4077,263.75,-2000.0,30.55,16.07,62399.0
4146.0,96875.0173421379,348017.9238438799,840.576771088396,39.229163136826244,-94.7534747578679,2758.0,0.2077,136.05,-1500.0,15.55,18.79,62380.0
4252.0,98867.93158787623,355177.64896517573,30.48000000001143,39.2933300000202,-94.72932000003865,100.0,0.0077,5.06,-1000.0,0.55,195.9,62184.0
