ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-732476.5497403834,274584.9341654813,30.48000030351832,32.91568427353994,-97.02598252964194,100.0,0.3,198.38,2414.0,104.16,333.93,65966.0
188.0,-714214.8379202117,269976.24600100925,2340.424818356968,32.886010471542136,-96.82737180187489,7679.0,0.5,321.89,2020.0,108.15,280.62,65685.0
377.0,-684971.3615102639,260389.74878433868,4273.9242423424885,32.81809035876907,-96.50799669867432,14022.0,0.5791,364.1,1620.0,108.18,249.98,65435.0
565.0,-651804.0873176042,249498.47817734213,5824.448900072919,32.739917233341764,-96.1463486360413,19109.0,0.6389,393.86,1380.0,108.22,229.15,65206.0
754.0,-615880.6069036445,237672.4831329322,7145.330298193505,32.653819481407446,-95.75534629630538,23443.0,0.6976,422.63,1154.0,108.25,210.95,64995.0
942.0,-577285.6212539971,224942.49923593842,8249.879412428252,32.55975858118737,-95.3360935940642,27067.0,0.755,450.59,941.0,108.26,195.62,64800.0
1130.0,-536084.4798509888,211344.54905359383,9150.331816316546,32.457747399578835,-94.88949941839618,30021.0,0.792,466.69,1000.0,108.26,193.65,64606.0
1319.0,-493435.28854516847,197268.839924842,10107.374161743404,32.35050501732349,-94.42827885087787,33161.0,0.7876,457.75,500.0,108.28,157.45,64449.0
1507.0,-451459.6984283612,183403.33167643685,10585.895333550474,32.24322192100901,-93.97540891335679,34731.0,0.7673,442.8,-0.0,108.32,123.66,64325.0
1696.0,-410719.4817762655,169911.61311418857,10585.895331818027,32.13725597158064,-93.53687919527614,34731.0,0.7726,445.88,14.0,108.38,124.81,64200.0
1884.0,-369713.88442240347,156283.26354545387,10599.768006137485,32.02864729566257,-93.09650654706161,34776.0,0.7743,446.76,22.0,108.44,125.15,64075.0
2072.0,-328643.15347551316,142588.6116270068,10620.817462753024,31.917951493482583,-92.65646937528274,34845.0,0.7743,446.61,21.0,108.47,124.75,63950.0
2261.0,-287593.82032360643,128875.1457089772,10640.801030925455,31.805576678639913,-92.21771509294067,34911.0,0.7745,446.6,21.0,108.48,124.45,63826.0
2449.0,-246546.81636567734,115156.93098269869,10660.966734012763,31.691665712346587,-91.78005439836087,34977.0,0.7746,446.55,21.0,108.47,124.13,63702.0
2638.0,-205501.6517294322,101445.0663382103,10681.129108270523,31.576328979830777,-91.34349155614306,35043.0,0.7748,446.5,21.0,108.47,123.82,63578.0
2826.0,-164458.75830669783,87739.76110433092,10701.253007295772,31.459578875785198,-90.90803654852128,35109.0,0.7749,446.45,21.0,108.47,123.5,63454.0
3014.0,-123419.8211446095,74035.65040426393,10721.3227287442,31.341377644593592,-90.47371148641338,35175.0,0.7751,446.41,21.0,108.47,123.19,63331.0
3203.0,-82385.89333852023,60328.237240575414,10741.37749838494,31.22169563895511,-90.04053238876747,35241.0,0.7752,446.36,21.0,108.48,122.88,63208.0
3391.0,-41356.860958476274,46617.90821674756,10761.457210924791,31.100547343945188,-89.60850355865632,35307.0,0.7754,446.31,21.0,108.48,122.57,63086.0
3579.0,-331.58618670748587,32909.53106049818,10781.601392795425,30.977987476888647,-89.17761811619678,35373.0,0.7755,446.24,21.0,108.47,122.25,62964.0
3768.0,40691.01973179368,19209.157321450508,10801.78298666147,30.85408095379352,-88.74786885858677,35439.0,0.7756,446.17,21.0,108.45,121.94,62842.0
3956.0,81711.79001767325,5520.228330474629,10821.949714088541,30.728869901281666,-88.31925025829922,35505.0,0.7757,446.1,21.0,108.44,121.63,62720.0
4145.0,122731.27446437532,-8157.750340018209,10842.197299960244,30.602360866615285,-87.89175896628336,35572.0,0.7758,446.02,21.0,108.43,121.31,62599.0
4333.0,163748.12992902927,-21827.333738472913,10862.409359346266,30.47454185551022,-87.465411719162,35638.0,0.7759,445.96,21.0,108.43,121.0,62478.0
4521.0,204762.68339744743,-35492.34372342386,10882.839866891445,30.345389398666168,-87.04020817765331,35705.0,0.776,445.87,21.0,108.42,120.69,62357.0
4710.0,245772.33667169855,-49154.29283940977,10903.27323324298,30.21490137294679,-86.61617821801359,35772.0,0.7761,445.79,22.0,108.42,120.43,62237.0
4898.0,286778.3741066114,-62814.34793376609,10923.866116293511,30.083078216153886,-86.19331106786689,35839.0,0.7762,445.7,22.0,108.43,120.12,62116.0
5087.0,327779.30484287674,-76475.23851110088,10944.958177325296,29.949906929528343,-85.77162518676325,35909.0,0.7762,445.55,18.0,108.43,119.57,61997.0
5275.0,368770.0294552216,-90137.53795573271,10962.010460315856,29.815395214113046,-85.35117568583917,35965.0,0.7773,446.08,60.0,108.44,121.67,61875.0
5463.0,409806.32691582956,-103817.90107511349,11019.728608534131,29.67938655798913,-84.93139361446352,36154.0,0.7654,438.98,-378.0,108.43,95.97,61779.0
5652.0,450280.2459937018,-117308.69206161931,10657.78562424327,29.543975935352368,-84.51847653667248,34966.0,0.7562,435.94,-500.0,108.43,90.16,61689.0
5840.0,490503.53389258304,-130712.73821899311,10179.26445062452,29.4081789784274,-84.1092111869593,33397.0,0.7308,424.31,-500.0,108.44,89.53,61599.0
6029.0,529650.2601634837,-143762.924147081,9700.743276994463,29.27478242886938,-83.71195217005305,31827.0,0.6975,407.76,-500.0,108.47,87.56,61512.0
6217.0,567261.5766293257,-156322.34060409153,9222.222103358878,29.14533181382916,-83.33126206691765,30257.0,0.6239,367.28,-1000.0,108.52,50.53,61461.0
6405.0,601231.4164739295,-167700.03373092448,8265.179756089616,29.02719041461482,-82.98827279398623,27117.0,0.6004,358.2,-1500.0,108.58,27.51,61434.0
6594.0,634436.5534820568,-178858.8700691925,6829.616235228353,28.910539806988954,-82.65378413592393,22407.0,0.5553,337.85,-1545.0,108.62,24.06,61410.0
6782.0,665738.8883317071,-189405.68899357907,5351.412830982985,28.799577859450704,-82.33916777752995,17557.0,0.5103,316.52,-1526.0,108.64,23.79,61386.0
6971.0,695043.3371379807,-199293.2440420499,3890.642737843882,28.694918463313147,-82.04524705390399,12765.0,0.472,298.2,-1509.0,108.65,25.55,61360.0
7159.0,722636.1074783872,-208607.18308503155,2446.3100943284526,28.595761738680643,-81.76903332059292,8026.0,0.4392,282.38,-1496.0,108.65,27.52,61333.0
7347.0,748751.3176638479,-217422.31305939984,1014.8363006658698,28.50140430450587,-81.50808973354432,3330.0,0.3,196.16,-1029.0,104.16,31.15,61302.0
7536.0,767264.5786960624,-222094.48442242906,30.47999969841936,28.448330000955696,-81.32231000095165,100.0,0.1608,106.35,-561.0,99.68,122.99,61179.0
