ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-732476.5499391756,274584.93436350935,30.480000177573192,32.915684275184525,-97.02598253192016,100.0,0.2499,165.27,2071.0,104.16,323.12,65977.0
180.0,-717937.3203003133,270915.68549931614,1921.0030587345002,32.892084320332735,-96.86784604488608,6303.0,0.2806,181.58,1834.0,117.48,309.93,65667.0
359.0,-703269.3690583243,263287.2427282204,3594.9168827131816,32.83292109838027,-96.70545769649591,11794.0,0.4612,292.47,1711.0,132.48,248.22,65419.0
539.0,-683557.0481766552,245238.24972710953,5156.894398831631,32.68325075923186,-96.48192960804086,16919.0,0.6612,411.17,1211.0,126.01,219.81,65199.0
719.0,-653044.4114049741,223062.87016078783,6262.501439736465,32.502380079839334,-96.14139126405189,20546.0,0.754,462.16,711.0,124.77,201.26,64998.0
898.0,-618107.5111290943,198807.88887137518,6911.738005411883,32.30429773280233,-95.75392153765004,22676.0,0.7697,467.79,723.0,124.43,195.68,64802.0
1078.0,-582607.2112506612,174468.61872308058,7571.6734977791375,32.104521292757845,-95.36215616388976,24841.0,0.7843,472.45,733.0,125.46,189.66,64612.0
1258.0,-547206.1370791404,149250.63782657843,8240.471088515736,31.895572595758917,-94.97269504811395,27036.0,0.7967,475.53,279.0,124.83,160.79,64452.0
1437.0,-511190.7928351971,124191.61203970881,8495.046777094542,31.68709054984334,-94.57863591160655,27871.0,0.8011,476.43,54.0,121.95,146.89,64305.0
1617.0,-473839.1942568958,100893.01040060805,8544.724773061756,31.49369767088421,-94.1731451217371,28034.0,0.8026,477.01,44.0,119.07,145.91,64159.0
1797.0,-435313.92876875977,79474.9429472408,8585.047446444185,31.316309005626213,-93.75783629282844,28166.0,0.804,477.58,39.0,116.83,145.27,64013.0
1976.0,-395931.34602756484,59557.112699307574,8620.798018056237,31.151313418577264,-93.33570441810197,28283.0,0.8054,478.15,32.0,115.41,144.6,63869.0
2156.0,-356020.03771516465,40593.40169846729,8649.592511865127,30.993643104866802,-92.90985505477201,28378.0,0.8067,478.72,18.0,114.76,143.65,63725.0
2336.0,-315842.9917897394,22064.853277270027,8665.710311476338,30.83853036191527,-92.4827858111928,28431.0,0.8078,479.28,-0.0,114.74,142.65,63583.0
2515.0,-275609.5436860452,3523.0234847186,8665.575067942544,30.6818849135804,-92.05652279129177,28430.0,0.8087,479.82,-243.0,114.78,130.74,63452.0
2695.0,-235278.99263049063,-15092.372709854662,8443.734849411385,30.52318028583649,-91.63063130227721,27703.0,0.8065,479.99,-500.0,114.7,120.58,63331.0
2875.0,-194845.43929912796,-33687.983847466894,7987.364375835588,30.36325978933216,-91.20508017327597,26205.0,0.7993,478.74,-437.0,115.1,128.62,63203.0
3054.0,-154663.7415152252,-52507.77576577641,7588.315823075076,30.19988733654697,-90.78352700659349,24896.0,0.6805,409.82,63.0,121.0,130.62,63072.0
3234.0,-122206.45111306761,-72010.01809615575,7645.637744593219,30.028248557641145,-90.44354854248351,25084.0,0.4805,289.15,500.0,112.93,152.71,62919.0
3414.0,-97672.2972125754,-82390.47998419506,8102.008219331272,29.9371320885082,-90.18775692673482,26581.0,0.6414,383.55,500.0,97.93,146.7,62773.0
3593.0,-62673.07448974877,-87267.78490595933,8558.378693871613,29.895586616300697,-89.82426499836818,28079.0,0.8122,482.62,489.0,102.53,167.48,62605.0
3773.0,-19264.09078501661,-96915.09919113651,9004.624887364587,29.810293433658348,-89.37379671093723,29543.0,0.8191,483.69,-11.0,103.27,138.88,62466.0
3953.0,24254.46127551119,-107176.12066200221,8994.500629718063,29.71792482242312,-88.92299546630143,29510.0,0.82,484.27,-85.0,103.24,135.52,62331.0
4132.0,67849.84289113454,-117436.67527504115,8916.753285413119,29.624002851163322,-88.47223776897322,29254.0,0.82,484.8,-75.0,103.25,136.96,62194.0
4312.0,111488.1764437322,-127716.15648751729,8848.680408568696,29.528357535902327,-88.02189257622376,29031.0,0.82,485.27,-67.0,103.27,138.17,62056.0
4492.0,155162.7310175852,-138020.01303906264,8787.538800361563,29.430944992737544,-87.5720427308898,28831.0,0.82,485.69,-61.0,103.28,139.21,61916.0
4672.0,198871.5856109353,-148339.40908667565,8731.67971062004,29.331850146593897,-87.12271917380528,28647.0,0.82,486.07,-57.0,103.28,140.08,61776.0
4851.0,242614.1825945611,-158663.54760109537,8680.020414512435,29.231175674980392,-86.67393661232562,28478.0,0.82,486.42,-53.0,103.28,140.9,61635.0
5031.0,286387.4727992998,-168994.74351129975,8631.804566580118,29.12890714486114,-86.22573684979423,28320.0,0.82,486.75,-50.0,103.27,141.63,61494.0
5211.0,330190.60133488453,-179327.83335464794,8586.479096046533,29.02509729806611,-85.7781368529652,28171.0,0.82,487.06,-47.0,103.26,142.32,61351.0
5390.0,374024.01465977426,-189653.47597268125,8543.62505790866,28.91983620455837,-85.33113771252124,28030.0,0.82,487.35,-45.0,103.21,142.94,61209.0
5570.0,417892.03074546286,-199946.84596171963,8502.916076084053,28.813351641189627,-84.88469331022694,27897.0,0.82,487.63,-43.0,103.05,143.53,61065.0
5750.0,461812.0975038099,-210127.17182788232,8464.092007914383,28.70636800608235,-84.43859601065478,27769.0,0.82,487.89,-41.0,102.63,144.09,60921.0
