ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-732476.5498325086,274584.9342675752,30.479999999140013,32.91568427439447,-97.02598253070579,100.0,0.2764,182.76,2193.0,104.16,355.54,65944.0
200.0,-714571.9281521551,270066.3649347314,2262.799775497011,32.88659368438674,-96.83125417576633,7424.0,0.4764,306.97,1693.0,118.75,279.94,65665.0
401.0,-687160.5882582518,255024.97815462525,3986.212406384776,32.76873563755883,-96.52745372654807,13078.0,0.6403,404.04,1193.0,133.75,255.39,65409.0
601.0,-657320.0035167855,226454.0112656895,5200.717812475894,32.53032456041015,-96.18922072557903,17063.0,0.7268,451.7,693.0,133.79,234.1,65175.0
801.0,-623866.6401667162,194384.10822614376,5906.316027210614,32.26155547290524,-95.812210778813,19378.0,0.7453,458.98,433.0,118.79,213.2,64962.0
1002.0,-582527.5502140757,171666.73415864623,6346.634650001435,32.07943884823919,-95.35962889884027,20822.0,0.7567,463.33,0.0,103.79,184.69,64777.0
1202.0,-536147.9451160673,160283.01671664533,6346.636731782193,31.99968087419317,-94.86178857600056,20822.0,0.7573,463.69,0.0,93.26,184.73,64592.0
1403.0,-488431.0870263,157568.7472433463,6346.6377313605535,31.996356044613087,-94.35501263742144,20822.0,0.7579,464.06,0.0,108.26,184.78,64408.0
1603.0,-443007.0374886446,142585.18904041784,6346.63872658028,31.880039222579036,-93.8670026778237,20822.0,0.6415,392.77,0.0,108.09,147.73,64260.0
1803.0,-404523.20301080187,130016.53539141362,6346.639802053173,31.781165796565958,-93.45457678934653,20822.0,0.7019,429.75,0.0,93.09,165.13,64095.0
2004.0,-360292.4446942537,127631.28731913582,6346.640948412774,31.77422741579703,-92.98607118761213,20822.0,0.5019,307.29,0.0,79.71,125.16,63970.0
2204.0,-329128.7404162248,133286.99042988848,6346.6422419944565,31.834242217453053,-92.65848215387102,20822.0,0.3183,194.91,352.0,94.71,223.77,63746.0
2404.0,-309157.73486589984,131640.26755129278,6705.3416604537915,31.82491021381246,-92.44666635126546,21999.0,0.3331,202.98,408.0,109.71,222.59,63523.0
2605.0,-289520.22494597797,124603.72597904851,7120.364927095589,31.76671467207435,-92.23683221479068,23361.0,0.5221,316.38,-91.0,124.71,116.07,63407.0
2805.0,-262697.660567439,106021.42193344033,7028.202242704167,31.606041831934267,-91.94826344714009,23058.0,0.6756,409.97,-462.0,123.61,117.34,63290.0
3005.0,-227396.59097097596,82558.86692804561,6557.799751345059,31.402515351734085,-91.5702327810841,21515.0,0.6287,383.87,38.0,126.39,143.4,63146.0
3206.0,-195551.70066616585,59093.39606143848,6596.295514061125,31.197278474113105,-91.23018190624332,21641.0,0.4287,261.62,500.0,111.39,177.87,62969.0
3406.0,-170532.36040590846,49294.25191296263,7105.188151208843,31.113050748250938,-90.96551690396481,23311.0,0.4832,292.87,141.0,96.39,135.67,62833.0
3606.0,-140562.82872149718,45937.55248055078,7248.73071485967,31.08680732110005,-90.65027186815385,23782.0,0.6832,413.3,500.0,86.74,176.92,62656.0
3807.0,-98181.40067567202,48349.23202947616,7757.607108323104,31.11276702915136,-90.2054653361753,25451.0,0.4832,290.29,500.0,93.54,168.87,62487.0
4007.0,-68426.37954898758,46508.11130591684,8266.511785382007,31.098304632098746,-89.89279592631448,27121.0,0.6832,407.59,16.0,108.54,135.44,62352.0
4208.0,-28600.386000716346,33151.04594655816,8282.446706019755,30.979814750190844,-89.47414486635411,27173.0,0.6078,362.52,500.0,118.53,159.36,62192.0
4408.0,4109.209835478624,15369.930865596414,8791.277992993848,30.820243009993035,-89.1311079623623,28843.0,0.8078,478.41,-0.0,133.53,155.38,62037.0
4608.0,39860.76970959907,-18591.136180642745,8791.20557843895,30.514167154870005,-88.75803434646475,28843.0,0.82,485.66,-500.0,148.53,131.85,61905.0
4809.0,66086.75789308782,-61436.286782710944,8282.299578571687,30.127705314874014,-88.48698572673055,27173.0,0.7633,455.32,-31.0,133.53,149.41,61756.0
5009.0,100120.59536574993,-93765.65490310773,8250.738581199255,29.83464127319555,-88.13619108307432,27069.0,0.8121,484.65,43.0,118.53,167.21,61588.0
5209.0,143995.41222234836,-117616.2428874148,8294.960771120226,29.6157741459838,-87.68460342039941,27214.0,0.8138,485.37,12.0,103.53,165.14,61423.0
5410.0,192631.31920932955,-129318.50060240868,8306.83592760787,29.503853692683645,-87.18368434157011,27253.0,0.8149,485.92,-56.0,88.53,161.54,61262.0
5610.0,242719.59693585025,-128032.04282677651,8249.36752802978,29.50649907738849,-86.66598143671766,27065.0,0.8145,486.08,-72.0,73.53,161.45,61100.0
5810.0,290789.8159746668,-113819.2642628815,8175.589961851692,29.623740344796587,-86.16560655580703,26823.0,0.8137,486.11,256.0,76.75,179.2,60921.0
6011.0,339471.46722894965,-102355.80857976174,8436.387806089968,29.714158490392006,-85.65859975410872,27678.0,0.82,488.08,-36.0,91.75,161.31,60760.0
6211.0,389768.4802673211,-103890.10933848753,8399.810536767785,29.685314495795097,-85.13869501250058,27558.0,0.82,488.33,464.0,99.87,187.07,60573.0
6411.0,439190.800140826,-112491.57446265296,8872.13747331385,29.59126688224405,-84.63104291688362,29108.0,0.82,485.11,289.0,103.65,170.31,60402.0
6612.0,487678.1653962979,-124266.19974884774,9166.428807369002,29.46717022379624,-84.13543555529162,30074.0,0.82,483.09,-211.0,104.84,139.71,60263.0
6812.0,535882.5894333291,-137042.4740516241,8951.813964041392,29.332376603734282,-83.64445992414817,29369.0,0.82,484.56,-711.0,97.1,117.07,60146.0
7013.0,585691.7601579798,-143249.1322265861,8228.292268104338,29.25394772752203,-83.13474694124825,26996.0,0.8193,489.09,-1211.0,107.93,104.11,60042.0
7213.0,634047.3113168391,-158898.3309538576,6995.863516935984,29.08966930991654,-82.64625486577481,22952.0,0.7891,479.03,-1711.0,122.93,90.81,59951.0
7413.0,675941.6789753664,-186035.26960244225,5254.527670313766,28.824257384652775,-82.23261040936025,17239.0,0.7,434.73,-2211.0,118.85,56.01,59895.0
7614.0,715698.211791436,-207940.75045307947,3004.2852843624173,28.605739498983514,-81.83951008171935,9857.0,0.5,319.34,-1711.0,106.07,28.03,59867.0
7814.0,747613.8060244977,-217135.24085275937,1262.9308777219674,28.504657066183654,-81.51951071407765,4143.0,0.3,195.6,-1211.0,104.16,32.79,59834.0
8014.0,767264.5788088655,-222094.48451437306,30.480000000030508,28.448330000063336,-81.3223099998636,100.0,0.1,66.13,-711.0,102.26,323.41,59510.0
