ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-328987.0107475238,-113310.64226068096,30.48000015234968,32.91570449726797,-97.02596293157636,100.0,0.1573,104.01,914.0,67.95,165.1,66135.0
90.0,-324540.4179615997,-111510.01275399452,449.24969116981896,32.93323506590696,-96.97899863570817,1474.0,0.1638,107.82,916.0,82.95,164.57,65970.0
180.0,-319604.0173359852,-110899.93827406195,869.0530200607109,32.94019744620485,-96.92635087117412,2851.0,0.1748,114.46,982.0,97.95,163.74,65807.0
271.0,-314375.6067256653,-111630.53008217258,1319.186373262056,32.935177337596194,-96.87010354427333,4328.0,0.203,132.25,1259.0,112.95,161.84,65645.0
361.0,-308767.8522706541,-114005.65183791301,1896.0322792464067,32.91546417024443,-96.80924225068539,6221.0,0.2239,144.88,1355.0,116.31,159.43,65485.0
451.0,-302788.6900742525,-116962.32861104379,2517.1886785681527,32.89059955809496,-96.74423947247743,8258.0,0.2366,152.02,1333.0,101.31,156.94,65328.0
541.0,-295921.8929177736,-118335.97680625624,3127.8411391763752,32.88016950329875,-96.67028907397636,10262.0,0.2808,179.06,1565.0,86.31,151.45,65177.0
631.0,-287696.3491662887,-117805.8205305001,3844.9767306713898,32.88716732816332,-96.58241604161358,12615.0,0.3754,237.28,1880.0,71.31,139.7,65037.0
722.0,-277352.9578143993,-114307.23995777387,4706.473025306286,32.92132802582488,-96.47276131910634,15441.0,0.5754,359.82,1667.0,56.31,118.55,64919.0
812.0,-263540.5725404412,-105099.78922408863,5470.5774817299,33.0075579057934,-96.3275155924832,17948.0,0.6759,418.59,1167.0,65.71,108.37,64810.0
902.0,-245902.3043318796,-97139.38610020398,6005.550024625695,33.08329872774646,-96.1405938389245,19703.0,0.7489,460.59,708.0,68.01,102.06,64708.0
992.0,-226126.54023132304,-89153.52368918191,6329.849138266384,33.159444110177525,-95.93040214151416,20767.0,0.7572,463.72,713.0,68.55,100.67,64608.0
1083.0,-206142.40943059558,-81301.36767201952,6656.748904020495,33.23407423263668,-95.71757555945648,21840.0,0.7653,466.7,719.0,68.7,99.27,64508.0
1173.0,-186009.64847443256,-73453.13575107623,6986.317670725868,33.30833199908966,-95.50278638435532,22921.0,0.7733,469.48,725.0,68.81,97.82,64410.0
1263.0,-165742.6210409557,-65596.94041709868,7318.492328580245,33.38231207449654,-95.28618761067618,24011.0,0.7809,472.02,730.0,68.86,96.31,64314.0
1353.0,-145360.61367124645,-57714.34223181157,7652.904580720061,33.45616836560495,-95.06798593089196,25108.0,0.7882,474.25,733.0,68.85,94.71,64219.0
1443.0,-124883.57961027182,-49793.356121900826,7988.794921334934,33.52999807441544,-94.848393451171,26210.0,0.7949,476.08,734.0,68.87,93.02,64126.0
1534.0,-104325.21596708252,-41848.89683160539,8325.066729024185,33.60365859755045,-94.62755125371639,27313.0,0.8008,477.41,612.0,68.88,88.37,64038.0
1624.0,-83699.99296606315,-33881.98256033641,8605.65280047534,33.67713320464934,-94.40561199744195,28234.0,0.8051,478.08,112.0,68.88,74.66,63963.0
1714.0,-63011.101646083254,-25890.481179220144,8657.106958209879,33.75043523965741,-94.18260724289723,28403.0,0.8062,478.38,44.0,68.88,72.7,63891.0
1804.0,-42304.25736290354,-17893.48443157645,8677.414654251404,33.8233856798411,-93.95902780981562,28469.0,0.8069,478.67,37.0,68.89,72.44,63818.0
1894.0,-21583.963827945543,-9893.16417979178,8694.37374506466,33.89596205291897,-93.73492195766877,28525.0,0.8076,478.95,34.0,68.89,72.28,63746.0
1985.0,-850.8777512169373,-1888.799076591865,8710.005265783575,33.96816825989077,-93.5102966301901,28576.0,0.8082,479.23,34.0,68.89,72.21,63674.0
2075.0,19894.159370539743,6121.206224097951,8725.598990028595,34.0400156164927,-93.28516060184461,28627.0,0.8089,479.52,34.0,68.89,72.14,63602.0
2165.0,40651.353175703356,14136.234037632836,8741.377303950925,34.111496517164625,-93.05951153185934,28679.0,0.8095,479.8,34.0,68.88,72.07,63530.0
2255.0,61420.52517894239,22156.861731153473,8757.114748868256,34.182613649199396,-92.8333512227851,28731.0,0.8102,480.09,34.0,68.88,71.99,63458.0
2345.0,82201.99441173856,30182.359884370217,8772.618212452728,34.25335790337847,-92.60667610604864,28782.0,0.8109,480.37,41.0,68.89,72.1,63385.0
2436.0,102995.97803734141,38210.70626257895,8791.249264502354,34.32370852540618,-92.37948396917615,28843.0,0.8115,480.66,132.0,68.89,74.23,63311.0
2526.0,123796.39816542846,46240.60521582967,8851.776799525136,34.393652023360964,-92.15184131948457,29041.0,0.8127,480.94,292.0,68.89,77.79,63233.0
2616.0,144598.14931587345,54270.287059059854,8985.484053545228,34.46317099705831,-91.92380451389278,29480.0,0.8146,481.13,-208.0,68.9,64.83,63169.0
2706.0,165442.50353619113,62315.00991448085,8890.05940198367,34.53239417297359,-91.6949207885128,29167.0,0.8141,481.5,-708.0,68.9,53.09,63116.0
2796.0,186335.53169385513,70375.56928292612,8565.502837958675,34.60132318385319,-91.4651221581903,28102.0,0.8103,481.46,-1208.0,68.88,42.72,63073.0
2887.0,207252.6223645473,78454.48531614314,8011.814360809958,34.66998078009118,-91.23467538053674,26285.0,0.8011,479.65,-1708.0,68.84,33.66,63039.0
2977.0,228109.3952711998,86529.19356221355,7228.993970408148,34.73817940047642,-91.00450847905003,23717.0,0.7845,474.73,-2208.0,68.8,25.69,63013.0
3067.0,248767.57150054764,94541.26153732726,6217.041666882953,34.80542906814004,-90.77615529953646,20397.0,0.7596,465.88,-2500.0,69.05,22.78,62991.0
3157.0,269081.8608903988,102318.44815628263,5071.382098804527,34.870230297480155,-90.55127332960762,16638.0,0.7292,453.95,-2500.0,70.03,25.81,62965.0
3248.0,288996.3838836652,109555.80599949392,3925.722530743741,34.92987826077076,-90.33060692066336,12880.0,0.5292,334.22,-2500.0,59.58,12.03,62953.0
3338.0,302430.1853436703,117443.19527261918,2780.0629627103,34.996891926745256,-90.18048389171317,9121.0,0.3292,210.85,-2500.0,74.58,13.57,62939.0
3428.0,311864.15390428936,120045.01666153283,1634.403395352606,35.017452544443834,-90.07600886627156,5362.0,0.1746,113.35,-2000.0,59.58,15.7,62924.0
3518.0,316357.55049571407,122683.2250840704,717.8757410308502,35.03978274232288,-90.02569881465499,2355.0,0.1586,104.06,-1500.0,67.95,16.63,62907.0
3608.0,320806.59349709586,124484.84687015925,30.480000133894457,35.05459000078537,-89.97616999890207,100.0,0.1426,94.29,-1000.0,76.33,33.23,62874.0
