ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-328987.0107479769,-113310.64227811381,30.480000287527687,32.91570449711121,-97.02596293157492,100.0,0.2054,135.81,1614.0,67.95,156.07,66144.0
86.0,-323482.29550412117,-111081.53042697333,735.2576628271404,32.937404104951646,-96.96782015651321,2412.0,0.2788,182.91,2114.0,82.95,151.65,65992.0
172.0,-315551.9078259933,-110101.43835733426,1658.304630729982,32.948570807617386,-96.88323140687645,5441.0,0.4788,310.76,1882.0,97.95,126.36,65866.0
258.0,-302036.04138673475,-111990.07758409796,2479.6888849202405,32.93548975195574,-96.73783328166849,8135.0,0.5959,382.97,1382.0,112.95,117.93,65748.0
344.0,-286512.7546881578,-118564.84764273211,3082.8038336816603,32.88066274381387,-96.56950794045218,10114.0,0.6517,415.84,882.0,105.0,109.84,65638.0
430.0,-268801.20868930797,-123310.64227886457,3467.6494770319277,32.842588204419584,-96.37852529421205,11377.0,0.6812,432.62,666.0,90.0,106.62,65532.0
516.0,-249712.20233526043,-123310.64227796684,3758.587395614803,32.84719035407157,-96.17427505147153,12331.0,0.689,436.02,671.0,75.75,105.62,65426.0
602.0,-231065.57756750289,-118575.33562194013,4051.502422962026,32.89392346097999,-95.9759386977864,13292.0,0.6969,439.42,676.0,60.75,104.59,65321.0
687.0,-214149.73246182274,-109102.37947128131,4346.425840811709,32.982584553205136,-95.79705109029132,14260.0,0.7048,442.8,680.0,45.75,103.52,65218.0
773.0,-200155.6367225747,-95470.39162488408,4643.391409516631,33.1078371924226,-95.65007360760251,15234.0,0.7128,446.15,685.0,30.75,102.44,65115.0
859.0,-190091.14777192633,-78554.15086258185,4942.435748852436,33.2617527048445,-95.5456158860843,16215.0,0.7209,449.48,690.0,45.28,101.33,65014.0
945.0,-176001.52297103833,-64600.364674280485,5243.598789823715,33.38962396226811,-95.39685275480448,17203.0,0.7289,452.75,695.0,60.28,100.19,64914.0
1031.0,-158655.36094474213,-54697.271209710125,5546.924314785222,33.48139239852772,-95.21180969921421,18199.0,0.6878,425.54,1095.0,57.55,102.24,64812.0
1117.0,-142835.3443934598,-44636.837371589805,6024.951183739698,33.57409695301669,-95.04287217944407,19767.0,0.7444,457.7,749.0,59.51,97.43,64714.0
1203.0,-125439.42304011174,-34393.34599297752,6352.068372613358,33.66840731652754,-94.8565722585894,20840.0,0.7577,463.88,714.0,70.67,95.83,64618.0
1289.0,-106130.94155641297,-27618.974716158522,6663.620950734389,33.731438176207575,-94.64875870469659,21862.0,0.7654,466.7,719.0,75.92,94.54,64524.0
1375.0,-86162.92150631189,-22611.766428741445,6977.600157797914,33.77828368893938,-94.43333037023186,22892.0,0.773,469.35,725.0,77.01,93.23,64431.0
1461.0,-65990.03562593342,-17959.796312044717,7293.950774613433,33.82157265513786,-94.21542274973483,23930.0,0.7803,471.77,729.0,62.62,91.84,64339.0
1547.0,-47512.25045716614,-8390.459122001355,7612.367823875034,33.90862474966598,-94.0159210772822,24975.0,0.7872,473.92,733.0,67.57,90.42,64248.0
1633.0,-28190.894177208844,-414.6152473963423,7932.226491373837,33.98104783734501,-93.80681082860197,26024.0,0.7937,475.72,734.0,82.57,88.89,64159.0
