ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,56988.23301384853,374483.0995644681,30.480000304296084,32.91571999910571,-97.02597000107573,100.0,0.3,198.38,2414.0,189.27,177.06,66123.0
100.0,55369.73546517158,364563.8052596867,1255.3111328213745,32.82659405271943,-97.0438770282122,4118.0,0.4815,313.95,2206.0,189.49,156.47,65966.0
200.0,52732.50913216202,348793.01671580906,2374.964432943446,32.68488945716369,-97.07295697734133,7792.0,0.5087,327.34,1978.0,189.49,147.64,65819.0
300.0,49981.41131929594,332330.5684226614,3378.9599232314404,32.53696294989675,-97.10319518074124,11086.0,0.538,342.05,1798.0,189.46,139.79,65679.0
400.0,47112.579941230906,315111.8142872005,4291.348209749324,32.382232489813816,-97.13462431714781,14079.0,0.5696,358.06,1665.0,189.4,133.41,65546.0
499.0,44125.39913425514,297073.6603303741,5136.312334540167,32.22012980543024,-97.16724104635493,16851.0,0.6007,373.6,1537.0,189.33,127.34,65418.0
599.0,41030.271453402085,278238.44415008486,5916.535191071411,32.05085450479484,-97.200920340979,19411.0,0.6313,388.76,1415.0,189.26,121.68,65297.0
699.0,37833.388006000096,258625.66416867205,6634.435557264328,31.874580896537164,-97.23558268191411,21767.0,0.6617,403.6,1296.0,189.17,116.36,65180.0
799.0,34542.43736248345,238249.92786613523,7292.150544195471,31.691439321358082,-97.2711334323722,23924.0,0.6917,418.24,1181.0,189.08,111.47,65069.0
899.0,31167.28825935497,217119.71116293877,7891.498368183363,31.50150500402086,-97.3074558200811,25891.0,0.7215,432.67,1070.0,188.97,107.0,64962.0
999.0,27714.256301129844,195245.00414114218,8434.401510905696,31.304866981622247,-97.3444712636112,27672.0,0.7508,446.92,962.0,188.87,102.93,64859.0
1099.0,24183.97709652329,172634.98762871142,8922.669969695029,31.10160720342929,-97.382161475877,29274.0,0.771,455.77,889.0,188.78,99.53,64759.0
1199.0,20619.04355377545,149566.07470768839,9373.811892751359,30.89421018732241,-97.42006330227656,30754.0,0.7848,461.0,1011.0,188.7,101.31,64658.0
1299.0,17051.254637269125,126239.19946420034,9886.995160537736,30.68448233708294,-97.45783561913814,32438.0,0.7901,460.67,910.0,188.62,96.26,64562.0
1399.0,13517.158196078108,102915.60009489757,10348.89367730637,30.474772723515468,-97.49509280934484,33953.0,0.7881,456.45,455.0,188.55,81.15,64481.0
1498.0,10034.590021879247,79759.71277712897,10579.586516671943,30.26656044204502,-97.53165193098337,34710.0,0.7681,443.33,-45.0,188.5,64.29,64416.0
1598.0,6666.763647754521,57222.959603142815,10556.547047987238,30.06390546379659,-97.56686039906226,34634.0,0.7763,448.22,44.0,188.45,67.46,64349.0
1698.0,3281.665613396072,34442.62719737171,10579.081984122322,29.859050649596607,-97.60210500376877,34708.0,0.7738,446.61,12.0,188.42,66.22,64283.0
1798.0,-80.35833733884257,11739.595841093895,10585.287513454212,29.65488171925304,-97.63696660218045,34729.0,0.7749,447.22,27.0,188.41,66.65,64216.0
