ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,56988.23311700235,374483.0996594598,30.48000000011876,32.91571999995493,-97.0259699999656,100.0,0.3,198.38,1664.0,189.27,157.86,66142.0
99.0,55378.33961524229,364616.53447128506,865.4903504485604,32.827067837152605,-97.04378192714495,2840.0,0.5,327.5,1164.0,174.27,127.65,66014.0
198.0,57033.87433440311,348126.04254633264,1449.6382633303367,32.678689931284566,-97.02705945524566,4756.0,0.6476,421.31,664.0,175.26,134.79,65880.0
296.0,58799.82541906031,326836.8986748041,1782.9235487559536,32.48715064967996,-97.00950355670686,5849.0,0.6522,422.68,663.0,190.26,132.54,65747.0
395.0,54983.25415735298,305748.0508780732,2115.5028167833516,32.297683660709374,-97.05137332305031,6941.0,0.6476,418.04,784.0,205.26,131.39,65616.0
494.0,45942.74386676154,286586.4592450574,2508.7840206237693,32.12574870756136,-97.14842248612693,8231.0,0.6073,390.18,1284.0,220.26,134.07,65482.0
593.0,33187.6439273669,271523.8419159252,3152.9273073206705,31.990714328325886,-97.28433434630945,10344.0,0.5503,350.85,1743.0,223.94,137.53,65344.0
691.0,20899.063033032864,258771.46739635285,4027.3440928686364,31.876309447833695,-97.41486722870332,13213.0,0.6363,401.33,1243.0,208.94,126.2,65218.0
790.0,11075.118392645512,241004.13259436435,4650.899204568246,31.71665593734367,-97.5190759166978,15259.0,0.7073,442.61,743.0,222.97,118.22,65100.0
889.0,-4214.180762198535,224588.86620210478,5023.5918885406045,31.56907379342371,-97.68060776237128,16482.0,0.723,450.34,691.0,220.95,116.1,64984.0
988.0,-19175.59206059485,207346.8619315317,5370.372708783692,31.413867300319662,-97.83816811260719,17619.0,0.7323,454.09,697.0,205.95,114.59,64869.0
1086.0,-29247.27769065982,186650.2672535445,5720.02970173865,31.227537003126198,-97.94368423404235,18767.0,0.7415,457.74,691.0,190.95,112.72,64756.0
1185.0,-33654.30694226538,163870.19450339003,6066.679401952022,31.02255806691958,-97.98927431670202,19904.0,0.7262,446.27,191.0,175.95,93.55,64663.0
1284.0,-32053.553354491036,141266.52615785447,6162.4680487206415,30.819323510821818,-97.97177297457213,20218.0,0.7532,462.28,-309.0,160.95,83.36,64579.0
1383.0,-24379.382347767736,119043.17765995536,6007.394735898049,30.61964295094616,-97.89089325592512,19709.0,0.7496,461.0,-809.0,145.95,69.86,64510.0
1481.0,-11231.651470823746,99588.11306666778,5601.460068065643,30.444871009277684,-97.75329386077405,18377.0,0.6706,414.63,-772.0,155.61,57.53,64452.0
1580.0,-2510.6847323644533,80356.98959209168,5214.1786569524465,30.271970209350627,-97.66227840645556,17107.0,0.4706,292.43,-272.0,161.88,49.91,64402.0
1679.0,2115.2895596427506,66224.47417933437,5077.7542231133875,30.144874192179227,-97.61413702890628,16659.0,0.2706,168.45,228.0,170.18,116.34,64286.0
1778.0,3574.282936950264,57798.07192798922,5192.18618069454,30.06909038124954,-97.59899255255692,17035.0,0.4017,249.67,728.0,185.15,101.28,64184.0
1877.0,2438.702625816425,45198.81431690961,5557.449984121536,29.95578530252618,-97.61082182353753,18233.0,0.6017,372.22,331.0,176.68,83.5,64101.0
1975.0,3533.369669099304,26339.27455410146,5723.5340430363285,29.786174763996698,-97.5995215306095,18778.0,0.7437,459.08,-148.0,178.93,90.15,64011.0
2074.0,3969.8294306763887,3007.002441583457,5649.42539645354,29.57634128566169,-97.59508451946479,18535.0,0.5575,344.5,352.0,193.93,79.71,63931.0
2173.0,-238.44384709797072,-13961.900938710924,5826.168924444965,29.4237425799177,-97.63859655976304,19115.0,0.5746,354.22,852.0,189.13,98.21,63833.0
2272.0,-3085.574731924641,-31677.202859520563,6253.762607344416,29.264421211699894,-97.66794294662441,20518.0,0.5071,310.88,1352.0,203.26,116.07,63717.0
2370.0,-9290.749175592502,-46110.19237198087,6932.197944566649,29.134591619923828,-97.73178929370334,22743.0,0.7071,429.61,1052.0,218.26,108.16,63609.0
2469.0,-22756.864197220508,-63183.1201681153,7460.1892398817345,28.980880209724525,-97.8700823882341,24476.0,0.7873,474.93,552.0,219.75,99.95,63509.0
2568.0,-38158.19561287118,-81698.80850454836,7737.361114842132,28.813995128057307,-98.02777931683696,25385.0,0.7506,451.13,987.0,204.75,105.1,63404.0
2667.0,-47721.03685670449,-102438.7156321764,8232.501032560396,28.627156030931026,-98.12504785884049,27010.0,0.592,353.38,1078.0,189.75,100.34,63303.0
2765.0,-50750.02968556624,-120059.60589701452,8773.60128360304,28.468573524689013,-98.15528975502643,28785.0,0.792,469.21,579.0,174.75,91.18,63212.0
2864.0,-48574.80518646777,-143749.32975119108,9063.913800869457,28.255615248744697,-98.13202828924899,29737.0,0.8152,480.98,81.0,159.89,78.25,63134.0
2963.0,-40176.11789204358,-166691.3335381603,9104.450574139897,28.04958619891267,-98.04548516421833,29870.0,0.8161,481.23,-418.0,174.89,64.59,63069.0
3062.0,-37996.46226299472,-191080.5060014213,8894.521214119788,27.83031773570068,-98.02247707283576,29182.0,0.8147,481.82,-917.0,174.35,52.55,63017.0
3160.0,-35577.30408548684,-215516.75568031246,8434.40011478218,27.610628245423605,-97.99713554353205,27672.0,0.8088,481.42,-1417.0,178.34,42.13,62975.0
3259.0,-34864.52965220962,-240077.5726161397,7723.430450348002,27.389768890836198,-97.98917686012426,25339.0,0.7957,478.27,-1917.0,193.34,33.09,62942.0
3358.0,-40502.66495574073,-263858.69487091206,6761.612372862865,27.175739795391486,-98.04546022887033,22184.0,0.7735,471.04,-2416.0,208.34,25.16,62916.0
3457.0,-51939.66684835654,-285066.0968523002,5549.44109023839,26.984617187792157,-98.16012653264181,18207.0,0.5956,368.48,-2500.0,197.53,12.17,62904.0
3556.0,-57612.79002615331,-303022.6211138009,4295.1470911598,26.822897877796198,-98.216503348349,14092.0,0.7083,445.26,-2500.0,182.53,30.36,62874.0
3654.0,-58618.98451060285,-325765.433026222,3040.8332119079073,26.618327732200648,-98.22554391504805,9976.0,0.6745,430.6,-2500.0,181.04,33.4,62840.0
3753.0,-59016.83924125638,-347770.10598180897,1786.5194493445374,26.420422370403887,-98.22848579185167,5861.0,0.5,324.01,-2000.0,181.01,14.52,62826.0
3852.0,-59307.51139407692,-364296.37905563164,783.0683564696806,26.271788930716916,-98.23060987580445,2569.0,0.3,196.68,-1500.0,189.27,16.47,62809.0
3951.0,-60919.20705015663,-374173.9893248421,30.48000000024053,26.182887183495172,-98.24628009503878,100.0,0.1,66.13,-1000.0,197.53,141.24,62668.0
