ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,26278.035130502074,-138400.64690153347,30.48000030451711,32.91572000090171,-97.02597000106796,100.0,0.3,198.38,2414.0,349.56,79.54,66220.0
45.0,25456.727244489954,-133943.08726084352,580.7038448828647,32.955827415809274,-97.03464280956183,1905.0,0.4786,314.51,2291.0,348.36,71.96,66148.0
90.0,23999.51810347781,-126871.43314503675,1102.887210251782,33.019457701045084,-97.05007219850197,3618.0,0.4915,321.02,2172.0,348.38,70.17,66078.0
135.0,22514.240025285653,-119649.49384904993,1597.960264253291,33.084438215712126,-97.06582139470345,5243.0,0.5041,327.42,2062.0,348.42,68.39,66010.0
180.0,21004.27046827798,-112279.31961631218,2067.98055247143,33.150750334975726,-97.08185564437629,6785.0,0.5167,333.71,1960.0,348.49,66.65,65943.0
224.0,19473.19417261845,-104763.03770346078,2514.7984479250354,33.21837475361682,-97.09813787976337,8251.0,0.5292,339.95,1865.0,348.57,64.95,65878.0
269.0,17924.17191126023,-97101.500505022,2939.9648867913775,33.28730365664588,-97.11463546709646,9646.0,0.5416,346.16,1776.0,348.67,63.32,65815.0
314.0,16360.220751950532,-89295.05609255684,3344.82104096404,33.357533783067765,-97.13131722588686,10974.0,0.556,353.63,1705.0,348.79,61.95,65753.0
359.0,14778.383709819684,-81315.21778874661,3733.577715402324,33.42932128798341,-97.14821578826374,12249.0,0.5709,361.36,1642.0,348.92,60.71,65692.0
404.0,13179.844053625418,-73155.66929475876,4107.896047014107,33.502722873607404,-97.1653197978876,13477.0,0.5857,369.03,1580.0,349.05,59.51,65633.0
449.0,11566.956603622473,-64817.67782941268,4467.992003580915,33.57772703460404,-97.18260538676769,14659.0,0.6006,376.72,1517.0,349.19,58.32,65575.0
494.0,9941.078475125645,-56300.45426814611,4813.885894668792,33.65434078083603,-97.20005937747462,15794.0,0.6155,384.4,1455.0,349.33,57.18,65517.0
539.0,8303.18689616644,-47603.96194841066,5145.64823353449,33.73256436501866,-97.21767269184548,16882.0,0.6441,400.59,1315.0,349.47,55.56,65462.0
583.0,6617.398859650345,-38533.90321008472,5445.446738013936,33.81414530842993,-97.23583374105144,17866.0,0.6605,409.19,815.0,349.6,48.89,65413.0
628.0,4914.460535975585,-29255.559686635726,5631.262537027681,33.897596814402284,-97.25421410701523,18475.0,0.6166,381.09,315.0,349.72,38.73,65374.0
673.0,3344.6426391922278,-20603.57562734402,5703.095630574543,33.97541217960436,-97.27118917778093,18711.0,0.5711,352.61,-185.0,349.82,27.91,65346.0
718.0,1905.266893889526,-12589.463742005652,5660.946018654699,34.04748845466827,-97.28678087706824,18573.0,0.5269,325.51,-685.0,349.9,16.86,65329.0
763.0,586.8679009088486,-5185.282443003161,5504.813701269301,34.11407745636709,-97.30108535798475,18060.0,0.5128,317.44,-1029.0,349.97,10.6,65319.0
808.0,-690.4191047647092,2038.2955584159463,5270.18971605393,34.179040602245756,-97.31496537555849,17291.0,0.5041,313.02,-1038.0,350.02,10.23,65309.0
853.0,-1943.4906446347122,9162.33774905957,5033.638147111122,34.24310706778183,-97.32860326787083,16515.0,0.4957,308.7,-1048.0,350.06,9.86,65299.0
898.0,-3175.1509554542913,16188.60759746962,4794.636081910326,34.30629279818671,-97.34202846731145,15730.0,0.4875,304.55,-1052.0,350.07,9.59,65289.0
942.0,-4388.281933778477,23120.52746321331,4554.814170906605,34.36862863018405,-97.35527152094947,14944.0,0.4795,300.46,-1058.0,350.07,9.29,65280.0
987.0,-5585.26570282942,29959.330033705828,4313.6134841398325,34.43012569665885,-97.36835763176227,14152.0,0.4718,296.52,-1061.0,350.05,9.04,65271.0
