ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,26278.035330452454,-138400.6471015191,30.480000303604008,32.9157199990983,-97.02596999893188,100.0,0.2271,150.18,1857.0,349.56,75.56,66224.0
42.0,25698.658803991293,-135256.14372552154,424.6642434862906,32.94401309869564,-97.03208725490019,1393.0,0.232,152.72,1803.0,334.56,75.15,66149.0
84.0,24301.009757663414,-132317.9569015003,807.4670708394193,32.97046938580019,-97.04698504410311,2649.0,0.2456,161.0,1834.0,319.56,74.49,66075.0
125.0,22075.209448799273,-129706.31846317595,1196.810768493698,32.99400461527458,-97.07077926691497,3927.0,0.27,176.18,1936.0,304.56,73.41,66001.0
167.0,18981.968301763518,-127575.59577146263,1607.857489594474,33.013226071073746,-97.10389933765349,5275.0,0.2721,176.67,1850.0,319.56,72.8,65929.0
209.0,16537.222131613285,-124707.05763499225,2000.5958182609186,33.03906407447296,-97.1300644320528,6564.0,0.2856,184.63,1851.0,334.56,71.8,65857.0
251.0,14844.557732454912,-121148.67919340103,2393.4789529453415,33.07109018049582,-97.14816349313607,7853.0,0.3102,199.55,1908.0,349.56,70.28,65787.0
293.0,14072.58229100869,-116958.86605589338,2798.439529720033,33.10878048014569,-97.15638223824332,9181.0,0.354,226.67,2011.0,4.56,67.79,65719.0
334.0,14457.53049855148,-112132.58651640637,3225.39615242822,33.15217901200414,-97.15217190045254,10582.0,0.4009,255.39,2039.0,19.56,64.93,65654.0
376.0,16285.055858462465,-106989.02602046654,3658.2692470659854,33.19840964414234,-97.13244880745287,12002.0,0.4552,288.41,1998.0,4.56,61.72,65592.0
418.0,16775.56160722782,-100839.32120125627,4082.394077971787,33.25370749455638,-97.12706224339466,13394.0,0.5301,334.09,1824.0,353.02,57.76,65534.0
460.0,15906.519716949762,-93738.02733244472,4469.645294986364,33.317584185757184,-97.13628131622171,14664.0,0.631,395.81,1334.0,352.55,53.11,65481.0
501.0,14805.763141698648,-85320.8689476518,4752.8864137376495,33.393297293382254,-97.14798746458045,15593.0,0.6996,437.28,834.0,350.84,50.21,65431.0
543.0,13311.723533511024,-76052.53405614525,4929.988823975383,33.476669132633695,-97.1639410229961,16175.0,0.7198,448.9,689.0,349.78,49.32,65382.0
585.0,11601.560792661267,-66565.6025846731,5076.236887539884,33.562007209368936,-97.182254828124,16654.0,0.7237,450.49,691.0,349.48,49.05,65333.0
627.0,9835.446894612123,-57054.25479499759,5222.997138676309,33.64756268849976,-97.20120903544839,17136.0,0.7276,452.06,694.0,349.49,48.78,65284.0
669.0,8065.389011605517,-47509.24658036947,5370.275010201681,33.733418013400374,-97.22024330815069,17619.0,0.7315,453.63,696.0,349.63,48.5,65235.0
710.0,6312.080084910667,-37927.085306626126,5518.076204371475,33.81960443485655,-97.23913415028713,18104.0,0.7354,455.17,699.0,349.6,48.23,65187.0
752.0,4547.5900475676535,-28313.269146474508,5666.406715031964,33.90607269683714,-97.25818410461754,18591.0,0.7393,456.7,701.0,349.49,47.94,65139.0
794.0,2759.2056155249475,-18670.554138149328,5815.272852106374,33.992797976165285,-97.27753184028421,19079.0,0.7432,458.21,704.0,349.45,47.66,65092.0
836.0,957.5067086860373,-8997.452392991541,5964.681268739503,34.07979350620442,-97.29706365688888,19569.0,0.747,459.7,706.0,349.41,47.37,65044.0
878.0,-856.7213380724335,705.6680538518438,6114.638991483387,34.167055867954744,-97.31677188185917,20061.0,0.7509,461.15,709.0,349.45,47.08,64997.0
919.0,-2669.9838987478606,10440.75635430044,6265.153453977393,34.254602551735694,-97.33651076550568,20555.0,0.7547,462.58,712.0,349.42,46.79,64950.0
961.0,-4493.995733471754,20204.99143881637,6416.232534663123,34.342408137141895,-97.35640801209983,21051.0,0.7585,463.98,560.0,349.38,44.79,64905.0
