ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,959455.8080426024,-15889.066497829015,30.48000030310291,32.9157200009751,-97.0259700009613,100.0,0.3,198.38,2414.0,279.48,399.01,65901.0
225.0,937317.2242171819,-12193.252291456753,2790.6107981742707,32.9680687110157,-97.25824309160075,9156.0,0.5,320.16,1980.0,273.77,330.06,65571.0
450.0,900899.128789461,-9794.510178113436,5054.423020798831,33.02041686764825,-97.64456864751969,16583.0,0.6101,379.89,1492.0,273.77,285.89,65285.0
675.0,857513.6742955485,-6938.182071318464,6760.927153542482,33.08122500089911,-98.1053949713973,22182.0,0.681,414.68,1216.0,273.76,258.24,65027.0
900.0,810061.0492004026,-3817.1469013776373,8151.610332145159,33.14577804471169,-98.6101407442031,26744.0,0.7503,448.35,958.0,273.76,235.33,64791.0
1126.0,758656.7267956173,-440.37111006328587,9246.587449467623,33.21338738311695,-99.15774517620822,30337.0,0.7897,464.71,838.0,273.75,219.91,64572.0
1351.0,705333.3457216291,3058.6433320832252,10205.458278301574,33.28096824619246,-99.72667126519028,33482.0,0.785,455.6,338.0,273.75,176.17,64395.0
1576.0,652835.8396938556,6499.998086344515,10592.548769179515,33.344955973187126,-100.28762995755675,34752.0,0.7677,443.04,-0.0,273.75,147.68,64248.0
1801.0,601637.5493391793,9852.260839000506,10592.548767077307,33.40491163101626,-100.83548485181448,34752.0,0.774,446.66,21.0,273.74,149.59,64098.0
2026.0,550029.1633768256,13225.919979090206,10616.184722366761,33.462877817626485,-101.38847887659126,34830.0,0.7743,446.69,21.0,273.73,149.16,63949.0
2251.0,498416.2532572574,16591.954561005667,10640.446522049271,33.51833858222662,-101.94224752716913,34910.0,0.7745,446.63,21.0,273.72,148.71,63800.0
2476.0,446809.72585919447,19947.643299905532,10664.572149743282,33.57125589212222,-102.4966446789901,34989.0,0.7747,446.57,21.0,273.71,148.26,63652.0
2701.0,395208.3863560676,23292.926341620747,10688.66078094293,33.62162249579953,-103.05165216782812,35068.0,0.7749,446.51,21.0,273.7,147.81,63504.0
2926.0,343612.5925906824,26629.108480478008,10712.731839677368,33.669443044657676,-103.6072341739955,35147.0,0.775,446.45,21.0,273.69,147.36,63357.0
3152.0,292022.8533435366,29957.567268353265,10736.779543634295,33.71472326444249,-104.16335314088039,35226.0,0.7752,446.38,21.0,273.68,146.91,63210.0
3377.0,240439.32035171165,33278.90506771603,10760.840831108651,33.757462484428586,-104.71997553833879,35305.0,0.7753,446.3,21.0,273.68,146.46,63063.0
3602.0,188862.43167235222,36592.58451568232,10784.906266982112,33.797650150523175,-105.27706479155734,35384.0,0.7755,446.23,21.0,273.67,146.02,62917.0
3827.0,137292.10354522415,39897.31732841854,10809.036123103864,33.83526948684696,-105.83458965272683,35463.0,0.7756,446.14,21.0,273.66,145.57,62772.0
4052.0,85728.92633077127,43191.992282472376,10833.214575831404,33.87030561524312,-106.3925109837645,35542.0,0.7757,446.05,21.0,273.65,145.12,62627.0
4277.0,34172.84274998879,46476.69482981405,10857.5009443759,33.90275489686544,-106.95079614089144,35622.0,0.7758,445.94,21.0,273.64,144.67,62482.0
4502.0,-17375.591431610854,49752.94825479932,10881.872611555245,33.93262671575722,-107.50940566523938,35702.0,0.7759,445.84,21.0,273.63,144.22,62338.0
4727.0,-68916.7696444726,53023.006308692115,10906.410264640293,33.95993771712541,-108.06831005061682,35782.0,0.776,445.73,22.0,273.63,143.84,62194.0
