ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,959455.8081434414,-15889.066593700198,30.480000000004832,32.915720000031016,-97.0259699999869,100.0,0.2976,196.8,1672.0,279.48,423.06,65877.0
263.0,933589.6629912916,-11570.971643181172,2267.0452374445003,32.97684159296023,-97.29737853335602,7438.0,0.4976,320.62,1172.0,294.48,322.7,65554.0
527.0,894459.1948553858,6243.26879315073,3834.8061537640892,33.168911307220604,-97.69753784862665,12581.0,0.691,436.85,672.0,282.27,322.83,65231.0
790.0,836965.0449951836,18751.26136936792,4733.758119045652,33.326856186265466,-98.30131577604878,15531.0,0.7152,447.09,172.0,280.74,276.2,64955.0
1053.0,777550.8593252744,30024.044298992136,4963.914113185005,33.47231669249378,-98.92894129326122,16286.0,0.6894,429.75,0.0,273.04,243.02,64712.0
1317.0,719418.5997275059,33107.25954597941,4963.94712452309,33.5405449876613,-99.55144177016552,16286.0,0.4894,305.08,452.0,274.24,221.69,64490.0
1580.0,678368.0801503506,36148.6657304374,5568.048180563659,33.594605237771425,-99.99094404866167,18268.0,0.2894,179.03,742.0,289.24,375.79,64115.0
1843.0,655637.8913386795,44080.592629620274,6560.098451789214,33.679836794888445,-100.22991742429048,21523.0,0.3739,228.27,243.0,278.98,231.13,63884.0
2106.0,625162.9798465836,48894.020166073824,6885.428352127146,33.74126298945947,-100.5551622963111,22590.0,0.5739,348.87,0.0,263.98,169.74,63714.0
2370.0,578165.4205134872,43940.48368029661,6885.45675986081,33.72340789506301,-101.06574942701666,22590.0,0.7739,470.46,0.0,266.07,235.76,63478.0
2633.0,514586.84345476696,39577.31294496697,6885.471405555581,33.716875658725336,-101.75475248400444,22590.0,0.7742,470.66,-485.0,265.53,200.33,63278.0
2896.0,450755.10869249207,34582.84201772799,6236.26555893121,33.700961799895666,-102.44667527908142,20460.0,0.5742,352.08,15.0,278.08,175.22,63103.0
3160.0,403542.0652739834,41284.969040209355,6255.774265151424,33.7800602618371,-102.95352848398466,20524.0,0.6326,387.83,-484.0,289.46,147.07,62955.0
3423.0,353804.0471255746,58863.90440897543,5608.9542224509,33.95565822752103,-103.48424149660603,18402.0,0.6896,426.34,-260.0,287.4,204.77,62751.0
3686.0,298571.3438832647,76169.26696553385,5261.092072456163,34.12814410055256,-104.07686296891235,17261.0,0.4924,305.77,237.0,275.71,190.09,62561.0
3950.0,257442.79387183383,80279.70897038543,5578.703877702123,34.17590619172671,-104.52230090711662,18303.0,0.5058,312.8,135.0,265.57,178.18,62382.0
4213.0,215247.331977123,77009.0339233101,5759.355413047554,34.15595165246397,-104.98166236496603,18896.0,0.6745,416.2,-361.0,255.05,185.03,62197.0
4476.0,160609.9738578483,62418.17091887785,5276.509880885768,34.03448753360418,-105.5780435595214,17311.0,0.5655,351.12,54.0,263.93,184.8,62013.0
4740.0,113335.7891622468,57393.88694959911,5349.270130218534,33.99542428136031,-106.09168122403838,17550.0,0.43,266.74,499.0,274.09,221.5,61791.0
5003.0,77456.95515248786,59959.92956430369,6017.3792517357815,34.021729972761655,-106.48062150894162,19742.0,0.5293,325.5,15.0,271.59,164.4,61627.0
5266.0,33388.03065920398,61181.22878689923,6038.05423917492,34.035019530589935,-106.95873912163434,19810.0,0.6487,398.8,-379.0,263.69,165.13,61462.0
5530.0,-20481.503424517952,55224.9210106589,5530.835147949802,33.98178173789369,-107.54319875703044,18146.0,0.5749,355.77,114.0,263.83,188.82,61273.0
5793.0,-68347.08487487092,50051.05395891955,5683.7421744335215,33.9332483683781,-108.0619016258023,18647.0,0.4262,263.23,499.0,267.9,220.26,61052.0
6056.0,-103819.74418832133,48751.23488978307,6351.561655362918,33.918682108655865,-108.44621967801308,20838.0,0.5153,315.48,112.0,269.89,169.11,60883.0
6319.0,-146511.9363927074,48667.7025907898,6501.249740711587,33.9128966991207,-108.90882121664505,21330.0,0.6235,380.98,-360.0,271.77,148.28,60735.0
6583.0,-198256.68350409094,50265.196816204705,6019.691245212715,33.91885565072334,-109.46979949856396,19750.0,0.7413,455.88,-363.0,281.23,212.52,60523.0
6846.0,-259016.80702683932,62328.35378874801,5533.695258554862,34.01418569003164,-110.13160520703995,18155.0,0.7311,452.42,135.0,280.42,255.03,60268.0
7109.0,-319219.8694854514,73397.47142837096,5714.823976045861,34.0972068449417,-110.78845863661586,18749.0,0.5311,327.89,500.0,286.66,212.01,60056.0
7373.0,-361582.7726871414,86071.25207511627,6383.5860165490785,34.197406756134455,-111.25345761580787,20944.0,0.3311,202.64,500.0,272.96,276.01,59780.0
7636.0,-388866.59347413963,87480.41871286648,7052.358492483344,34.20036185054133,-111.55049137017198,23138.0,0.5079,308.11,500.0,257.96,204.24,59575.0
7899.0,-429495.59422540374,78812.36417162511,7720.807205408284,34.106797455075494,-111.9875230027762,25331.0,0.7079,425.55,500.0,265.91,224.33,59351.0
8163.0,-486727.0654214358,74724.7385980404,8389.367010580036,34.04533134108341,-112.60603196787025,27524.0,0.6252,372.35,500.0,280.91,200.58,59150.0
8426.0,-536017.5456937995,84229.6750677242,9058.152379083982,34.10677101292785,-113.14599206262697,29718.0,0.4252,250.86,235.0,280.52,208.93,58941.0
8689.0,-569351.4505708811,90422.15645717407,9372.983496409961,34.144865723542914,-113.51143777582648,30751.0,0.62,364.19,-265.0,265.52,126.79,58815.0
8953.0,-618656.8109164953,86562.5210381915,9019.005242433203,34.082571930555446,-114.04331312475266,29590.0,0.82,484.1,-765.0,277.21,147.93,58667.0
9216.0,-684174.6931775312,94856.41928936988,7996.216702224651,34.116495268197845,-114.75938050929673,26234.0,0.82,491.06,-1265.0,274.33,139.85,58527.0
9479.0,-751248.7595477009,99935.22996859395,6304.617648413973,34.11640438671287,-115.49006722730668,20684.0,0.7743,474.35,-1765.0,274.39,127.51,58399.0
9743.0,-816257.5645208305,104921.99468997467,3944.207301346259,34.112789451041095,-116.1982797808162,12940.0,0.7,441.96,-1475.0,275.25,165.59,58234.0
10006.0,-876563.5598817203,110468.22323427911,1970.8223768610787,34.114039664272916,-116.85610325453564,6466.0,0.5,323.3,-975.0,264.48,98.7,58135.0
10269.0,-920469.5505999357,106223.20810939545,666.2469657756761,34.03887643168044,-117.32628783442003,2186.0,0.3,196.95,-475.0,279.48,74.54,58061.0
10532.0,-946871.7788647774,110630.79568357814,30.47999999998643,34.05489467527517,-117.61617088882734,100.0,0.1,66.13,25.0,294.48,483.98,57577.0
