ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-148930.8443320994,26800.42211777826,30.4800003045184,32.915712873030266,-97.02597139463863,100.0,0.3,198.38,2414.0,98.89,84.42,66216.0
48.0,-144178.89016562694,26056.848157315206,614.4660776044983,32.909660799989304,-96.97495302829525,2016.0,0.478,313.97,2290.0,99.87,76.32,66139.0
95.0,-136643.43202935744,24745.870432370568,1168.6394703367487,32.89883568168464,-96.89404492169717,3834.0,0.4915,320.83,2165.0,99.86,74.3,66065.0
143.0,-128939.17995469304,23406.59968050562,1692.5242086343644,32.88772388139948,-96.81134511966594,5553.0,0.5049,327.56,2050.0,99.85,72.3,65993.0
191.0,-121069.5719463175,22040.774469453827,2188.5995028894877,32.87633711404744,-96.72689208709137,7180.0,0.5181,334.18,1944.0,99.82,70.35,65922.0
238.0,-113037.38296290186,20650.020844883922,2659.0201854510888,32.86468617950163,-96.64071713780935,8724.0,0.5313,340.72,1846.0,99.79,68.47,65854.0
286.0,-104844.6096416891,19235.803678979995,3105.6436841208615,32.85278051641886,-96.55284320086545,10189.0,0.5454,347.9,1753.0,99.76,66.65,65787.0
333.0,-96475.59703480222,17796.45676775189,3529.767044462234,32.84060294926833,-96.46310391900816,11581.0,0.5611,356.06,1686.0,99.72,65.23,65722.0
381.0,-87907.44172004737,16328.979363119908,3937.6779613811623,32.82812432711809,-96.37125542071644,12919.0,0.5767,364.16,1620.0,99.68,63.85,65658.0
429.0,-79141.38205999414,14834.36765332533,4329.5899131539545,32.81534889637916,-96.27731279434056,14205.0,0.5924,372.25,1554.0,99.63,62.49,65596.0
476.0,-70177.9128822235,13313.247653205382,4705.6434791291895,32.8022775613185,-96.1812831498919,15438.0,0.6081,380.31,1489.0,99.59,61.18,65534.0
524.0,-61017.49370374003,11765.925563190696,5065.965783815565,32.78890826903156,-96.08317322104394,16621.0,0.6239,388.38,1424.0,99.55,59.91,65475.0
572.0,-51659.9592870552,10192.335503892351,5410.619968254351,32.775235566631984,-95.98298307354456,17751.0,0.6397,396.48,1360.0,99.51,58.69,65416.0
619.0,-42104.47846611294,8591.942434840894,5739.598304916633,32.7612497037083,-95.88070568492891,18831.0,0.6915,426.78,985.0,99.48,55.0,65361.0
667.0,-31808.773449314234,6873.4176789578305,5977.802651889146,32.746140040260336,-95.7705415462155,19612.0,0.6482,398.8,485.0,99.45,44.62,65316.0
714.0,-22177.928522220933,5269.877774590737,6095.030211498194,32.731954973079176,-95.667525432281,19997.0,0.6033,370.65,-15.0,99.44,33.59,65283.0
762.0,-13218.901390949111,3780.4771509470997,6091.280983743269,32.71870433342264,-95.57172494592055,19985.0,0.5565,341.89,-515.0,99.43,22.05,65261.0
810.0,-4949.24606777208,2406.373123891022,5966.554968624889,32.706414894013754,-95.48332136349528,19575.0,0.5281,324.97,-1015.0,99.44,11.82,65249.0
857.0,2914.3715714789882,1099.0422381111332,5720.85216615215,32.694665050461154,-95.39928099376144,18769.0,0.5197,320.81,-1068.0,99.45,10.79,65238.0
905.0,10676.94667464361,-193.4894764469275,5462.410841726663,32.682993157084724,-95.31634230875866,17921.0,0.5101,315.95,-1077.0,99.48,10.4,65228.0
953.0,18321.28995922865,-1469.626859824624,5201.849180255541,32.6714161325084,-95.2346881629721,17066.0,0.5008,311.23,-1083.0,99.51,10.05,65218.0
1000.0,25850.526294658073,-2730.978062750492,4939.758889635913,32.65992193213863,-95.15428439892679,16207.0,0.4918,306.64,-1088.0,99.55,9.73,65208.0
1048.0,33267.60754053087,-3979.0394874355748,4676.6177276229655,32.648499396603825,-95.07509878003339,15343.0,0.483,302.19,-1090.0,99.6,9.46,65198.0
1095.0,40575.63904349544,-5215.214516854154,4412.801066710801,32.637138080948255,-94.99709749370076,14478.0,0.4746,297.89,-1092.0,99.66,9.2,65189.0
1143.0,47778.30576087555,-6440.797512240095,4148.592222624541,32.625828378343954,-94.92024059595458,13611.0,0.4664,293.71,-1093.0,99.72,8.96,65180.0
1191.0,54878.48422086365,-7656.830261070313,3884.240213428679,32.614562864633875,-94.84449682087467,12744.0,0.4584,289.63,-1092.0,99.78,8.76,65171.0
1238.0,61878.40227924367,-8863.982120700366,3619.9801959784504,32.60333739642201,-94.76984185083009,11877.0,0.4506,285.65,-1091.0,99.85,8.56,65163.0
1286.0,68780.53653430675,-10062.823874229613,3356.008076106267,32.5921486154216,-94.69624873861483,11011.0,0.4431,281.81,-1089.0,99.92,8.38,65154.0
1334.0,75588.10801825624,-11253.898287266165,3092.449653620206,32.58099327456744,-94.62368262051343,10146.0,0.4359,278.07,-1087.0,99.99,8.21,65146.0
1381.0,82303.85333320845,-12437.457485573388,2829.4270696454187,32.56987067086667,-94.55211381017463,9283.0,0.4288,274.43,-1084.0,100.06,8.05,65138.0
1429.0,88929.96518853256,-13613.517689844846,2567.062633216956,32.5587821751641,-94.48151842428689,8422.0,0.4219,270.87,-1081.0,100.13,7.9,65130.0
1476.0,95468.58429600789,-14781.907361557132,2305.45734278507,32.54773077503146,-94.41187312775416,7564.0,0.4152,267.42,-1078.0,100.19,7.76,65123.0
1524.0,101922.3946259278,-15942.453822033183,2044.6962547109367,32.536719345090106,-94.34314879782005,6708.0,0.4087,264.05,-1074.0,100.25,7.63,65115.0
1572.0,108293.64939512018,-17094.78118981671,1784.8386971035136,32.5257525454315,-94.27532089305727,5856.0,0.4024,260.78,-1070.0,100.3,7.51,65107.0
1619.0,114584.71785751122,-18238.439232517834,1525.9491548082678,32.51483562058899,-94.20836362858829,5006.0,0.3963,257.59,-1066.0,100.35,7.39,65100.0
1667.0,120797.70507889766,-19372.852598998696,1268.081126391788,32.50397489593758,-94.14225402257965,4160.0,0.3903,254.49,-1061.0,100.38,7.44,65093.0
1715.0,126934.99817978684,-20497.462772294715,1011.2542313075171,32.49317644766864,-94.07696608631585,3318.0,0.3846,251.45,-1057.0,100.41,7.53,65085.0
1762.0,132998.48161921639,-21611.557113420076,755.514486337829,32.482447727987946,-94.0124791680693,2479.0,0.3789,248.49,-1052.0,100.43,7.62,65077.0
1810.0,138990.05156424153,-22714.464518504952,500.88776897351704,32.47179575644024,-93.9487724917549,1643.0,0.3734,245.6,-1048.0,100.44,7.69,65070.0
1858.0,144911.58147473674,-23805.468456962342,247.39653141385656,32.461227907324364,-93.88582551221236,812.0,0.3,197.89,-897.0,98.89,8.09,65062.0
1905.0,149703.1332592417,-24555.238554284773,30.47999969563218,32.453850000912304,-93.83488000104963,100.0,0.2266,149.83,-745.0,97.35,9.64,65052.0
