ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,16623.606591216903,-139717.0412397279,30.48000030286659,32.915719999101896,-97.02597000070247,100.0,0.2965,196.03,2395.0,353.41,63.54,66236.0
36.0,16213.351824185977,-136164.40699618615,466.1181207054221,32.94767582953493,-97.03030114820272,1529.0,0.3048,200.57,2331.0,8.41,62.9,66174.0
72.0,16749.065108882216,-132542.12730392494,890.172504129677,32.98024342231233,-97.02449343122953,2921.0,0.3199,209.49,2300.0,23.41,62.0,66112.0
107.0,18269.850127557245,-129029.93958892103,1308.6202081045897,33.01180424437387,-97.0081196648097,4293.0,0.3445,224.49,2296.0,10.51,60.73,66051.0
143.0,19018.259646449013,-124994.33530009008,1726.208557687772,33.04808410552334,-97.00000883640675,5663.0,0.5445,353.09,1796.0,359.89,52.7,65998.0
179.0,19006.081336185835,-118510.53202467579,2052.842749240669,33.106394368573156,-97.00000277996165,6735.0,0.6019,388.79,1296.0,359.89,49.69,65948.0
215.0,18992.01711107175,-111362.22821108701,2288.522782761622,33.17068064203926,-97.00000278426197,7508.0,0.6485,417.73,796.0,359.43,47.29,65901.0
251.0,18915.25958629793,-103675.40868963597,2433.2486582507013,33.23981100565451,-97.00066528712068,7983.0,0.6612,425.17,660.0,358.63,46.48,65855.0
286.0,18728.40953476078,-95851.91269367386,2553.366055512717,33.310172473815776,-97.0025104468616,8377.0,0.6629,425.68,660.0,358.33,46.19,65808.0
322.0,18499.524173898433,-88020.13180381854,2673.465101448654,33.38060916081715,-97.00481093686626,8771.0,0.6647,426.19,660.0,357.98,45.91,65763.0
358.0,18222.883906434417,-80180.43148528956,2793.5558234889413,33.45111785435666,-97.0076295390705,9165.0,0.6664,426.71,660.0,352.28,45.62,65717.0
394.0,17167.43431012176,-72397.5785154333,2913.6483529865654,33.521128196985885,-97.0188548071106,9559.0,0.6682,427.23,660.0,341.3,45.33,65672.0
430.0,14646.757299361712,-64948.85932553344,3033.7529302648154,33.58815397403569,-97.04592217636453,9953.0,0.67,427.76,660.0,343.85,45.05,65627.0
466.0,12456.63812390946,-57386.307081080406,3153.879909827982,33.65619369296908,-97.06945875686864,10347.0,0.673,429.07,662.0,345.59,44.87,65582.0
501.0,10491.010996745039,-49737.36350865412,3274.305379357834,33.725003652421115,-97.09060423027846,10742.0,0.6763,430.49,664.0,352.02,44.7,65537.0
537.0,9391.66132327079,-41890.38842889704,3395.0674888071107,33.79558353826618,-97.1024071050602,11139.0,0.6795,431.92,666.0,3.14,44.53,65492.0
573.0,9827.710463558358,-33952.5925028116,3516.1682366341606,33.866965795175965,-97.09759896132726,11536.0,0.6827,433.34,668.0,356.75,44.36,65448.0
609.0,9375.670326910677,-25989.487681001716,3637.60967772968,33.93858380412797,-97.10240915725213,11934.0,0.686,434.76,669.0,341.75,44.17,65404.0
645.0,6869.837756889819,-18389.871037090703,3759.393926783022,34.00694823387276,-97.12951199011223,12334.0,0.6893,436.18,671.0,341.95,44.0,65360.0
680.0,4381.648135453481,-10756.949264374944,3881.523161784015,34.07560615839054,-97.15646675869246,12735.0,0.6926,437.61,673.0,349.0,43.82,65316.0
716.0,2845.263055646226,-2850.4714501181074,4003.999627802194,34.14671616643777,-97.1731217750781,13136.0,0.6959,439.03,675.0,349.53,43.64,65272.0
752.0,1376.6007614531302,5095.414830296292,4126.825641016023,34.218178254848816,-97.1890683661001,13539.0,0.6992,440.45,677.0,349.86,43.46,65229.0
788.0,-50.54086997566409,13075.346004792866,4250.003593031454,34.28994441044135,-97.20459014110196,13944.0,0.7025,441.86,679.0,349.24,43.27,65186.0
824.0,-1569.02792186469,21064.886443166957,4373.535955508055,34.361794889963505,-97.2211335961852,14349.0,0.7058,443.27,681.0,343.94,43.09,65143.0
859.0,-3826.4149302957394,28904.890178021324,4497.4252851209085,34.43229586571976,-97.24576150856585,14755.0,0.7092,444.68,683.0,341.16,42.9,65100.0
895.0,-6469.944724391437,36650.61537602527,4621.674228882962,34.5019417007413,-97.27464411296087,15163.0,0.7125,446.09,537.0,341.46,41.32,65058.0
931.0,-9080.593525365874,44436.55377318589,4719.409505558916,34.571942680390094,-97.30321626487941,15484.0,0.7152,447.19,37.0,338.89,36.22,65022.0
967.0,-12047.47437814907,52121.396188641986,4726.190624223721,34.641023739564204,-97.33572901984157,15506.0,0.7155,447.32,-463.0,337.75,31.02,64991.0
1003.0,-15168.550254035996,59752.02021059206,4642.017584869195,34.709606331112745,-97.36998180369314,15230.0,0.7133,446.45,-963.0,336.57,25.78,64965.0
1038.0,-18442.313373011188,67304.61168159031,4466.890387493512,34.777474871289186,-97.40596137837532,14655.0,0.7088,444.58,-1463.0,336.73,20.61,64945.0
1074.0,-21681.09415077279,74837.12698721724,4200.809032097001,34.84515303710222,-97.44161623331944,13782.0,0.7018,441.68,-1963.0,343.12,15.56,64929.0
1110.0,-24046.707057622727,82632.77011895369,3843.7735186823425,34.91520797563208,-97.46776146494541,12611.0,0.6924,437.69,-2463.0,345.0,10.82,64918.0
1146.0,-26136.129814846132,90430.60168834757,3395.783847260668,34.98528406129934,-97.4909198688307,11141.0,0.6806,432.6,-2500.0,360.0,10.84,64908.0
1182.0,-26136.129818537433,98409.01627436945,2941.013057117486,35.057035178245435,-97.49116995885284,9649.0,0.6699,428.16,-2500.0,360.0,11.37,64896.0
1217.0,-26136.12981854325,106305.01873495372,2486.242266974195,35.12804514839939,-97.49141819428954,8157.0,0.6633,426.31,-2500.0,3.11,12.45,64884.0
1253.0,-25709.85318234362,114154.93555811148,2031.47147683154,35.19865147865001,-97.48697459208557,6665.0,0.6569,424.48,-2500.0,18.11,13.6,64870.0
1289.0,-23276.956696028985,121594.74218119202,1576.7006866908057,35.26561723310673,-97.46041041944031,5173.0,0.6507,422.69,-2500.0,33.11,14.83,64855.0
