ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,205713.7478339657,-120307.8771533811,30.48000030449716,33.00164000091805,-97.32075000104922,100.0,0.3,198.38,2414.0,302.32,121.36,66179.0
68.0,199879.50485066444,-116616.75043344268,869.9562082538605,33.035928668088964,-97.38248053063414,2854.0,0.4726,309.52,2289.0,301.31,109.23,66069.0
137.0,190633.16682465657,-110992.41676798485,1665.9869998808579,33.0881811043882,-97.48045948543238,5466.0,0.4912,318.77,2121.0,301.31,105.07,65964.0
205.0,181102.59138358454,-105196.26223674115,2403.541583649473,33.14194991177068,-97.58157238890512,7886.0,0.5094,327.71,1973.0,301.3,101.04,65863.0
274.0,171297.58612288494,-99235.45441446862,3089.6320548221765,33.1971615037378,-97.68572648044736,10137.0,0.5286,337.24,1838.0,301.28,97.15,65766.0
342.0,161200.48730021535,-93100.5391069498,3728.995441545931,33.25389598982368,-97.79312116585923,12234.0,0.5503,348.37,1746.0,301.26,94.13,65672.0
411.0,150764.08874849378,-86764.15863939153,4336.112496959311,33.312397723073346,-97.90427199220207,14226.0,0.5718,359.26,1656.0,301.24,91.18,65581.0
479.0,139995.5660636479,-80232.00344760512,4911.967026551409,33.37260459394088,-98.01911724352541,16115.0,0.5931,369.98,1568.0,301.21,88.34,65492.0
548.0,128899.17723425932,-73508.0166162835,5457.288405331181,33.43447046371898,-98.13762640308624,17904.0,0.6143,380.54,1482.0,301.18,85.61,65407.0
616.0,117479.29311452531,-66596.06808840999,5972.80950950612,33.49794963959556,-98.25976788721152,19596.0,0.6353,390.93,1399.0,301.15,83.03,65324.0
685.0,105740.42263523601,-59499.910941159695,6459.269501542652,33.56299728043728,-98.385508745655,21192.0,0.6563,401.26,1317.0,301.12,80.55,65243.0
753.0,93684.17172569205,-52221.345985997636,6917.1801622624325,33.62958618842353,-98.51484729093612,22694.0,0.6772,411.54,1236.0,301.09,78.2,65165.0
822.0,81312.02253599161,-44761.807453972484,7347.046110248737,33.69769217830779,-98.6477834428834,24104.0,0.698,421.72,1157.0,301.05,75.99,65089.0
890.0,68626.68840588382,-37123.1564445096,7749.462390652696,33.76728684650104,-98.78430415622903,25425.0,0.7189,432.0,1078.0,301.02,73.9,65015.0
959.0,55625.06491965937,-29303.442389106825,8124.567049213956,33.838376135347005,-98.9244593765723,26655.0,0.7398,442.23,1001.0,301.0,71.96,64943.0
1027.0,42308.80904575177,-21303.25806250052,8472.841574999911,33.91094239489213,-99.06824825671299,27798.0,0.7673,456.49,896.0,300.97,69.96,64873.0
1095.0,28555.554322776712,-13048.4729106872,8784.618628010407,33.98564305961211,-99.21701298886268,28821.0,0.7661,453.79,396.0,300.95,58.85,64814.0
1164.0,14861.967308362558,-4836.151117138924,8922.492331853615,34.05978176737818,-99.36539207110029,29273.0,0.7297,431.39,-104.0,300.94,45.65,64769.0
1232.0,1825.8217192017357,2976.7953742938907,8886.462686526509,34.1301493622597,-99.50688843163185,29155.0,0.677,400.45,-604.0,300.92,31.39,64737.0
1301.0,-10290.54876198285,10234.955531729645,8676.52969202949,34.19537440020404,-99.63861263750762,28466.0,0.6349,376.64,-1104.0,300.92,18.23,64719.0
1369.0,-21697.796121850268,17066.121634897387,8292.693348371364,34.25663346233413,-99.762813594392,27207.0,0.6158,367.27,-1201.0,300.91,15.7,64703.0
1438.0,-32822.6859786257,23727.15255582593,7875.105122028082,34.31624605010455,-99.88411433569915,25837.0,0.5963,357.71,-1219.0,300.91,14.72,64689.0
1506.0,-43657.64052357671,30214.635051268964,7450.997218993851,34.374190445693785,-100.00241926491648,24446.0,0.5779,348.66,-1230.0,300.92,13.92,64675.0
1575.0,-54217.575937949834,36538.51492751103,7023.0552619219125,34.43056403767139,-100.11787878626654,23042.0,0.5604,340.05,-1236.0,300.92,13.24,64662.0
1643.0,-64515.31699352744,42707.39515952832,6593.19115110998,34.48545148782508,-100.23062159920144,21631.0,0.5439,331.92,-1238.0,300.94,12.66,64649.0
1712.0,-74564.80501655789,48730.4072180541,6162.694153074978,34.53894146167585,-100.34078967972154,20219.0,0.5281,324.13,-1237.0,300.95,12.16,64637.0
1780.0,-84376.2933996108,54614.26208249376,5732.609198361963,34.59110047167805,-100.44848553007425,18808.0,0.5131,316.71,-1233.0,300.97,11.74,64625.0
1849.0,-93960.80314892987,60365.92697488006,5303.664809362506,34.64199674288375,-100.55382087231219,17400.0,0.499,309.67,-1229.0,300.99,11.34,64614.0
1917.0,-103329.89519339701,65992.51407757065,4876.360659457978,34.69169921747433,-100.65691415305405,15999.0,0.4854,302.9,-1222.0,301.01,11.02,64603.0
1986.0,-112491.37820083415,71498.69323405722,4451.218014360577,34.74025475143104,-100.75784322313527,14604.0,0.4725,296.46,-1215.0,301.03,10.71,64592.0
2054.0,-121455.61980138702,76890.48481012491,4028.510357360524,34.787721662627696,-100.85671470849287,13217.0,0.4603,290.32,-1208.0,301.04,10.42,64582.0
2122.0,-130231.90873355363,82173.13482120183,3608.4421619134196,34.834150984547854,-100.95362395730633,11839.0,0.4486,284.38,-1199.0,301.06,10.18,64571.0
2191.0,-138826.58786673087,87350.05700609871,3191.3103925007363,34.879577267813325,-101.04863430408275,10470.0,0.4374,278.75,-1191.0,301.08,9.94,64561.0
2259.0,-147249.178502694,92426.50074500426,2777.136037812424,34.924050820519746,-101.14184467797853,9111.0,0.4268,273.35,-1182.0,301.09,9.9,64552.0
2328.0,-155506.7116715235,97406.14663655065,2366.0224789349604,34.967607833462715,-101.23332694009513,7763.0,0.4166,268.11,-1173.0,301.1,10.12,64541.0
2396.0,-163604.57435227357,102291.70569531931,1958.1324930097446,35.01027574706485,-101.3231351239234,6424.0,0.4069,263.14,-1164.0,301.11,10.34,64531.0
2465.0,-171551.18129496323,107087.76165675321,1553.382134608044,35.05209809897787,-101.41135722679834,5096.0,0.3976,258.35,-1154.0,301.12,10.55,64521.0
2533.0,-179351.88821467047,111797.05008531782,1151.8465494220513,35.09310202391121,-101.49804768377811,3779.0,0.3886,253.7,-1145.0,301.12,10.75,64510.0
