ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,205713.7478427937,-120307.87729629825,30.48000009522343,33.00163999963158,-97.32075000098703,100.0,0.3,198.38,2414.0,302.32,101.08,66199.0
57.0,200850.3565744555,-117230.97536041308,729.6951305990938,33.03022493948398,-97.37220488601298,2394.0,0.4362,286.14,2436.0,287.32,93.44,66105.0
114.0,192897.3855525825,-114750.83325803746,1435.3913535243994,33.053986094710844,-97.4569642681957,4709.0,0.4588,298.55,2271.0,276.58,90.17,66015.0
171.0,184254.44128581908,-113754.2432069231,2093.3529322056793,33.06447099589087,-97.5494756687214,6868.0,0.4889,315.64,2089.0,279.31,86.4,65929.0
228.0,175168.9837095414,-112264.3599839733,2698.4356955276276,33.07939423686049,-97.64666166862895,8853.0,0.5417,347.26,1784.0,280.89,81.17,65848.0
285.0,165208.87940670524,-110347.98307052012,3215.3058014581597,33.09821130087968,-97.75318987921717,10549.0,0.6133,390.69,1284.0,282.99,75.26,65772.0
342.0,154071.45438559874,-107779.43686101306,3587.328626090503,33.1229709710284,-97.87229159381108,11769.0,0.6705,425.2,817.0,289.5,71.33,65701.0
399.0,142332.1861435581,-103621.64258500394,3824.038332790911,33.16198616306339,-97.99767295194933,12546.0,0.6219,393.23,1314.0,303.59,73.98,65627.0
456.0,132750.15136630856,-97257.77534127081,4204.628689622574,33.22044431360059,-98.09965799498563,13795.0,0.6743,424.36,938.0,301.46,70.51,65557.0
513.0,122151.33581725488,-90772.82094281129,4476.432292272513,33.280025084716875,-98.2126994651856,14686.0,0.7078,443.9,682.0,299.72,68.42,65488.0
570.0,110856.72128104103,-84326.10274638441,4673.896221964668,33.33923214522019,-98.33338957629586,15334.0,0.713,446.11,685.0,298.08,67.94,65420.0
627.0,99325.37759093732,-78174.68153172334,4872.285852126289,33.39568868860486,-98.45682677301627,15985.0,0.7183,448.3,688.0,288.28,67.45,65353.0
684.0,86854.50001191419,-74055.38986462903,5071.613309938688,33.433825704715716,-98.59074934454026,16639.0,0.7237,450.47,691.0,288.35,66.94,65286.0
741.0,74328.30472874822,-69901.06702850827,5271.891484804329,33.47213653494108,-98.72538330810805,17296.0,0.729,452.62,695.0,288.56,66.45,65219.0
