ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-430769.09828044166,140947.91856069982,30.479999948122398,33.00161918514017,-97.32075694734594,100.0,0.1915,126.61,1437.0,104.31,220.21,66080.0
121.0,-423222.1620566308,139022.8477788044,913.4632532574093,32.98722643671061,-97.23902613965346,2997.0,0.1761,115.28,984.0,119.31,219.37,65860.0
242.0,-417012.211768874,135536.5831641524,1518.2959585408175,32.9582638624722,-97.17093775347227,4981.0,0.2154,139.99,1350.0,131.2,215.57,65645.0
363.0,-410520.03783076094,129853.53967668858,2347.924031324161,32.909642048205846,-97.09890116170428,7703.0,0.2424,156.01,1425.0,133.5,210.51,65434.0
484.0,-403544.4854226439,123234.5725996684,3223.3551105809374,32.85274768071688,-97.02136833025317,10575.0,0.2865,182.5,1574.0,135.95,201.82,65233.0
605.0,-395724.88482297724,115151.4158119622,4190.271940163476,32.782953409877315,-96.9342931410066,13748.0,0.3478,218.89,1682.0,138.4,188.18,65044.0
726.0,-386766.7825841991,105063.37924036298,5223.472506528274,32.695483793338795,-96.83436974231765,17137.0,0.469,291.41,1775.0,141.21,166.93,64877.0
847.0,-375509.3846005635,91056.08226614096,6313.693234641837,32.57350015134751,-96.70855248702732,20714.0,0.669,409.83,1275.0,154.68,142.06,64735.0
968.0,-364667.14913704875,68137.0485896637,7096.728896442708,32.371200818985116,-96.58407766052866,23283.0,0.768,465.59,775.0,157.84,131.03,64604.0
1088.0,-353778.7631001799,41398.53536942659,7572.57949191869,32.134470087357315,-96.45828712588921,24844.0,0.7853,473.04,733.0,155.97,127.59,64477.0
1209.0,-341832.7275956753,14604.069167566025,8022.659278883424,31.89741491747093,-96.32197225554202,26321.0,0.7942,475.42,545.0,156.28,118.48,64358.0
1330.0,-329961.63614025316,-12411.675220221676,8357.616787105415,31.65818833847793,-96.18711557589472,27420.0,0.8,476.68,45.0,156.63,99.61,64259.0
1451.0,-318200.2711188922,-39631.11893064697,8385.389229156903,31.4169430745256,-96.05408345485617,27511.0,0.801,477.08,-455.0,157.91,82.57,64176.0
1572.0,-307018.09334766393,-67187.3435714204,8105.97660521929,31.17236432210304,-95.92775763809269,26594.0,0.7972,476.67,-716.0,147.58,75.79,64100.0
1693.0,-291074.39582110813,-92295.9072942081,7666.336202150573,30.95084504456848,-95.75293692219851,25152.0,0.7895,474.94,-216.0,132.58,95.82,64004.0
1814.0,-269298.9600460504,-112308.81826979606,7533.880864888641,30.776228343384112,-95.51932862390491,24717.0,0.7872,474.43,284.0,117.58,113.33,63891.0
1935.0,-243168.3783843485,-125960.75535147697,7708.610593499601,30.659258836499653,-95.24262540546326,25291.0,0.7913,475.74,733.0,102.58,126.47,63765.0
2056.0,-214372.86579501902,-132389.31676773875,8158.692651040898,30.607105585642767,-94.94030689312685,26767.0,0.8002,478.16,731.0,90.0,123.32,63641.0
2177.0,-184719.5465426536,-132389.31676741576,8607.689999810535,30.612164231275464,-94.63052975113793,28240.0,0.8077,479.61,330.0,90.0,107.3,63534.0
2298.0,-154923.24448611404,-132389.31676753765,8810.487699306237,30.61649056287254,-94.31922837719101,28906.0,0.8108,480.07,84.0,90.0,97.76,63436.0
2419.0,-125066.07818390525,-132389.3167675277,8861.91865383476,30.62006468959933,-94.00726533603687,29075.0,0.812,480.43,30.0,90.0,95.62,63341.0
2540.0,-95179.1316396665,-132389.31676750042,8880.108963880071,30.62287926940678,-93.69497025371986,29134.0,0.8128,480.81,16.0,90.0,95.06,63246.0
