ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-430769.0983779801,140947.91865713993,30.480000000002768,33.00161918596831,-97.32075694843577,100.0,0.3,198.37,2414.0,104.31,186.68,66113.0
105.0,-420506.031931478,138330.018186427,1321.771424372239,32.982033549363194,-97.20961786756736,4337.0,0.4093,266.67,2377.0,116.23,172.35,65941.0
211.0,-407692.2563019489,132016.79982454228,2593.703622230258,32.93010306992457,-97.06958704017426,8510.0,0.4295,275.69,2152.0,120.77,163.64,65777.0
316.0,-394985.77225262765,124450.94676498129,3745.126154084327,32.86672787024942,-96.930337354839,12287.0,0.4601,291.22,1977.0,120.88,154.58,65623.0
421.0,-381564.098614599,116423.40999572304,4803.007915712285,32.799293504348796,-96.78345343035001,15758.0,0.5195,324.46,1793.0,112.33,143.3,65479.0
527.0,-365426.6125544131,109795.73209381272,5762.225868623297,32.745147629190384,-96.60832806576411,18905.0,0.6558,404.61,1293.0,120.99,127.05,65352.0
632.0,-346728.4218872576,98565.11525747714,6453.943049795552,32.650201457995344,-96.40436767114083,21174.0,0.7476,457.11,793.0,116.97,117.77,65235.0
737.0,-324720.98033963185,87366.8286120543,6878.1590021145175,32.556171120403356,-96.16556632331952,22566.0,0.7681,467.01,722.0,129.09,114.92,65120.0
843.0,-305136.0977265689,71455.50396109062,7264.51790895254,32.41868152639893,-95.95155789007316,23834.0,0.7768,469.87,729.0,138.08,112.9,65007.0
948.0,-288176.4070472148,52564.516201814266,7654.38430559618,32.25337846831098,-95.76522297794881,25113.0,0.785,472.29,733.0,123.17,110.73,64896.0
1053.0,-266817.7321900526,38603.60133056026,8046.77931704456,32.13314241197334,-95.53427444097512,26400.0,0.7923,474.12,736.0,108.17,108.47,64788.0
1158.0,-242480.32085239046,30615.846954289515,8440.638878593321,32.06680772320236,-95.27386449298758,27692.0,0.7984,475.17,269.0,93.17,92.68,64695.0
1264.0,-216801.54911238523,29193.534852274162,8584.747362676146,32.0592132085019,-95.0010935471687,28165.0,0.8006,475.52,-231.0,105.98,77.02,64618.0
1369.0,-192012.17278272263,22096.52955198871,8461.36107462385,31.999869336412324,-94.73667219584405,27760.0,0.7997,475.82,70.0,90.98,86.75,64531.0
1474.0,-166243.042550517,21657.520805320546,8498.736581609768,31.999980349568276,-94.46336164312466,27883.0,0.8007,476.17,126.0,95.55,88.17,64443.0
1580.0,-140577.85326714025,19163.83187930024,8566.266528293656,31.981019525588884,-94.19085448743402,28105.0,0.802,476.52,52.0,94.2,85.59,64357.0
1685.0,-114834.95306433851,17272.245543430985,8593.973854912381,31.966899263648582,-93.91770960118947,28195.0,0.8029,476.85,14.0,88.98,84.32,64273.0
1790.0,-89005.03681149398,17729.904823917677,8601.347814387012,31.97332780278827,-93.64394494614159,28220.0,0.8035,477.18,8.0,84.64,84.11,64189.0
1896.0,-63265.93182679753,20146.776672126492,8605.672030131078,31.99678454915223,-93.37123517859317,28234.0,0.8041,477.51,65.0,98.45,85.77,64103.0
2001.0,-37682.17942780328,16346.316106623994,8640.646992719865,31.963741968455466,-93.09979243672338,28349.0,0.8051,477.84,-285.0,101.03,75.33,64028.0
2106.0,-12244.671735769838,11388.3730876817,8488.172996579986,31.919712231011363,-92.83008149438372,27848.0,0.8037,478.04,215.0,103.46,90.89,63937.0
2212.0,12923.359601147877,5365.549648872958,8603.188308302028,31.8655402241708,-92.56349808287064,28226.0,0.8057,478.48,124.0,101.05,87.55,63849.0
2317.0,38354.36858347633,399.93095963386645,8669.330110898212,31.82031198275527,-92.29440459227995,28443.0,0.8071,478.83,-239.0,95.83,76.61,63773.0
2422.0,64185.8816560794,-2235.627519403243,8541.654716526402,31.79545040279031,-92.02118537927431,28024.0,0.806,479.04,163.0,87.37,89.09,63684.0
2528.0,90096.55931118346,-1046.0277412898636,8628.791657844982,31.804397909873142,-91.74692256434354,28310.0,0.8077,479.45,133.0,85.12,87.69,63596.0
2633.0,115965.9530040235,1160.8262594048797,8699.696117269295,31.821908284591345,-91.47292363059618,28542.0,0.8091,479.83,158.0,100.12,87.96,63508.0
2738.0,141542.24129471096,-3406.078981733716,8784.427228752107,31.77795977853181,-91.20291289002395,28820.0,0.8107,480.17,-5.0,115.12,82.76,63425.0
2844.0,165096.68362764808,-14451.842045007617,8781.614683418093,31.675486118837323,-90.95563357107713,28811.0,0.8112,480.5,302.0,130.12,91.55,63334.0
2949.0,184979.98971315086,-31209.405868955266,8942.963879147223,31.521787368715653,-90.74872008145765,29340.0,0.8135,480.77,-196.0,116.46,76.27,63258.0
3054.0,208316.21740486435,-42823.25762127618,8838.0936354426,31.41338572244037,-90.50503346439173,28996.0,0.8129,481.16,-28.0,119.29,81.82,63176.0
3159.0,231054.85281463736,-55578.2653817454,8823.189236587921,31.29439090917581,-90.26846207386819,28947.0,0.8133,481.49,-87.0,134.29,80.26,63095.0
3265.0,249734.37718358295,-73800.36201942159,8776.65615201786,31.126712612030282,-90.07650721275422,28795.0,0.8133,481.8,-587.0,132.81,66.26,63029.0
3370.0,268924.2065727696,-91578.12524003848,8462.62225344125,30.962634749243257,-89.87975126550948,27765.0,0.8093,481.53,-1087.0,117.81,54.02,62975.0
3475.0,292086.9578893432,-103796.9249489326,7881.087182280096,30.84723558824244,-89.64047635209118,25857.0,0.799,479.25,-1587.0,102.81,43.41,62932.0
3581.0,317539.11703757773,-109585.36044483805,7032.0508471958265,30.7885605545628,-89.37581747167323,23071.0,0.7802,473.41,-2087.0,87.81,34.05,62898.0
3686.0,343336.1989993068,-108599.98034931737,5915.513300525311,30.790100576080512,-89.10558014133733,19408.0,0.752,463.08,-2500.0,80.23,27.71,62870.0
3791.0,368240.6882711632,-104310.08351042916,4578.005793591462,30.8210341733119,-88.84346973437749,15020.0,0.7161,448.59,-2500.0,95.23,31.7,62838.0
3897.0,392609.70124645124,-106539.19605107338,3240.4982249294153,30.793055742107263,-88.58932914554423,10632.0,0.6799,433.0,-2500.0,110.23,35.21,62803.0
4002.0,414765.0849312077,-114702.42007225039,1902.9906489451098,30.712076909346703,-88.3609164634917,6243.0,0.5,323.56,-2000.0,106.67,15.42,62788.0
4107.0,431633.4098906542,-119752.31172796288,832.9845688975255,30.66061968722225,-88.1867730887486,2733.0,0.3,196.57,-1500.0,104.31,17.53,62770.0
4213.0,441971.37250126083,-122389.31661032059,30.480000000712977,30.633080000550038,-88.07994000090062,100.0,0.1,66.13,-1000.0,101.95,150.17,62620.0
