ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-495273.0787671231,-161692.00188776868,30.480000304069197,33.001616817526156,-97.32073936745932,100.0,0.3,198.38,2414.0,67.29,230.65,66069.0
130.0,-483221.71225131943,-156648.93627844413,1626.0101985024262,33.052426339716256,-97.19439191540478,5335.0,0.4935,320.38,2114.0,69.47,199.64,65870.0
260.0,-463344.18198314734,-149206.1062303713,3023.5171848663363,33.12810000825809,-96.98522527153504,9920.0,0.5291,337.82,1837.0,69.56,184.92,65685.0
390.0,-442340.7903354028,-141376.9258067443,4237.7910770688895,33.20736484922139,-96.76380360688285,13904.0,0.5706,358.97,1660.0,69.73,173.92,65511.0
521.0,-419977.5243936916,-133116.19819927984,5334.859924851297,33.29065499025409,-96.52757113657745,17503.0,0.6114,379.31,1493.0,69.93,163.68,65347.0
651.0,-396296.613541542,-124465.28939088526,6322.068060142541,33.37749929240816,-96.27688687415787,20742.0,0.6514,399.0,1335.0,70.14,154.31,65193.0
781.0,-371335.15906992933,-115448.89490253972,7204.6753288968575,33.4675759565564,-96.01206389367138,23637.0,0.691,418.3,1183.0,70.3,145.81,65047.0
911.0,-345121.29678499524,-106062.89940155008,7986.803032890552,33.56082278747992,-95.73333093602237,26203.0,0.7304,437.43,1036.0,70.41,138.21,64909.0
1041.0,-317671.1657806334,-96292.76012820055,8671.752915334768,33.65727239621288,-95.44078878077106,28451.0,0.7648,453.71,911.0,70.47,131.74,64777.0
1171.0,-289172.62691244466,-86184.15433224835,9274.080382806573,33.756365265950386,-95.13637084898642,30427.0,0.7847,461.58,1026.0,70.48,133.18,64644.0
1301.0,-260197.0204413587,-75912.70001259304,9952.160712399042,33.856293828774625,-94.82613635378503,32651.0,0.7915,461.08,737.0,70.44,118.79,64525.0
1431.0,-231218.40179907164,-65618.38456755558,10439.118656842746,33.95565158558863,-94.51515223766386,34249.0,0.7844,453.69,237.0,70.37,96.64,64429.0
1562.0,-202644.94608891924,-55427.08199842293,10595.551396960165,34.05322253294994,-94.20781747999601,34762.0,0.7658,441.87,-44.0,70.28,83.5,64345.0
