ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-495273.0788667021,-161692.0019885767,30.479999999984322,33.00161681657519,-97.32073936847024,100.0,0.1573,104.01,558.0,67.29,262.32,66038.0
147.0,-488025.4917631052,-158659.14605404387,448.369486656894,33.03218837018219,-97.24477250421818,1471.0,0.1672,110.01,957.0,82.29,268.46,65769.0
295.0,-479823.62491343817,-157549.09981682582,1165.0387373540007,33.045892095343504,-97.15750214215613,3822.0,0.3423,223.43,1457.0,80.49,211.27,65558.0
442.0,-463256.6533664079,-154772.31060697048,2256.0647986944427,33.07818210932875,-96.98141667455705,7402.0,0.5423,349.47,1162.0,65.49,185.28,65373.0
590.0,-439285.81077256333,-143840.65278533724,3126.375688883257,33.186522962702774,-96.72979577697207,10257.0,0.6727,429.03,662.0,50.49,184.75,65188.0
737.0,-414269.15679808444,-123207.61438504011,3622.33265321671,33.381875804244764,-96.47083116175506,11884.0,0.4727,299.66,1162.0,56.88,172.1,65016.0
884.0,-395356.78084066656,-110867.51482770767,4492.64774329471,33.49995701710511,-96.27283983877456,14740.0,0.6135,384.71,744.0,41.88,157.42,64858.0
1032.0,-375957.4852917337,-89228.4567781457,5049.479406965042,33.70141822886852,-96.07304029895,16567.0,0.7243,450.98,244.0,26.88,155.35,64703.0
1179.0,-360517.74111414055,-58763.5939532015,5231.954327141142,33.98048341026226,-95.91886185809128,17165.0,0.5243,325.7,744.0,40.9,142.03,64561.0
1326.0,-344410.8827680582,-40168.836234272734,5788.780606043469,34.15297270650756,-95.75171169198406,18992.0,0.3243,200.02,1116.0,55.9,216.15,64345.0
1474.0,-331940.4002208971,-31725.445275319886,6624.227289017543,34.23289144673247,-95.61953750083906,21733.0,0.3336,203.53,921.0,70.9,204.86,64140.0
1621.0,-317439.6006842773,-26703.87824144095,7313.681624533161,34.28255546161295,-95.46375403114129,23995.0,0.5336,322.55,1215.0,85.9,163.61,63976.0
1769.0,-293213.2987529288,-24966.990733943163,8223.299767901997,34.30531626081919,-95.20079879590838,26979.0,0.7336,437.96,715.0,100.9,139.78,63837.0
1916.0,-260730.81487666065,-31221.67664055566,8758.57463655436,34.257809467314054,-94.84539507238934,28735.0,0.8081,478.86,215.0,100.89,124.8,63712.0
2063.0,-225117.28631852285,-38071.68885187757,8919.503010675111,34.20459954303253,-94.45620457678842,29263.0,0.8105,479.18,-213.0,92.19,106.02,63606.0
