ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-761760.0000929758,-93392.41566223047,30.48000000194861,33.00160419402041,-97.32074130202109,100.0,0.3,198.38,2414.0,76.13,324.99,65975.0
183.0,-743958.1051752871,-88996.05766775706,2278.5805669540705,33.05346669317069,-97.13403936598839,7476.0,0.5,322.13,2026.0,79.76,273.72,65701.0
367.0,-714454.1367948955,-83665.29762640104,4165.409658680779,33.1213152502558,-96.82257914362255,13666.0,0.5713,359.7,1655.0,79.91,245.39,65456.0
550.0,-681408.0588302747,-77786.10022290879,5706.875846151232,33.19557501868494,-96.47309072587785,18723.0,0.6288,388.23,1423.0,80.06,225.32,65231.0
733.0,-645673.7730244829,-71520.70286943988,7032.072849067368,33.2739577006869,-96.09444533137177,23071.0,0.6847,415.41,1206.0,80.27,207.6,65023.0
917.0,-607362.9368774387,-64949.11204287967,8155.802308922424,33.3554188103642,-95.68765184462423,26758.0,0.7398,442.05,1001.0,80.49,192.42,64831.0
1100.0,-566516.7160799747,-58104.72802448258,9088.104002905615,33.43936289824893,-95.2530040300246,29817.0,0.7763,457.85,868.0,80.64,180.6,64650.0
1283.0,-524157.58174395736,-51125.75273149921,9896.124248087694,33.523754370169904,-94.80130844849661,32468.0,0.7893,460.17,625.0,80.74,161.81,64488.0
1467.0,-481503.6492625934,-44172.1440968849,10477.951333406922,33.60641914227932,-94.34554857472598,34376.0,0.7822,452.13,125.0,80.79,129.52,64359.0
1650.0,-439442.7507406431,-37353.48284743882,10594.068843167648,33.685960443617574,-93.89526046395935,34757.0,0.7691,443.83,0.0,80.81,120.35,64238.0
1834.0,-398115.5738060275,-30664.709926735195,10594.069279813291,33.762430912479196,-93.45202031920827,34757.0,0.7742,446.74,21.0,80.8,121.83,64116.0
2017.0,-356525.13493205025,-23925.915781304862,10613.726111873642,33.837861380256804,-93.00517085325635,34822.0,0.7743,446.71,22.0,80.79,121.59,63995.0
2200.0,-314938.32881372824,-17182.05074273989,10634.174900006587,33.91173019962007,-92.55758359458137,34889.0,0.7743,446.56,22.0,80.78,121.26,63874.0
2384.0,-273366.2393538809,-10435.393950879927,10655.084579348986,33.9840071759765,-92.10939074604708,34958.0,0.7742,446.33,22.0,80.78,120.92,63753.0
2567.0,-231814.75112127187,-3693.1953036728582,10675.238337195562,34.054620430777554,-91.66066791618792,35024.0,0.7742,446.2,21.0,80.81,120.56,63632.0
2750.0,-190271.5166005763,3027.8080685422233,10694.784276083406,34.12341712828623,-91.21129244934474,35088.0,0.7743,446.15,21.0,80.84,120.26,63512.0
2934.0,-148728.22757099438,9725.970776224756,10713.908098894013,34.19037766738658,-90.76119115027937,35151.0,0.7746,446.17,20.0,80.9,119.92,63392.0
3117.0,-107175.6815656345,16379.25688051998,10732.996720761752,34.2552980339913,-90.31027885491358,35213.0,0.7748,446.18,21.0,80.96,119.69,63272.0
3300.0,-65614.66999696795,22993.978202687354,10752.480585322906,34.318227164057376,-89.85858559845005,35277.0,0.775,446.14,21.0,81.02,119.4,63153.0
3484.0,-24050.01006111537,29563.430853562066,10772.362093499101,34.37909715456205,-89.40618401216885,35342.0,0.775,446.03,21.0,81.08,119.09,63034.0
3667.0,17512.11802085867,36089.45330219667,10792.348920247632,34.43791759311974,-88.95316315940804,35408.0,0.775,445.9,21.0,81.12,118.78,62915.0
