ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-761760.0001014511,-93392.41566880753,30.479999999980418,33.00160419395555,-97.32074130210616,100.0,0.1881,124.35,912.0,76.13,370.38,65930.0
213.0,-748625.2239958628,-90148.64990802847,1017.9270614383399,33.03989638957699,-97.18300805350638,3340.0,0.3881,253.73,1410.0,91.13,288.62,65641.0
426.0,-721085.898185543,-90690.79867402428,2545.790822654938,33.05398294735195,-96.88797579026097,8352.0,0.5881,377.65,911.0,93.95,260.59,65380.0
640.0,-680012.9504249322,-93528.34530775185,3533.1496092015545,33.0555120231942,-96.44625803789118,11592.0,0.6834,433.65,634.0,78.95,262.03,65118.0
853.0,-633524.8446291066,-84451.57601436264,4220.052122677475,33.16541545527306,-95.95492736132306,13845.0,0.4834,304.15,1134.0,63.95,243.79,64875.0
1066.0,-603800.1785001395,-69923.07172583487,5448.578175333102,33.312873742962815,-95.64600929150046,17876.0,0.608,376.63,1053.0,65.44,236.27,64638.0
1279.0,-566512.7544419897,-52883.92376723101,6588.9126419820905,33.48617282373428,-95.25628811959396,21617.0,0.7432,453.64,553.0,66.16,219.86,64418.0
1493.0,-521179.0234279098,-32851.78838097175,7187.622186566082,33.689138414195604,-94.78000073492066,23581.0,0.778,471.08,53.0,81.16,190.37,64228.0
1706.0,-470135.78003178,-24913.614663914475,7244.705762084388,33.784366153719105,-94.23323133261292,23769.0,0.78,471.93,0.0,94.69,186.63,64041.0
1919.0,-418538.88026335393,-29146.717927316073,7244.706042220456,33.76814254676133,-93.67345884043449,23769.0,0.7808,472.38,0.0,79.69,186.69,63855.0
2132.0,-367555.4149951194,-19872.472669314626,7244.706336539344,33.87047013955009,-93.12620949056533,23769.0,0.7085,428.64,0.0,84.13,163.4,63691.0
2346.0,-320780.78116049105,-15061.993872499614,7244.706661983243,33.929008826263555,-92.6216381858526,23769.0,0.5195,314.3,0.0,99.13,131.95,63559.0
2559.0,-286739.20778457716,-20531.713850950287,7244.706991093593,33.8897094680823,-92.2510439146179,23769.0,0.7195,435.3,0.0,87.16,166.24,63393.0
2772.0,-239045.66427287602,-18164.398965444856,7244.707174447265,33.92292402830559,-91.73515742338414,23769.0,0.7833,473.93,-500.0,72.16,157.59,63236.0
2985.0,-189378.45179389985,-2178.2150825670547,6703.080737328333,34.076776724296074,-91.20045441539752,21992.0,0.6873,418.84,-500.0,57.16,130.72,63105.0
3199.0,-150639.43937920345,22827.200381518698,6161.4539467094155,34.307899740098904,-90.78425970505184,20215.0,0.4873,299.09,-500.0,42.16,84.56,63020.0
3412.0,-128543.2667193087,47231.46036421744,5619.827215520678,34.53029836719816,-90.54738182909719,18438.0,0.2873,177.57,-500.0,40.11,122.3,62898.0
3625.0,-115954.99818373461,62176.65494947027,5078.200544719256,34.666170174990306,-90.41201686524923,16661.0,0.2624,163.33,-59.0,55.11,207.94,62690.0
3838.0,-101252.99150692803,72430.34396841298,5014.757059152866,34.7599187926034,-90.25250212792223,16453.0,0.2591,161.42,441.0,69.53,283.81,62406.0
4052.0,-84719.72877930701,78601.40067587032,5492.939242889582,34.81690232862903,-90.07215003012155,18021.0,0.2743,169.83,500.0,79.55,279.58,62127.0
4265.0,-66469.7669449705,81965.88740388778,6034.565917701375,34.848497095947835,-89.87251167193986,19798.0,0.2932,180.26,500.0,64.92,266.1,61861.0
4478.0,-48630.33290320712,90316.6272469695,6576.192764187583,34.92459210296028,-89.67751130339211,21575.0,0.4005,244.46,500.0,49.92,193.98,61667.0
4691.0,-28190.510553283988,107518.64284629813,7117.819587905631,35.0800557598668,-89.45390431024994,23352.0,0.6005,363.91,500.0,64.05,173.58,61493.0
4904.0,7571.623651341992,124920.70493914737,7659.446386819759,35.23691583638041,-89.06075666396032,25129.0,0.8005,481.58,500.0,76.15,210.06,61283.0
5118.0,58671.11048127031,137522.25366799376,8201.072758919738,35.34858399351612,-88.49726544760068,26906.0,0.8134,485.71,0.0,77.16,176.38,61107.0
5331.0,110620.51220834316,149363.21554075662,8201.073909192668,35.45074591641223,-87.92296669401154,26906.0,0.8142,486.21,-156.0,92.16,167.86,60939.0
5544.0,163981.26170718783,147350.80700917827,8031.863981688605,35.42545167407621,-87.33442023819065,26351.0,0.6677,399.64,344.0,107.16,163.04,60776.0
5757.0,205761.0681984018,134449.92179592408,8404.278004346896,35.30189350441354,-86.8767057342838,27573.0,0.82,488.3,-38.0,122.16,172.04,60604.0
5971.0,251121.27296614373,105929.51728158396,8363.144760537705,35.03541380085342,-86.38571787421061,27438.0,0.82,488.58,-36.0,129.13,172.74,60431.0
6184.0,292709.54243885475,72097.6864590207,8323.771639559178,34.720398589880425,-85.9409838733289,27309.0,0.82,488.84,332.0,114.13,193.03,60238.0
6397.0,341526.7834046032,50231.872566121565,8683.830422565003,34.50899580251949,-85.41602474033083,28490.0,0.6218,368.82,500.0,99.13,163.08,60075.0
6610.0,381317.6425916633,43838.34537013853,9225.45670881013,34.43771831109935,-84.98498592897411,30267.0,0.4478,263.6,500.0,84.13,192.27,59883.0
6824.0,409966.67131633114,46784.70145610911,9767.07295089051,34.45326202098403,-84.67147777752355,32044.0,0.6478,378.38,-0.0,69.13,124.1,59758.0
7037.0,448750.7308204183,61573.05221144921,9767.06265828431,34.56996012448611,-84.24118977965233,32044.0,0.82,478.95,-500.0,54.13,122.78,59636.0
7250.0,491489.78813863307,92478.96218044883,9225.42552165769,34.8278456696401,-83.75710422502752,30267.0,0.82,482.69,-1000.0,54.99,103.92,59532.0
7463.0,535185.1931422113,123080.9393615948,8142.16141786064,35.08050376058634,-83.25963493967485,26713.0,0.82,490.08,-1500.0,65.68,97.61,59434.0
7677.0,584700.7618448134,145454.90309639723,6517.2702833366175,35.253984855070144,-82.70084201382798,21382.0,0.7778,475.2,-2000.0,80.68,86.79,59347.0
7890.0,636828.4432767571,154006.2465395796,4350.752102613414,35.299415447859495,-82.12159629196279,14274.0,0.7,439.73,-1829.0,95.68,101.97,59245.0
8103.0,685379.1550435018,149174.08057353235,2369.0344767132915,35.22472623684952,-81.59215911283161,7772.0,0.5,321.78,-1329.0,91.13,49.91,59195.0
8316.0,720943.5372827656,148473.94622140692,928.943787533251,35.19400363947494,-81.20248090977208,3048.0,0.3,196.35,-829.0,76.13,35.37,59160.0
8530.0,741944.9545073267,153660.4583742112,30.479999999741967,35.22537000025186,-80.96749000049037,100.0,0.1,66.13,-329.0,61.13,384.62,58775.0
