ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,168471.11635279356,202705.70367100855,30.480000296679243,33.001639999087196,-97.32074999894355,100.0,0.3,198.38,2414.0,221.43,130.72,66169.0
74.0,163552.15058203117,197132.5702869189,934.6941066566616,32.95225597458595,-97.37446130637426,3067.0,0.3943,258.05,2452.0,206.43,123.03,66046.0
147.0,159236.58049233755,188451.20500487264,1853.233988766427,32.87481760640276,-97.4221809507726,6080.0,0.4406,285.29,2256.0,191.43,116.47,65930.0
221.0,157108.54501321187,177927.95164622425,2698.2492521582435,32.780498605684464,-97.44672703904249,8853.0,0.4857,311.33,2037.0,176.43,109.66,65820.0
295.0,157838.61427484982,166218.48265383753,3461.3712641253196,32.67511504287694,-97.44088483792493,11356.0,0.5323,338.11,1823.0,161.43,103.45,65717.0
369.0,161900.18186469778,154127.23148331358,4144.36883604124,32.56582952656438,-97.39957369688938,13597.0,0.576,362.76,1631.0,146.43,98.41,65618.0
442.0,169473.1931209876,142714.97894489917,4755.347660205399,32.462120371703115,-97.32081978139203,15602.0,0.6344,396.5,1338.0,156.7,92.88,65525.0
516.0,175401.30747256865,128951.06609995376,5256.472762635353,32.33747608070078,-97.26018133113837,17246.0,0.7118,442.07,838.0,170.11,86.97,65438.0
590.0,178274.50988903048,112464.78414521423,5570.283609026978,32.18880886068664,-97.23267222254657,18275.0,0.7362,455.34,699.0,179.35,84.97,65353.0
664.0,178471.11635236532,95222.45723922725,5832.21371849991,32.03375804552425,-97.23377433454931,19135.0,0.743,457.98,704.0,180.0,84.1,65269.0
737.0,178471.11634806686,77879.28340061675,6095.834160545283,31.877830907498556,-97.2369637672538,19999.0,0.7497,460.55,708.0,186.46,83.19,65186.0
811.0,176507.99458283704,60550.0925895738,6361.184598437181,31.72233027150922,-97.26088273967906,20870.0,0.7564,463.03,713.0,190.85,82.27,65104.0
885.0,173206.1889185463,43330.381304679126,6628.308918600004,31.568008966978677,-97.29882138042852,21746.0,0.7629,465.39,718.0,192.57,81.34,65023.0
959.0,169370.09787918066,26130.396143259753,6897.250954506864,31.41393015559811,-97.34225230273894,22629.0,0.7693,467.63,723.0,192.87,80.38,64942.0
