ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,943765.4822156874,-761102.4082762627,30.480000302379224,33.001640000987955,-97.3207500009532,100.0,0.3,198.38,2414.0,319.71,486.49,65814.0
274.0,926134.2370566583,-740302.6429903847,3395.7305612291893,33.20409075732617,-97.48581799599644,11141.0,0.5,317.82,1928.0,313.5,394.27,65419.0
549.0,894181.4709298091,-709983.2792954447,6083.784871743442,33.50467355739579,-97.79468566782224,19960.0,0.6277,385.66,1428.0,313.47,332.95,65086.0
823.0,855206.9973206487,-673039.8024934699,8074.704066561505,33.86994457692095,-98.17434634932224,26492.0,0.7459,446.23,972.0,313.46,288.44,64798.0
1098.0,809914.625602563,-630119.3344631277,9430.077738716502,34.29288128454163,-98.61961152860347,30939.0,0.7877,462.34,669.0,313.52,252.11,64546.0
1372.0,762900.610064977,-585471.5290559859,10362.22354719549,34.73106985388556,-99.08641384221596,33997.0,0.7823,452.97,169.0,313.5,198.86,64347.0
1647.0,716588.5100556755,-541521.0016372135,10597.234240000169,35.16072309378811,-99.55107356350813,34768.0,0.7688,443.62,4.0,313.48,180.38,64167.0
1921.0,671138.223271219,-498422.19756257,10602.61755470881,35.580374351102115,-100.01184940499313,34785.0,0.775,447.14,23.0,313.47,182.41,63984.0
2196.0,625326.6081880011,-454998.10590974573,10634.66106468683,36.00145260898207,-100.4811511630216,34891.0,0.7746,446.73,21.0,313.46,181.46,63803.0
2470.0,579549.0677138993,-411620.671108934,10663.792405824574,36.42028321630969,-100.95508334370228,34986.0,0.7749,446.7,21.0,313.45,180.8,63622.0
2745.0,533763.7353663685,-368255.1342593806,10693.227426461754,36.837158474823845,-101.43418602149875,35083.0,0.7751,446.62,21.0,313.43,180.13,63442.0
3019.0,487977.51386840234,-324905.1869201982,10722.541701921651,37.25199100774721,-101.91849451126474,35179.0,0.7753,446.55,21.0,313.43,179.47,63262.0
3294.0,442191.1772479635,-281568.2806470072,10751.970179922511,37.664752462638766,-102.40810856796504,35275.0,0.7755,446.45,21.0,313.41,178.8,63083.0
3568.0,396403.25200060144,-238250.47046502438,10781.397351584958,38.07533719999625,-102.90316014566294,35372.0,0.7756,446.34,21.0,313.4,178.12,62905.0
3842.0,350615.77520082664,-194949.67102887738,10810.75127373643,38.48370959410104,-103.40373713111912,35468.0,0.7758,446.25,21.0,313.39,177.46,62728.0
4117.0,304829.58410390466,-151661.66783004982,10840.297453532708,38.88985267962077,-103.90994145220391,35565.0,0.776,446.13,21.0,313.38,176.79,62551.0
4391.0,259044.51035223604,-108389.92992628376,10869.731458520062,39.29367962423718,-104.42189169160135,35662.0,0.7761,446.04,21.0,313.38,176.14,62375.0
4666.0,213258.51991650413,-65128.67498357516,10899.579295739537,39.695185769423595,-104.93972556659446,35760.0,0.7763,445.91,21.0,313.37,175.47,62199.0
4940.0,167476.72712263447,-21879.132678091348,10929.347893173215,40.0943002057175,-105.46350178095484,35857.0,0.7765,445.82,22.0,313.37,174.89,62025.0
5215.0,121694.09189766934,21364.45992886288,10959.853262350915,40.49101599544629,-105.99339711832542,35958.0,0.7765,445.65,22.0,313.36,174.21,61850.0
5489.0,75918.67650354671,64597.57386722589,10990.20453650352,40.88522982581318,-106.52943793040535,36057.0,0.7767,445.55,22.0,313.36,173.56,61677.0
5764.0,30142.14264464572,107828.95180910891,11021.43821992238,41.27695838591904,-107.0718433976807,36160.0,0.7767,445.51,22.0,313.36,172.88,61504.0
6038.0,-15625.219808866736,151054.4662589843,11052.536045025636,41.66609984427319,-107.62061347334605,36262.0,0.7769,445.6,23.0,313.37,172.3,61332.0
6313.0,-61391.35512539423,194284.5543172465,11084.410299903628,42.052682940611774,-108.1759671601219,36366.0,0.7769,445.62,23.0,313.37,171.62,61160.0
6587.0,-107150.08409693587,237513.93926055613,11116.257493210187,42.43659346687863,-108.73795499375326,36471.0,0.7771,445.7,23.0,313.38,170.95,60989.0
6862.0,-152907.17753429146,280750.00692115154,11148.570550898456,42.81782848386601,-109.30677450728338,36577.0,0.7771,445.74,23.0,313.39,170.28,60819.0
7136.0,-198658.06882240734,323992.4743860041,11180.885805790334,43.19631561731847,-109.88249777488411,36683.0,0.7772,445.81,23.0,313.39,169.61,60649.0
7410.0,-244405.93247618285,367246.0899425475,11213.301618966481,43.572024627923554,-110.46529409552146,36789.0,0.7774,445.88,23.0,313.4,168.95,60480.0
7685.0,-290151.9649472941,410511.9042331821,11245.755441182742,43.94489020707199,-111.05530906151958,36896.0,0.7775,445.96,23.0,313.41,168.3,60312.0
7959.0,-335898.1986198592,453789.91321815253,11278.034610798042,44.3148350766231,-111.65269901698142,37001.0,0.7777,446.07,23.0,313.42,167.65,60144.0
8234.0,-381646.5912545418,497085.83225595555,11310.39928622743,44.68183094159452,-112.25762413910172,37108.0,0.7779,446.16,23.0,313.44,167.01,59977.0
