ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,943765.4824155233,-761102.4084756583,30.479999726707856,33.0016399990162,-97.32074999904658,100.0,0.1573,104.01,593.0,319.71,584.37,65716.0
327.0,932538.2576049969,-747857.5303293802,1014.5531569463101,33.130580174039096,-97.42577684460517,3329.0,0.2959,193.51,1093.0,334.71,449.83,65266.0
654.0,918808.4000731149,-718794.4511660449,2828.8003732222874,33.402866892528415,-97.54070053585738,9281.0,0.4959,317.42,692.0,349.71,330.82,64935.0
981.0,909346.1236570227,-666658.5791040309,3978.3662678611777,33.87676622294166,-97.58535480889418,13052.0,0.6959,439.21,192.0,355.98,355.89,64579.0
1307.0,904185.2970969459,-593136.7532794187,4297.758110193024,34.53724357575715,-97.55981586105067,14100.0,0.7041,442.59,692.0,340.98,394.21,64185.0
1634.0,880116.2220334964,-523295.5245826614,5447.324011654967,35.18298365094005,-97.74383599234037,17872.0,0.5856,362.81,1192.0,325.98,370.03,63815.0
1961.0,846446.180953987,-473406.30777023983,7427.06397223899,35.659455586245954,-98.05791017453926,24367.0,0.7856,474.16,731.0,310.98,346.65,63468.0
2288.0,786766.7474553139,-421555.67311295995,8640.688837640379,36.17556196748142,-98.66153117284537,28349.0,0.8089,480.11,231.0,302.93,280.65,63188.0
2615.0,719194.6264055655,-377788.2287730105,9024.13964405642,36.62279141803717,-99.36891200578901,29607.0,0.8149,481.06,-39.0,303.87,249.13,62938.0
2942.0,652004.8528550698,-332688.8948890929,8959.24238164532,37.077487606666566,-100.07897350770251,29394.0,0.8161,482.21,-18.0,304.06,252.59,62686.0
3268.0,584819.8000962839,-287270.77873845486,8928.920553094658,37.53081881292038,-100.79718330663688,29294.0,0.8175,483.26,-150.0,304.17,241.87,62444.0
3595.0,517473.4154587007,-241551.95858910744,8679.401770822024,37.98260724511352,-101.52568149713912,28476.0,0.8158,483.95,-500.0,304.21,216.53,62227.0
3922.0,449791.6173471796,-195542.99056242278,7849.227711671439,38.43269426178616,-102.26674540411459,25752.0,0.8016,481.02,-500.0,303.95,232.63,61995.0
4249.0,382326.7505501123,-150114.61621420595,7019.0536524423605,38.8728195032877,-103.01481229759645,23028.0,0.6874,417.16,-500.0,302.94,191.82,61803.0
4576.0,323141.66582392144,-111760.27582389009,6188.879593352836,39.2415523138021,-103.67937136223954,20305.0,0.4874,299.06,-500.0,317.94,126.56,61676.0
4903.0,289280.43729564955,-74226.25238781887,5358.705536395787,39.590886801358636,-104.05585172492773,17581.0,0.2874,178.26,-474.0,330.93,175.46,61501.0
5229.0,274649.44143258483,-47906.35731447769,4571.999954319038,39.83222578741994,-104.21541910744854,15000.0,0.2386,149.48,0.0,315.93,352.6,61148.0
5556.0,257168.60388112123,-29848.17750581249,4571.999954321267,39.99999955251403,-104.4128481414277,15000.0,0.2369,148.39,160.0,300.93,392.49,60756.0
5883.0,235803.59720076248,-17045.929071760944,4837.179902669169,40.12131557535481,-104.65885578843806,15870.0,0.2431,151.75,500.0,285.93,456.06,60300.0
6210.0,211410.0617270036,-10083.112424029314,5667.353961887587,40.190403618280435,-104.9433321979885,18594.0,0.2728,168.5,500.0,270.93,415.77,59884.0
6537.0,183247.39977526868,-9625.60217140753,6497.5280210973,40.20115480063495,-105.27465417447092,21317.0,0.4728,288.89,500.0,256.3,258.0,59626.0
6864.0,136321.24801726875,-21065.456318627344,7327.702080292024,40.10725752006943,-105.82953531618871,24041.0,0.6728,406.58,472.0,271.3,271.73,59354.0
7190.0,68344.3682222981,-19523.516728959887,8111.2374736685715,40.12941892596808,-106.62864010429497,26612.0,0.82,490.29,-28.0,280.61,270.95,59083.0
7517.0,-12708.814401495296,-4337.370684849571,8064.59880784035,40.26868128496892,-107.58231508811387,26459.0,0.82,490.6,-27.0,280.23,272.04,58811.0
7844.0,-93911.27038312453,10324.314981456617,8019.927474905205,40.39534209879958,-108.54150113692023,26312.0,0.82,490.9,-26.0,280.14,273.1,58538.0
8171.0,-175187.9505046939,24854.282219875397,7977.036795744438,40.51284212255296,-109.50503126554564,26171.0,0.82,491.19,-500.0,279.65,236.03,58302.0
8498.0,-257067.52463484375,38779.08570365722,7146.862736729141,40.61668153169673,-110.4787208717922,23448.0,0.7987,483.84,-266.0,282.2,269.35,58033.0
8825.0,-336818.0469108226,56026.98379086689,6704.700051643899,40.74302407952147,-111.43187875617063,21997.0,0.5987,364.83,234.0,297.2,229.47,57803.0
9152.0,-391233.90298380196,83997.24129240485,7092.7114247612,40.970116530812064,-112.09448661624354,23270.0,0.7987,484.2,442.0,312.2,326.01,57477.0
9478.0,-451241.2840521385,138415.45806925854,7826.639857646209,41.42747364038713,-112.84793789472141,25678.0,0.82,492.21,-22.0,316.52,277.62,57200.0
9805.0,-508202.06754230877,198483.12291513084,7790.470658165091,41.93224295827649,-113.58031464642792,25559.0,0.82,492.45,-21.0,316.23,278.48,56921.0
10132.0,-565490.5626788194,258294.2102870751,7755.40870584081,42.42958017776643,-114.32826217603801,25444.0,0.82,492.69,-20.0,317.47,279.32,56642.0
10459.0,-621505.3317168228,319352.91303862934,7721.38137357692,42.9339655644873,-115.07411371907665,25333.0,0.82,492.92,-20.0,326.97,280.05,56362.0
10786.0,-666688.2034552214,388855.58402099216,7688.3237626039445,43.518033546340675,-115.70916859784931,25224.0,0.82,493.14,-19.0,339.44,280.85,56081.0
11113.0,-695812.4066655429,466508.7302044475,7656.177596538783,44.18579362604587,-116.16765225890873,25119.0,0.82,493.36,232.0,353.2,300.32,55781.0
11439.0,-705604.6582389637,548661.5406164149,8041.092700256289,44.90995627824862,-116.39977150937415,26382.0,0.82,490.76,-268.0,357.72,249.6,55531.0
11766.0,-708903.9501152518,631363.9760821703,7595.833745434407,45.64464483666414,-116.55658842675044,24921.0,0.82,493.76,-768.0,4.71,226.33,55305.0
12093.0,-702024.1375884644,714809.1427205299,6320.400731388974,46.39554043166384,-116.58799351021047,20736.0,0.6928,424.35,-1268.0,349.71,138.98,55166.0
12420.0,-714935.0723807393,785946.6592076194,4214.793658449903,47.017135573026124,-116.86195088660038,13828.0,0.4928,310.1,-1020.0,334.71,77.64,55088.0
12747.0,-737428.5763703507,833560.4443905042,2521.002177511531,47.41845025677055,-117.23163284661605,8271.0,0.2928,188.1,-1500.0,319.71,50.67,55038.0
13074.0,-758118.4043783459,857968.4575423383,30.480000124545803,47.61388928708947,-117.54435341802946,100.0,0.0928,61.37,-1980.0,304.71,269.45,54768.0
