ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,943765.4823167868,-761102.4083765782,30.47999999998043,33.00163999999542,-97.32074999998801,100.0,0.1573,104.01,913.0,319.71,542.09,65758.0
296.0,933635.4682171457,-749151.9227910788,1403.6655197292318,33.11798277270666,-97.41549967396186,4605.0,0.2816,183.3,1413.0,319.87,467.85,65290.0
592.0,915911.1982422906,-728124.3053242549,3529.2072368774466,33.32243634570757,-97.58173976280293,11579.0,0.4816,305.62,1623.0,304.87,395.86,64894.0
889.0,878333.4700915697,-701936.6910315461,5971.405697009711,33.59109976931588,-97.955975578,19591.0,0.5872,361.32,1123.0,313.14,325.7,64568.0
1185.0,838623.7557042495,-664723.8976391521,7661.243969924229,33.958923064160764,-98.34436232082048,25135.0,0.7872,473.59,623.0,315.39,302.45,64266.0
1481.0,788269.2361824571,-613685.2616392446,8598.717486287884,34.4580126357923,-98.83792879564633,28211.0,0.8035,477.19,123.0,330.39,246.06,64020.0
1777.0,752383.8494372675,-550550.0009110636,8783.82838232824,35.05173425708182,-99.1679566574759,28818.0,0.8071,478.07,0.0,335.81,232.75,63787.0
2073.0,722527.8329788429,-484099.53534952493,8783.835947679672,35.669604350906496,-99.4329834613888,28818.0,0.8087,479.03,2.0,320.81,233.11,63554.0
2370.0,676399.320847744,-427528.7290082879,8786.535436565615,36.210871189448916,-99.89136694404883,28827.0,0.8103,479.97,20.0,305.81,234.71,63319.0
2666.0,617099.6018679533,-384744.5121916836,8817.2938229703,36.63615812016037,-100.51471096457854,28928.0,0.8123,480.9,-395.0,298.53,200.75,63119.0
2962.0,552451.435043572,-349598.8293045273,8222.840380335643,36.99305722906495,-101.21078664681103,26978.0,0.8048,480.44,-500.0,285.4,203.23,62915.0
3258.0,481506.0320847691,-330057.9187449037,7470.474320773219,37.20929741108928,-101.99486713812212,24509.0,0.7474,450.83,-195.0,300.4,219.96,62695.0
