ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,5842.312774464343,-257602.34859270268,30.480000304472036,33.00164000089956,-97.32075000062102,100.0,0.3,198.38,2414.0,358.77,129.83,66170.0
73.0,5684.127429162179,-250220.965910904,928.535817458081,33.06802322327265,-97.32239875107604,3046.0,0.4728,309.45,2281.0,358.76,116.61,66054.0
146.0,5433.699705656188,-238651.77494540138,1777.2824525638937,33.17206876376954,-97.32501473681255,5831.0,0.4927,319.28,2104.0,358.77,111.87,65942.0
220.0,5176.633497901751,-226705.17408149943,2559.964855192682,33.279508410576916,-97.3277061148617,8399.0,0.512,328.73,1949.0,358.77,107.28,65834.0
293.0,4913.263717267428,-214396.82668761295,3285.087557556477,33.39020129326956,-97.33046997558938,10778.0,0.5332,339.36,1819.0,358.78,103.1,65731.0
366.0,4641.4562880261765,-201683.6387831706,3961.9812576237973,33.50453497009128,-97.33332970877619,12999.0,0.5562,351.11,1721.0,358.77,99.64,65632.0
439.0,4359.874271649204,-188525.26518722397,4602.440115750611,33.62287227301849,-97.33630031149433,15100.0,0.579,362.59,1626.0,358.78,96.3,65535.0
513.0,4069.224702138045,-174931.8141378094,5207.57400754915,33.74512228580321,-97.33937508076899,17085.0,0.6016,373.85,1534.0,358.78,93.11,65442.0
586.0,3770.5183754280874,-160911.4981744396,5778.350062101637,33.871211139918216,-97.3425439985025,18958.0,0.624,384.92,1444.0,358.79,90.04,65352.0
659.0,3464.911577190573,-146471.79915993026,6315.687247839571,34.00107153830071,-97.34579542655013,20721.0,0.6462,395.81,1357.0,358.8,87.15,65265.0
732.0,3153.428876767066,-131619.07255054094,6820.439072377109,34.13464631538932,-97.34911909991827,22377.0,0.6682,406.59,1271.0,358.81,84.38,65181.0
806.0,2836.647534265583,-116357.80997726311,7293.353279280884,34.27189506965527,-97.3525095659795,23928.0,0.6901,417.26,1187.0,358.82,81.78,65099.0
879.0,2514.645539080628,-100692.07615441136,7735.16682518084,34.41278124067994,-97.35596679427738,25378.0,0.7119,427.85,1106.0,358.83,79.37,65020.0
952.0,2186.9265301542837,-84624.99462101475,8146.568405039395,34.55727673340403,-97.35949704050282,26728.0,0.7336,438.41,1025.0,358.84,77.08,64942.0
1025.0,1852.280308912345,-68157.24771604282,8528.096505895268,34.70537540750607,-97.3631144272798,27979.0,0.7545,448.5,949.0,358.83,75.0,64867.0
1099.0,1509.5208435802674,-51306.71504309686,8881.333487867829,34.85691646209782,-97.36683297292086,29138.0,0.7692,455.0,896.0,358.83,73.2,64794.0
1172.0,1159.961099673603,-34209.75701832671,9214.624552793934,35.010673567913486,-97.37063953268616,30232.0,0.7811,459.86,588.0,358.82,66.09,64728.0
1245.0,803.3478242284351,-16914.40614539047,9433.422823036659,35.166214750455325,-97.37453780109124,30950.0,0.7663,449.75,88.0,358.81,53.62,64675.0
1318.0,450.2610337453911,24.326036815973826,9466.182569656838,35.318548662735125,-97.37841232742574,31057.0,0.7292,427.79,-412.0,358.79,39.9,64635.0
1392.0,109.80691518065206,16156.706142795627,9312.903792653766,35.46363074309361,-97.38216255490195,30554.0,0.6749,396.78,-912.0,358.78,25.22,64609.0
1465.0,-210.03803503996244,31136.071011621505,8973.586492029588,35.59834339164219,-97.38569804838224,29441.0,0.6473,382.4,-1212.0,358.76,17.54,64592.0
1538.0,-522.0010047534633,45580.23508734098,8522.746164912478,35.72824276470464,-97.38915777423162,27962.0,0.6242,371.08,-1240.0,358.75,16.19,64576.0
1611.0,-828.0439228807826,59596.55065037588,8061.509525904533,35.85429430960099,-97.3925626516003,26449.0,0.6024,360.41,-1255.0,358.74,15.16,64561.0
1685.0,-1128.259345121398,73208.99581639288,7594.440902652522,35.976713671424555,-97.39591301968163,24916.0,0.5817,350.28,-1263.0,358.72,14.3,64546.0
1758.0,-1422.7577399184452,86438.10764090618,7124.599082607427,36.09568554891115,-97.39920946010271,23375.0,0.5622,340.66,-1264.0,358.71,13.61,64533.0
1831.0,-1711.8508488489545,99302.90003188877,6654.122551133287,36.21138094229439,-97.40245483913941,21831.0,0.5438,331.59,-1262.0,358.7,13.01,64520.0
1904.0,-1996.1241066035598,111823.97582898133,6184.424941061671,36.32398514046119,-97.40565513656912,20290.0,0.5264,323.0,-1257.0,358.68,12.5,64507.0
1978.0,-2276.3398174000704,124019.42336888603,5716.558726575365,36.43366081771286,-97.40881837445347,18755.0,0.5101,314.89,-1251.0,358.67,12.04,64495.0
2051.0,-2552.9533869951642,135907.62233495922,5251.204094367832,36.54057326840256,-97.4119492184293,17228.0,0.4946,307.15,-1242.0,358.65,11.66,64483.0
2124.0,-2826.2244158056214,147502.6674541385,4788.970410878641,36.64484925138938,-97.41505018104851,15712.0,0.4799,299.8,-1233.0,358.63,11.31,64472.0
2197.0,-3096.388827113582,158819.05607669475,4330.262481051216,36.74661914619109,-97.41812354864427,14207.0,0.4659,292.76,-1222.0,358.62,11.0,64461.0
2271.0,-3363.3655552635123,169869.0663075067,3875.4282560804863,36.845993375009435,-97.42116807225527,12715.0,0.4528,286.15,-1212.0,358.6,10.71,64450.0
2344.0,-3626.9267473047557,180668.30221210278,3424.5231078472057,36.943112271768264,-97.42418088182541,11235.0,0.4404,279.84,-1201.0,358.59,10.46,64440.0
2417.0,-3886.613482149246,191228.70098752386,2977.6773753097477,37.03808319463575,-97.42715649708538,9769.0,0.4286,273.82,-1190.0,358.58,10.49,64429.0
2490.0,-4141.980934467879,201561.24352995117,2534.9711148462175,37.13100490199562,-97.43008958557053,8317.0,0.4174,268.11,-1179.0,358.58,10.74,64419.0
2564.0,-4392.8444389128435,211677.27795082744,2096.392468146766,37.22197945395009,-97.43297774906922,6878.0,0.4067,262.55,-1167.0,358.57,11.0,64408.0
2637.0,-4639.292594173111,221583.07675492304,1662.1393601424654,37.311063263429475,-97.43582165677608,5453.0,0.3967,257.43,-1157.0,358.57,11.24,64396.0
2710.0,-4882.031013329533,231294.97233777208,1231.8080953656088,37.39840321084033,-97.43862904364131,4041.0,0.3869,252.37,-1145.0,358.56,11.48,64385.0
2783.0,-5121.525543953783,240815.14343501892,805.7039488506734,37.484018890216994,-97.44140489257803,2643.0,0.3778,247.64,-1135.0,358.55,11.7,64373.0
2856.0,-5357.7903362654415,250156.15777583036,383.53830111257923,37.56802332807026,-97.44414916647608,1258.0,0.3,197.58,-949.0,358.77,12.38,64361.0
2930.0,-5517.441140594025,257605.92126571567,30.47999969586538,37.63501972787554,-97.44601552078379,100.0,0.2222,146.92,-763.0,358.99,14.04,64347.0
