ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,5842.312890542313,-257602.3487924192,30.480000300088207,33.00163999910282,-97.3207499993779,100.0,0.3,198.38,2414.0,358.77,107.23,66193.0
60.0,5711.535788450274,-251499.87931289003,772.2657308496262,33.0565215324629,-97.32211289836808,2534.0,0.3783,248.07,2477.0,13.77,102.21,66091.0
121.0,7532.569789391607,-244070.46950170945,1533.3930551043193,33.12332422185094,-97.30251530364131,5031.0,0.3949,256.63,2338.0,28.77,99.25,65991.0
181.0,11345.370194713509,-237127.07037916378,2251.9558603329615,33.18573311956039,-97.2614940298278,7388.0,0.408,262.92,2212.0,23.52,96.41,65895.0
242.0,14586.480595047833,-229680.44377594366,2931.6361064316784,33.252661781342944,-97.22655112809015,9618.0,0.4289,274.18,2098.0,8.52,93.03,65802.0
302.0,15842.312931405735,-221298.35462857093,3576.367315217424,33.32802518525805,-97.21289864098732,11733.0,0.4716,299.09,1986.0,360.0,88.54,65713.0
363.0,15842.312930752692,-212044.5786434097,4186.617288342009,33.41124619088023,-97.21273240510895,13736.0,0.5634,354.63,1691.0,0.0,81.39,65632.0
423.0,15842.312930839398,-201055.42035631606,4706.281695588754,33.51007382608123,-97.21253426819982,15441.0,0.6549,409.58,1191.0,356.5,75.17,65557.0
484.0,15066.90490613461,-188366.42835286292,5072.280017150577,33.624199991697175,-97.22067785706163,16641.0,0.7232,450.18,691.0,353.51,71.05,65486.0
544.0,13486.768445913216,-174465.64005811425,5284.612253024154,33.74923439640641,-97.23752582035922,17338.0,0.7288,452.44,694.0,351.6,70.47,65415.0
605.0,11431.72003773665,-160556.1151557128,5498.034966804652,33.874350448215516,-97.25956668314288,18038.0,0.7344,454.68,698.0,350.25,69.9,65345.0
665.0,9039.954650149428,-146630.3144822438,5712.566106615571,33.999611911119175,-97.28532480111137,18742.0,0.74,456.87,702.0,349.81,69.32,65276.0
726.0,6527.404279590687,-132656.7333918715,5928.224993480857,34.12529838984912,-97.31247127580096,19450.0,0.7456,459.02,705.0,349.59,68.71,65207.0
786.0,3950.8693982772925,-118627.15735897762,6145.032495173872,34.25148261380831,-97.34039503889676,20161.0,0.7511,461.11,709.0,349.94,68.1,65139.0
847.0,1447.2411679675643,-104518.52627743756,6363.011229226068,34.37837124954702,-97.36760877623487,20876.0,0.7566,463.14,713.0,349.82,67.48,65072.0
907.0,-1097.5145422639553,-90353.38017316653,6582.18580105986,34.50576191217581,-97.39534936631149,21595.0,0.762,465.1,717.0,350.35,66.85,65005.0
968.0,-3519.834731678816,-76105.36066456333,6802.580833324188,34.63389185698017,-97.42184374087556,22318.0,0.7673,466.97,721.0,351.76,66.21,64939.0
1028.0,-5600.201225603172,-61744.95313672334,7024.203651846954,34.763028661187825,-97.44467815581234,23045.0,0.7725,468.74,725.0,352.02,65.55,64873.0
1089.0,-7621.001369186633,-47320.80659959646,7247.019294502685,34.89273479910927,-97.46693215370944,23776.0,0.7775,470.39,729.0,353.97,64.88,64808.0
1149.0,-9157.039119091683,-32785.71884603415,7470.931686200294,35.02343906961305,-97.48393480490422,24511.0,0.7824,471.9,732.0,356.24,64.18,64744.0
1210.0,-10118.187033860993,-18154.546870827122,7695.77419647313,35.15501101123438,-97.4946701067399,25249.0,0.787,473.24,734.0,357.16,63.45,64681.0
1270.0,-10846.415260817348,-3468.288472978993,7921.312314620735,35.28707998490408,-97.50287513986078,25989.0,0.7913,474.39,735.0,357.33,62.69,64618.0
