ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,5842.3127740681675,-257602.34859270966,30.480000302605468,33.001640000899506,-97.32075000062527,100.0,0.3,198.38,2414.0,358.77,105.14,66195.0
59.0,5714.0776113847005,-251618.52895200675,757.7823591572022,33.05545447702571,-97.32208639274901,2486.0,0.5,327.9,2151.0,343.77,93.26,66102.0
119.0,2934.1401574561105,-242067.14682253663,1405.9093001314404,33.14136366054301,-97.3518755477778,4613.0,0.5572,362.66,1695.0,342.31,87.44,66014.0
178.0,-415.868784622836,-231566.8118957832,1916.768773217623,33.23579953590963,-97.38783883821931,6289.0,0.5698,368.68,1591.0,353.49,84.95,65929.0
237.0,-1687.2551673285102,-220430.95235847583,2396.336361937047,33.3359454126347,-97.40152730704156,7862.0,0.5894,379.17,1434.0,0.81,82.1,65847.0
297.0,-1524.9758025806216,-208899.58576082037,2828.5839590764117,33.43964973569887,-97.39980106768434,9280.0,0.6068,388.39,1300.0,11.62,79.57,65768.0
356.0,855.2509485901292,-197324.39405629045,3220.3137140771446,33.54374871774188,-97.37415381727025,10565.0,0.6385,406.74,1054.0,10.64,76.6,65691.0
415.0,3140.9434029725203,-185153.38662141838,3537.7760700613785,33.653200747837964,-97.34945071587,11607.0,0.6829,433.36,667.0,7.46,73.44,65617.0
475.0,4854.964267246877,-172058.9080193265,3738.8614196760104,33.77095553117349,-97.33086190604745,12267.0,0.6883,435.7,670.0,4.91,72.95,65545.0
534.0,5991.486178889914,-158830.16251463103,3940.8920803226397,33.889918456477766,-97.31847591333167,12929.0,0.6938,438.04,674.0,3.65,72.48,65472.0
593.0,6842.226602550753,-145508.61912481533,4143.878385692815,34.0097165966656,-97.3091541211972,13595.0,0.6992,440.38,677.0,1.29,71.98,65400.0
652.0,7144.847394499116,-132092.31144581165,4347.8312207947965,34.130370221799055,-97.30575923605006,14265.0,0.7047,442.71,680.0,0.55,71.46,65329.0
712.0,7275.198112779615,-118602.42777627087,4552.762078683169,34.251686676367704,-97.30422788680558,14937.0,0.7102,445.03,683.0,1.7,70.94,65258.0
771.0,7676.838640510242,-105047.40777300007,4758.683124043601,34.373586881293924,-97.29973544816318,15612.0,0.7158,447.33,687.0,359.75,70.43,65187.0
830.0,7616.9223406879955,-91416.55427812891,4965.607264843641,34.49617247201799,-97.30026513397289,16291.0,0.7213,449.61,690.0,350.91,69.89,65117.0
890.0,5452.94580220187,-77888.08545505651,5173.548233319341,34.617850835333584,-97.32378945679427,16974.0,0.7269,451.88,693.0,349.21,69.34,65048.0
949.0,2875.4661766510317,-64362.24938704269,5382.5206778844895,34.73950223208175,-97.35190838329633,17659.0,0.7324,454.11,697.0,349.81,68.8,64979.0
1008.0,426.82652330829904,-50743.44654912328,5592.540267870494,34.86198312124152,-97.37869840236247,18348.0,0.738,456.32,701.0,352.04,68.24,64911.0
1068.0,-1498.6767736104496,-36973.26867937881,5803.6238134586465,34.98582025566466,-97.39982450161149,19041.0,0.7435,458.48,704.0,356.71,67.66,64843.0
1127.0,-2300.060492839901,-23026.329999922054,6015.789403724843,35.1112465519782,-97.40866037003595,19737.0,0.749,460.61,708.0,358.41,67.09,64776.0
1186.0,-2688.8945796393027,-8997.360862200316,6229.056566450288,35.237411122064835,-97.4129814453733,20437.0,0.7545,462.67,711.0,358.76,66.48,64710.0
1246.0,-2994.680214968757,5096.473878573993,6443.446454319036,35.36415918973656,-97.41640032759481,21140.0,0.7599,464.68,715.0,358.76,65.88,64644.0
1305.0,-3301.9915706560882,19251.194147985385,6658.981791259313,35.49145467229757,-97.41984690703804,21847.0,0.7652,466.61,719.0,358.95,65.27,64579.0
1364.0,-3563.6432438491847,33465.54360164226,6875.67843330135,35.61928647108434,-97.42279966014446,22558.0,0.7705,468.46,723.0,0.36,64.65,64514.0
1424.0,-3474.85778675209,47738.16311363801,7093.521738841343,35.747643521335405,-97.42187913773043,23273.0,0.7756,470.22,727.0,1.98,64.02,64450.0
1483.0,-2980.234715656992,62055.66858934364,7312.44403590247,35.8764055412174,-97.41645170616245,23991.0,0.7806,471.85,691.0,2.54,62.75,64387.0
1542.0,-2342.901134230252,76418.56587096522,7520.536851824934,36.00557588900622,-97.40942045887559,24674.0,0.7852,473.29,191.0,3.2,54.12,64333.0
1602.0,-1536.23536643521,90832.79571863185,7577.963913494738,36.135207756664954,-97.40048095201799,24862.0,0.7866,473.76,-309.0,1.53,45.69,64287.0
1661.0,-1150.827427373325,105293.44467799687,7484.725220901875,36.265256022096054,-97.39621059783494,24556.0,0.7849,473.34,-809.0,359.3,37.64,64250.0
1720.0,-1326.368622033867,119758.4064378217,7240.820774043377,36.39534232427132,-97.3981929952658,23756.0,0.7799,471.88,-1309.0,344.3,30.04,64220.0
