ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,687665.236934755,-557958.757396123,30.480000082517503,33.001640000822874,-97.32074999885529,100.0,0.1939,128.24,1470.0,316.64,372.98,65927.0
205.0,678522.3437734394,-548277.5440032632,1560.8298733243262,33.094559797954204,-97.41086368534417,5121.0,0.3939,255.95,1683.0,331.64,296.71,65630.0
410.0,665863.2298508391,-524827.7808245209,3313.0624840401338,33.31305462822618,-97.52821660086514,10870.0,0.5939,377.91,1183.0,346.64,258.23,65372.0
615.0,656729.6566536328,-486375.75710948074,4544.769573825166,33.66345608148166,-97.59669529423381,14911.0,0.7099,444.88,683.0,1.64,245.2,65127.0
820.0,658064.2168017633,-439708.5976593897,5255.951142658208,34.080421411334704,-97.54598307358387,17244.0,0.729,452.7,255.0,352.04,214.63,64912.0
1025.0,651463.7534906027,-392523.5132634419,5520.971227899372,34.50734025395457,-97.58039048404017,18113.0,0.7363,455.71,699.0,344.71,236.34,64676.0
1230.0,638855.0060832337,-346403.99775884923,6249.16868300256,34.92872913818874,-97.68145047381736,20503.0,0.7552,463.03,712.0,331.8,229.49,64446.0
1435.0,615904.9988017614,-303597.22642526473,6990.3819119563295,35.32712808969847,-97.89959058820284,22934.0,0.7735,469.59,725.0,326.33,222.17,64224.0
1639.0,588600.5248601148,-262608.82508205844,7745.103317329866,35.711613523028454,-98.16920840180067,25410.0,0.7903,474.89,733.0,312.7,214.08,64010.0
1844.0,552004.2579104068,-228837.38999618657,8508.600509345732,36.036369291240426,-98.54963411766848,27915.0,0.8039,478.0,249.0,307.47,178.51,63832.0
2049.0,512079.1588462676,-198240.2323110086,8767.605194603719,36.33333087936852,-98.97236398285617,28765.0,0.808,478.73,24.0,306.22,162.68,63669.0
2254.0,471368.49325120606,-168424.36206099746,8792.764527742049,36.622225885691215,-99.40754990131147,28848.0,0.8094,479.37,16.0,306.06,161.99,63507.0
2459.0,430519.11891682795,-138677.96022492112,8809.065178241337,36.90900922604501,-99.8475565157091,28901.0,0.8107,480.02,19.0,306.02,162.04,63345.0
2664.0,389593.60987812665,-108922.01072144925,8828.472933603442,37.19431731851889,-100.29168601264128,28965.0,0.812,480.67,16.0,306.01,161.72,63183.0
2869.0,348609.4217130296,-79129.30764250901,8845.252226068913,37.4783492554304,-100.73978003409489,29020.0,0.8133,481.31,-42.0,306.04,158.37,63025.0
3074.0,307564.9998330226,-49266.94908180031,8801.74063744282,37.761364323896856,-101.19189626746457,28877.0,0.8138,481.94,2.0,306.39,161.46,62863.0
3279.0,266665.89229748555,-19121.715085435564,8804.074268827928,38.04518027384461,-101.64566851165907,28885.0,0.8149,482.57,-17.0,306.37,160.47,62703.0
3484.0,225696.97645766093,11052.620751713677,8786.687646130003,38.32756051926679,-102.10370943331607,28828.0,0.8158,483.18,-68.0,306.33,157.98,62545.0
3689.0,184640.1403105549,41246.91309060211,8716.266126499595,38.60838623217288,-102.56628569460007,28597.0,0.8158,483.68,-267.0,306.25,148.04,62397.0
3894.0,143436.4982057021,71454.26767886551,8438.636624594945,38.88756132072068,-103.0341357848905,27686.0,0.8123,483.47,-500.0,306.27,138.79,62258.0
4099.0,102194.01098708171,101711.79474746698,7918.111105045692,39.16535434308664,-103.50606565742443,25978.0,0.803,481.37,-86.0,304.79,167.74,62090.0
4304.0,60490.18003740105,130684.09161038407,7828.4327326036555,39.42974699952775,-103.98717034058295,25684.0,0.8018,481.26,414.0,297.55,195.58,61895.0
4508.0,15639.936226921593,154079.34985909724,8259.27987777862,39.64209364590128,-104.50878648108703,27097.0,0.8116,484.27,392.0,293.97,189.4,61705.0
4713.0,-30877.692671758687,174761.68113074277,8666.925781879032,39.82768574085129,-105.05296833305701,28435.0,0.82,486.51,-52.0,288.58,160.94,61544.0
4918.0,-79512.14723334447,191114.0252532682,8613.092522725501,39.97164405037837,-105.62437294126592,28258.0,0.82,486.88,-48.0,281.8,161.91,61383.0
5123.0,-129773.91533268658,201616.66054145782,8562.784453645592,40.06000310243256,-106.2161080329118,28093.0,0.82,487.22,-45.0,281.02,162.77,61220.0
5328.0,-180208.4071790982,211440.83020362165,8515.449559063523,40.139274288655564,-106.81118091642297,27938.0,0.82,487.54,-43.0,280.83,163.53,61056.0
5533.0,-230708.90225338834,221097.43579781745,8470.666699293148,40.21403557310673,-107.40832000381062,27791.0,0.82,487.85,-41.0,280.8,164.26,60892.0
5738.0,-281245.16325865185,230733.72102828667,8428.105890552815,40.28559458273102,-108.00714982876897,27651.0,0.82,488.14,-39.0,280.48,164.95,60727.0
5943.0,-331862.88183429814,240097.7840651227,8387.50285860524,40.351651140421886,-108.60802854861977,27518.0,0.82,488.41,-37.0,279.71,165.62,60561.0
6148.0,-382630.2532909408,248783.63788502285,8348.642056996136,40.408505785954056,-109.21140730785532,27391.0,0.82,488.68,-36.0,284.28,166.21,60395.0
6353.0,-432571.350209449,261490.56122017466,8311.344943327651,40.49878241078468,-109.80873163946553,27268.0,0.82,488.93,464.0,299.28,192.35,60203.0
6558.0,-477380.48251622193,286610.905506383,8794.573350554185,40.70022335101554,-110.35629539089608,28854.0,0.82,485.64,219.0,314.28,171.32,60032.0
6763.0,-513979.18631721265,322295.3274050076,9022.694179489246,40.99875795351571,-110.81837360795556,29602.0,0.82,484.08,-281.0,329.28,141.15,59890.0
6968.0,-540106.6829761323,366255.9123760988,8730.289487560782,41.37632378028034,-111.16697069305542,28643.0,0.82,486.08,-781.0,344.28,119.74,59771.0
7173.0,-554072.0999388756,415857.46275489114,7917.359274706452,41.81146732427951,-111.37880405105126,25976.0,0.8137,487.81,-1281.0,359.28,106.85,59664.0
7378.0,-554728.2418979079,467732.1679971748,6583.903540907148,42.275591207516186,-111.43477855356011,21601.0,0.7791,475.54,-1781.0,1.64,93.64,59570.0
7582.0,-553278.6391318084,518422.16009268205,4729.922286163575,42.73049295929199,-111.4650665748946,15518.0,0.7,437.64,-2005.0,346.64,79.25,59491.0
7787.0,-564069.7609484704,563852.4055244087,2642.916003119552,43.1298151911657,-111.6412019752875,8671.0,0.5,320.73,-1505.0,331.64,35.79,59455.0
7992.0,-580265.227458309,593852.9139762606,1076.4352409814371,43.3868311867757,-111.87059466685278,3532.0,0.3,196.02,-1005.0,316.64,33.8,59421.0
