ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,687665.2368348722,-557958.7574957384,30.480000000006445,33.00163999999987,-97.32075000000017,100.0,0.2956,195.48,2198.0,316.64,357.09,65943.0
205.0,673804.3281322692,-543281.7402986123,2315.4242583209207,33.142484634749,-97.45743853771263,7597.0,0.4956,319.17,1698.0,324.95,286.16,65657.0
409.0,654738.0178922847,-516098.3102787771,4080.5147473614506,33.39862099968664,-97.64085591177266,13388.0,0.6417,404.45,1198.0,309.95,260.18,65397.0
614.0,622362.0345435563,-488975.2884992077,5325.747736339735,33.66244860678392,-97.96866354280637,17473.0,0.7298,452.82,698.0,323.37,238.09,65158.0
819.0,594049.9643103547,-450897.22435102676,6051.124683460637,34.02112875339796,-98.24683846521948,19853.0,0.7489,460.33,708.0,309.64,231.28,64927.0
1023.0,556908.8746829868,-420129.54368941876,6786.931603313688,34.31877464486406,-98.62815871052912,22267.0,0.7671,466.98,252.0,321.61,198.31,64729.0
1228.0,526427.8792325634,-381659.0988148737,7049.396305170975,34.68071425910048,-98.93462718578154,23128.0,0.6389,387.55,752.0,308.66,195.93,64533.0
1433.0,494737.9630421494,-356306.4761593887,7831.6026349926005,34.92487080087117,-99.26500579301958,25694.0,0.6161,369.77,500.0,293.66,170.45,64363.0
1637.0,459207.89479032694,-340739.01742596854,8351.429266146877,35.082177901738596,-99.6451087688163,27400.0,0.7997,476.55,0.0,294.94,166.08,64196.0
1842.0,413709.69212510315,-319582.41396034556,8351.441821732356,35.29280750688097,-100.13337759727096,27400.0,0.6361,379.04,289.0,309.94,153.24,64043.0
2047.0,383174.1238094493,-294015.9671304559,8651.914335906182,35.53511324959992,-100.45700564613529,28386.0,0.7463,442.88,196.0,319.41,160.27,63883.0
2251.0,352879.88801916555,-258653.93156534765,8856.095661762862,35.8644384016155,-100.77548754630554,29055.0,0.8086,478.45,-303.0,304.41,142.77,63740.0
2456.0,311228.6621302933,-230119.96773009023,8540.700816355147,36.13543240305421,-101.22579880578952,28021.0,0.806,479.07,-500.0,294.22,135.79,63604.0
2661.0,265064.1033819959,-209350.99354568528,8020.947161599516,36.3362387877469,-101.73231965558116,26315.0,0.7985,478.03,-472.0,309.22,143.86,63461.0
2865.0,225942.19787349005,-177418.53470837837,7530.2083445058215,36.63352565292528,-102.15934191125706,24705.0,0.6232,375.57,26.0,306.23,136.33,63324.0
3070.0,194050.45465839154,-154050.9994877345,7557.72444527652,36.85079394397199,-102.51057455823117,24796.0,0.4494,270.77,498.0,318.79,182.24,63142.0
3275.0,175335.6845648014,-132683.8222979025,8075.988143950411,37.046623666499386,-102.71580923962509,26496.0,0.5086,304.24,493.0,331.97,170.16,62972.0
3479.0,160336.37253182998,-104511.70334857589,8588.69547926064,37.30264032207367,-102.87865275711509,28178.0,0.6126,363.84,24.0,340.55,128.51,62843.0
3684.0,147585.0436401439,-68394.75708005589,8614.164005396502,37.629509240569234,-103.0154785071093,28262.0,0.8126,482.45,-475.0,345.95,137.34,62706.0
3889.0,135211.73731375017,-18949.20049918087,8119.999456221896,38.07601195122119,-103.14664255660392,26640.0,0.8049,481.2,-273.0,348.26,154.64,62551.0
4093.0,124880.83833049372,30752.666286970707,7836.227284491901,38.52439964281042,-103.25583738042646,25709.0,0.7997,479.98,-100.0,333.49,167.5,62384.0
4298.0,102308.6566691106,76009.11206820486,7731.814987486926,38.93422047538494,-103.5085913676113,25367.0,0.7984,479.85,-360.0,318.49,154.57,62229.0
4503.0,68741.07286506976,113940.08093570909,7357.173701578181,39.278564674448674,-103.8928238708915,24138.0,0.7835,473.32,113.0,303.49,182.35,62047.0
4707.0,27212.76460400932,141419.5441253775,7474.948773620933,39.5279579956964,-104.3741601117438,24524.0,0.7924,477.91,353.0,296.05,195.63,61851.0
4912.0,-17879.71312903332,163465.40129124816,7842.098712039755,39.72646105768153,-104.9004717142698,25729.0,0.8031,481.98,-139.0,289.01,165.74,61685.0
