ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,831380.3130432762,-134634.50696242752,30.48000030343282,33.001640000970305,-97.32075000097583,100.0,0.3,198.38,2414.0,286.81,352.0,65948.0
199.0,812388.9412991334,-128898.45758124164,2465.412388527275,33.0676050545661,-97.51847555819009,8089.0,0.5,321.41,2009.0,282.19,294.51,65653.0
397.0,780746.3904417482,-122063.77945373756,4492.289893115959,33.15249000225348,-97.85093857104617,14738.0,0.5856,367.23,1594.0,282.14,260.72,65393.0
596.0,744475.0635653285,-114259.29404174363,6100.497416815294,33.24844331083034,-98.23284535178104,20015.0,0.6482,398.17,1345.0,282.07,237.89,65155.0
794.0,705072.5241055693,-105837.08693378733,7457.237668036328,33.350862716649196,-98.64870746310324,24466.0,0.7093,427.93,1112.0,281.96,218.19,64937.0
993.0,662644.761546795,-96847.76139849574,8578.696543974283,33.45889107862445,-99.09764166207425,28145.0,0.7648,454.35,909.0,281.86,202.05,64735.0
1192.0,617520.557831473,-87369.06872078014,9495.524958632006,33.571283213226764,-99.57638016967947,31153.0,0.79,463.22,793.0,281.79,188.81,64546.0
1390.0,571469.0617423048,-77756.99860264816,10295.929646983855,33.68354218295662,-100.06626854966785,33779.0,0.7844,454.64,293.0,281.74,151.93,64394.0
1589.0,526093.8584390817,-68323.34240949145,10591.9211151663,33.79193546078249,-100.550223292712,34750.0,0.7681,443.23,-0.0,281.72,130.31,64264.0
1787.0,481755.39031594724,-59126.03738121489,10591.921113283612,33.89584764969353,-101.02430336003192,34750.0,0.7736,446.43,19.0,281.7,131.83,64132.0
1986.0,437099.3926949779,-49881.51452660211,10610.93106772421,33.99850858934843,-101.50294319441677,34813.0,0.7743,446.72,21.0,281.66,131.68,64000.0
2184.0,392409.81877079094,-40655.30793255235,10632.60885975492,34.099171504743246,-101.98309985919437,34884.0,0.7744,446.62,21.0,281.61,131.31,63869.0
2383.0,347720.47962006635,-31473.42730821505,10653.880416929229,34.19757553713171,-102.46440136453701,34954.0,0.7746,446.58,21.0,281.55,130.96,63738.0
2582.0,303025.5823269031,-22339.276672108936,10675.165862523434,34.29368016736501,-102.94689080352377,35024.0,0.7747,446.53,21.0,281.49,130.61,63607.0
2780.0,258326.4367477798,-13250.852047720298,10696.372812301714,34.38749091353962,-103.43053129965507,35093.0,0.7749,446.48,21.0,281.45,130.27,63477.0
2979.0,213624.1025205224,-4200.1623423930405,10717.58102333136,34.47906764325338,-103.91528694238526,35163.0,0.775,446.42,21.0,281.42,129.92,63347.0
3177.0,168921.81760543582,4826.320864677108,10738.8079868334,34.56852012451658,-104.40109794880638,35232.0,0.7752,446.36,21.0,281.4,129.57,63217.0
3376.0,124222.93854173165,13842.183611424744,10760.02712037814,34.65595948571743,-104.88790534645243,35302.0,0.7753,446.29,21.0,281.41,129.22,63088.0
3575.0,79529.77201866033,22858.654185009134,10781.277539117387,34.741476572834756,-105.3756640804106,35372.0,0.7754,446.22,21.0,281.42,128.87,62959.0
3773.0,34843.96979376,31881.66378776991,10802.573929831397,34.82511520280191,-105.86433836571945,35442.0,0.7755,446.14,21.0,281.43,128.52,62831.0
3972.0,-9833.635943032632,40913.10843333962,10823.885151166523,34.906883074498516,-106.35390223172487,35511.0,0.7756,446.06,21.0,281.44,128.17,62703.0
4170.0,-54503.21504019665,49953.6818719145,10845.27238475862,34.98677748606803,-106.8443400497126,35582.0,0.7757,445.97,21.0,281.45,127.82,62575.0
4369.0,-99164.739395655,59001.738180958564,10866.764409641062,35.064775444543,-107.33563377442505,35652.0,0.7758,445.88,21.0,281.46,127.47,62447.0
4568.0,-143818.3756027956,68054.08389210078,10888.354074268467,35.14083987271275,-107.82776663661079,35723.0,0.7759,445.77,22.0,281.47,127.18,62320.0
4766.0,-188464.07536952652,77110.96049622512,10910.12179539229,35.21496470309513,-108.32071915077812,35794.0,0.7759,445.66,22.0,281.47,126.83,62193.0
4965.0,-233101.83699409256,86167.93720476882,10931.958033724202,35.28710205024713,-108.81447066708326,35866.0,0.776,445.54,22.0,281.47,126.47,62067.0
5163.0,-277732.4430944565,95227.69268812325,10953.94703176854,35.35726793053589,-109.30901022198226,35938.0,0.7761,445.43,22.0,281.48,126.12,61941.0
5362.0,-322356.3128967596,104289.70818935186,10976.198001357554,35.42544979395049,-109.8043218161054,36011.0,0.7761,445.29,21.0,281.49,125.7,61815.0
5560.0,-366971.2613004737,113359.81251469844,10997.743498470641,35.49169318072491,-110.30036308654934,36082.0,0.7763,445.3,30.0,281.51,125.89,61689.0
5759.0,-411589.16664978187,122449.26962099537,11028.371530982055,35.55608720879348,-110.79725059480145,36182.0,0.774,443.94,0.0,281.55,123.53,61566.0
5958.0,-456061.97490549844,131539.95568857228,11028.37153110264,35.61852765664119,-111.29331988878526,36182.0,0.7641,438.29,-500.0,281.61,93.57,61472.0
6156.0,-500079.8319357814,140585.66515115325,10523.958311086031,35.67876586673716,-111.78509309396765,34527.0,0.7478,431.96,-500.0,281.7,94.35,61378.0
6355.0,-543451.5238119034,149566.28453295922,10019.54509090476,35.73677865395339,-112.27040571128256,32873.0,0.7145,415.77,-500.0,281.81,92.6,61285.0
6553.0,-585177.6427950253,158293.91424545037,9515.131870714926,35.79154457696793,-112.73802398043634,31218.0,0.636,372.85,-1000.0,281.95,53.88,61231.0
6752.0,-622698.8029621091,166237.7353468047,8506.305430337616,35.84010883860602,-113.15913291601017,27908.0,0.6062,360.5,-1500.0,282.11,29.12,61202.0
6951.0,-659056.434523421,174035.90497795143,6993.065769901439,35.88667230500202,-113.5677497326549,22943.0,0.5529,335.64,-1503.0,282.25,25.94,61176.0
7149.0,-692870.2303437073,181380.40968914065,5476.399351545646,35.92956297380664,-113.94828082821927,17967.0,0.5059,313.28,-1481.0,282.38,24.98,61151.0
7348.0,-724396.0451406747,188300.6944838392,3982.2930080439846,35.96912400598909,-114.30349585050313,13065.0,0.4663,294.29,-1460.0,282.47,26.87,61124.0
7546.0,-753983.4311947518,194842.78954566325,2509.81766553273,36.00572634336236,-114.63723366688089,8234.0,0.4322,277.66,-1439.0,282.52,29.0,61095.0
7745.0,-781878.7967439208,201035.09948446474,1058.4226315788949,36.039608932673694,-114.95218973424385,3473.0,0.3,196.06,-1019.0,286.81,32.78,61063.0
7944.0,-801141.65688077,206853.1477253719,30.47999969846145,36.07630113760677,-115.17138788253426,100.0,0.1678,110.98,-599.0,291.1,105.16,60957.0
