ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,831380.3132431943,-134634.50696308212,30.479999707840136,33.001640000807924,-97.32074999884095,100.0,0.1573,104.01,500.0,286.81,415.27,65885.0
235.0,819378.9008134293,-131009.66510525727,628.3029286397982,33.04336155907628,-97.44566664063278,2061.0,0.1662,109.13,-0.0,301.81,339.75,65545.0
471.0,808149.9586545785,-124045.76166755191,628.3029285122848,33.11421498657532,-97.55943750304183,2061.0,0.1651,108.44,441.0,316.81,403.7,65141.0
706.0,799196.9589940797,-114509.73964058998,1155.4170504375857,33.206245531801876,-97.64672147059444,3791.0,0.268,174.96,930.0,331.81,325.34,64816.0
941.0,789266.5111045829,-95984.77005343529,2266.908042705979,33.379311950221755,-97.73668794915743,7437.0,0.468,301.57,430.0,346.81,210.63,64605.0
1177.0,780958.6083589391,-60546.77706735635,2780.576094667102,33.70233096804718,-97.79450700141668,9123.0,0.668,427.8,-0.0,1.81,257.45,64348.0
1412.0,782591.1842211037,-8773.974653571167,2780.5760924300503,34.163932582990974,-97.73029812530324,9123.0,0.6684,428.05,500.0,350.61,289.51,64058.0
1648.0,774167.0462176062,42172.35984554927,3378.399030674022,34.62570407406444,-97.77528903116443,11084.0,0.4684,297.8,1000.0,335.61,257.06,63801.0
1883.0,759394.9647338866,74753.73200927523,4574.044909594685,34.92804406483594,-97.90670901236615,15007.0,0.2684,168.14,1106.0,320.61,378.11,63423.0
2118.0,746611.4101942026,90322.73261596325,5896.554286901967,35.07669795048256,-98.03248884527731,19346.0,0.4129,254.32,1401.0,305.61,308.13,63115.0
2354.0,721888.7476088201,108029.54553883964,7572.037235666974,35.25293060091539,-98.28783652824211,24843.0,0.6129,369.19,901.0,290.61,226.0,62889.0
2589.0,680368.9594649369,123644.83548624828,8649.69724394632,35.42140734873203,-98.73083629769377,28378.0,0.8129,482.42,401.0,275.61,212.7,62676.0
2824.0,622434.2924607432,129336.52146575581,9129.534311780108,35.50974347118819,-99.36431243101252,29953.0,0.8199,483.27,-99.0,260.61,174.44,62502.0
3060.0,564654.9101563572,119782.5137758895,9011.54844015431,35.45810960144267,-100.00799968369977,29565.0,0.82,484.15,-86.0,262.53,177.19,62325.0
3295.0,506488.54398434644,112154.42986706166,8908.824850434698,35.420544945005965,-100.65390600187045,29228.0,0.82,484.86,-72.0,263.64,179.72,62145.0
3530.0,448107.0404257162,105648.55370653397,8822.24897321062,35.3897343352442,-101.30094091974478,28944.0,0.82,485.45,-64.0,263.98,181.61,61963.0
3766.0,389620.9022506689,99483.59175076483,8746.29697375578,35.35860625660507,-101.94844706706238,28695.0,0.82,485.97,-57.0,264.11,183.27,61780.0
4001.0,331061.4707387326,93446.5528301678,8678.022063635666,35.32523014521514,-102.59618475600537,28471.0,0.82,486.43,-52.0,264.17,184.66,61595.0
4237.0,272442.30432302825,87462.9248784377,8615.63172900181,35.28892856881701,-103.24400305096029,28267.0,0.82,486.86,-48.0,264.1,185.91,61410.0
4472.0,213780.9006595462,81405.46944799283,8557.939219541639,35.24855190394751,-103.89170012639894,28077.0,0.82,487.25,-45.0,264.12,187.01,61223.0
4707.0,155071.9969909315,75360.34059194943,8504.110612357586,35.20487618383922,-104.53924850331153,27901.0,0.82,487.62,-500.0,264.23,160.04,61062.0
4943.0,96088.25597112818,69400.01816295685,7906.287672053632,35.158575735084334,-105.18908987112754,25939.0,0.8082,484.59,-313.0,263.47,179.66,60883.0
5178.0,37645.37209202328,62714.34378003533,7532.519747374111,35.10229702685813,-105.83225532631639,24713.0,0.8001,482.18,187.0,261.04,214.85,60668.0
5413.0,-19937.130973245683,53639.679788940666,7756.574761946722,35.0211881592653,-106.46500304624313,25448.0,0.8063,484.46,466.0,255.88,228.39,60440.0
5649.0,-76603.66491812885,39380.428505211225,8313.219594633225,34.89027471060602,-107.08595305940055,27274.0,0.82,488.92,-34.0,252.73,191.57,60248.0
5884.0,-133150.5955540768,21804.296665267728,8272.041487954388,34.726432878261456,-107.70307810792694,27139.0,0.82,489.2,-33.0,252.45,192.28,60056.0
6119.0,-189640.14175751456,3934.4388267494137,8232.546046878204,34.55689099846537,-108.31705830324076,27010.0,0.82,489.46,-32.0,251.94,192.96,59863.0
6355.0,-246001.11058663134,-14439.750334865474,8194.57187835748,34.379815831584295,-108.92698491477442,26885.0,0.82,489.72,-31.0,251.77,193.62,59669.0
6590.0,-302334.861272525,-32995.22890219851,8157.981979205075,34.19813718313067,-109.5339695171181,26765.0,0.82,489.97,-30.0,251.64,194.26,59475.0
6826.0,-358653.85472188186,-51689.26161326634,8122.658868451203,34.0122735624991,-110.1381190725323,26649.0,0.82,490.21,-147.0,251.98,187.97,59287.0
7061.0,-415164.843106904,-70075.61318957093,7946.566344294999,33.826186311739136,-110.74184549769022,26071.0,0.8165,489.3,-218.0,266.98,186.22,59101.0
7296.0,-474432.61935721675,-73205.31080272864,7685.721793784357,33.7728638861679,-111.3809347400807,25216.0,0.8106,487.51,282.0,281.98,218.56,58882.0
7532.0,-532041.6084717516,-60984.05440507508,8022.700166985894,33.854746701605634,-112.01063788025819,26321.0,0.82,490.88,-26.0,296.98,196.62,58686.0
7767.0,-585022.3070021113,-34015.539370719474,7991.565204061595,34.06812606113494,-112.60142757616009,26219.0,0.82,491.09,-25.0,311.98,197.16,58488.0
8002.0,-629236.4400238578,5763.260512967599,7961.297676945173,34.39864567122526,-113.10949123034067,26120.0,0.82,491.3,-84.0,321.6,194.27,58294.0
8238.0,-666210.8384734606,52416.18883995609,7860.646995726649,34.7931520422952,-113.5481728632998,25790.0,0.8181,490.86,-584.0,324.38,166.88,58127.0
8473.0,-700984.4307686107,100959.92813590159,7162.173373743008,35.20433620781634,-113.96875452065636,23498.0,0.7998,484.42,-1084.0,331.81,146.23,57981.0
