ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,831380.3132228284,-134634.5071475324,30.479999996742997,33.00163999917592,-97.32074999922841,100.0,0.185,122.36,1225.0,286.81,403.27,65897.0
223.0,818128.4093144595,-130631.97502636016,1416.2013652146813,33.04770171312254,-97.4586891126434,4646.0,0.385,250.59,1725.0,271.81,328.03,65569.0
446.0,789820.7073679956,-129739.33956973908,3367.7373762770717,33.077140026815016,-97.76055341220571,11049.0,0.585,372.0,1535.0,286.73,300.26,65268.0
668.0,749465.4196929821,-117606.45087560134,5104.988119450328,33.21497481222814,-98.18215672021707,16749.0,0.5592,347.92,1044.0,301.49,244.35,65024.0
891.0,715740.1043595697,-96943.94514976552,6286.853085364586,33.423261254407436,-98.52702812945368,20626.0,0.7551,462.7,544.0,286.49,239.33,64785.0
1114.0,665107.2053681128,-81951.01465800594,6902.903388321815,33.59073672047805,-99.05995104116404,22647.0,0.7703,468.19,97.0,297.27,204.92,64580.0
1337.0,617451.4559606136,-57385.40257560912,7012.455150131453,33.839978538167145,-99.55601705286233,23007.0,0.5703,346.12,597.0,304.49,195.13,64385.0
1559.0,584911.5440076457,-35029.39987911369,7687.8215552227675,34.05910109347162,-99.89258857411028,25223.0,0.629,378.27,526.0,289.49,189.1,64196.0
1782.0,544216.8975739385,-20626.374424789046,8282.773414862671,34.210363515074725,-100.32449345354924,27174.0,0.7997,477.02,26.0,282.0,183.38,64012.0
2005.0,490756.0310420523,-9262.972634028047,8311.910650619779,34.33902118434243,-100.89855240165092,27270.0,0.618,368.49,500.0,285.82,181.97,63830.0
2228.0,450291.0249584172,2202.402862156793,8877.725643065807,34.46035172903234,-101.3327005439169,29126.0,0.8092,478.68,0.0,270.82,173.83,63656.0
2450.0,395440.5558102065,2987.0520732556083,8877.725975103014,34.48990190943736,-101.93006114981259,29126.0,0.8104,479.42,0.0,255.86,173.94,63482.0
2673.0,342164.5320268976,-10434.227865015902,8877.726021939623,34.38841641340138,-102.51636443907083,29126.0,0.8117,480.15,-488.0,255.17,144.19,63338.0
2896.0,288769.69723858155,-24572.330087325743,8325.821918587097,34.277692543042654,-103.1027518007222,27316.0,0.8053,480.04,-500.0,270.17,151.2,63187.0
3119.0,233544.91821481296,-24409.116714760603,7760.007252137278,34.29309994865365,-103.70355777823784,25459.0,0.7955,477.93,-500.0,275.72,158.62,63028.0
3341.0,178839.52781105667,-18933.30690703635,7194.192585605024,34.35323567825212,-104.2977987493691,23603.0,0.6903,417.91,-500.0,290.72,129.97,62899.0
