ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-120887.22332062085,-349016.23547421634,30.479999994075474,33.00163444797789,-97.3207300622927,100.0,0.2815,186.16,2307.0,17.64,168.32,66132.0
94.0,-118184.35106199035,-340517.7810744934,1136.8593519417655,33.07836526599314,-97.29289322846174,3730.0,0.3557,232.24,2364.0,32.64,159.9,65972.0
189.0,-112170.60798413426,-331129.8435481672,2270.673969193289,33.163454042063854,-97.22957370053184,7450.0,0.448,288.66,2183.0,34.84,146.39,65825.0
283.0,-104232.47493700548,-319727.1157198727,3317.4852406125347,33.266824283776096,-97.14568405088563,10884.0,0.5597,356.11,1683.0,19.84,130.05,65695.0
378.0,-98396.19980453956,-303555.3288210959,4124.4820467311465,33.41282220227358,-97.08475241901313,13532.0,0.6443,405.87,1183.0,10.33,119.69,65576.0
472.0,-94875.76482155145,-284237.70397549367,4691.664483235854,33.58686643783547,-97.04894111358303,15393.0,0.7133,446.17,685.0,25.33,112.42,65463.0
566.0,-85625.04737671823,-264692.5741500782,5020.156361883962,33.763444746917514,-96.95104410639604,16470.0,0.7221,449.78,690.0,38.15,111.07,65352.0
661.0,-72161.41313990777,-247549.9694350744,5351.232019393374,33.91864760612892,-96.80688215301153,17557.0,0.7308,453.32,696.0,23.15,109.7,65242.0
755.0,-63526.22570439075,-227349.76141571984,5684.955130341608,34.10088259669323,-96.71482672187156,18651.0,0.7396,456.78,701.0,18.2,108.26,65134.0
850.0,-56610.826701394035,-206322.46043373097,6021.394540445478,34.29039055808381,-96.6411418225907,19755.0,0.7483,460.13,707.0,33.2,106.8,65027.0
944.0,-44400.36590312515,-187666.36775527924,6360.627677301094,34.45877797254773,-96.5092381575833,20868.0,0.7569,463.34,713.0,22.68,105.3,64922.0
1039.0,-35744.64630361672,-166950.54395340738,6702.742447917902,34.64542313580973,-96.41573042020671,21991.0,0.7653,466.37,719.0,7.68,103.75,64818.0
1133.0,-32726.009498948562,-144555.63623754724,7047.820913775439,34.84692658479345,-96.38362020230068,23123.0,0.7734,469.17,254.0,352.68,90.21,64728.0
1227.0,-35628.371608361,-121972.03029503097,7169.869269120836,35.04992355339534,-96.41640063640605,23523.0,0.7764,470.23,-246.0,337.68,76.41,64652.0
1322.0,-44310.314034428404,-100827.76450338715,7052.104457198403,35.23972467360876,-96.51291687824343,23137.0,0.7742,469.6,-746.0,322.68,63.55,64588.0
1416.0,-58171.08586738448,-82648.2424556076,6694.527153965707,35.40249231108756,-96.6668346415335,21964.0,0.7663,467.02,-420.0,307.68,74.16,64514.0
1511.0,-76148.11443657249,-68765.68967277418,6492.914399293034,35.52610739486272,-96.86647943921835,21302.0,0.6578,401.97,80.0,308.06,73.38,64441.0
1605.0,-91515.83557042004,-56731.0292072212,6531.114409380784,35.633016569080084,-97.03765765371458,21428.0,0.6236,380.93,580.0,323.06,85.72,64355.0
1699.0,-102612.34915031308,-41970.674100546,6809.127418450316,35.76464601568552,-97.162329109993,22340.0,0.4236,257.82,1080.0,338.06,113.3,64242.0
1794.0,-107269.998126714,-30404.85699185927,7326.953361159797,35.8681472665463,-97.21550970831063,24039.0,0.5868,354.66,1284.0,353.06,104.95,64137.0
1888.0,-109339.9510419416,-13386.977599571423,7942.939221158341,36.02094359164144,-97.24083606069954,26060.0,0.7868,471.55,784.0,8.06,98.01,64039.0
1983.0,-106135.37634998752,9228.70144775931,8319.113763471058,36.224662112714846,-97.20826880998061,27294.0,0.8012,477.68,731.0,23.06,95.46,63943.0
2077.0,-97068.8469355387,30520.963491969986,8669.927651526708,36.41708029217667,-97.10985935941454,28445.0,0.8064,478.44,263.0,38.06,81.68,63862.0
2172.0,-82754.04132108352,48800.32821674085,8795.989882423268,36.58279328342675,-96.95185051560075,28858.0,0.8083,478.7,-186.0,53.06,69.31,63792.0
2266.0,-64157.42506717683,62780.85917513331,8706.687435648315,36.70993924415318,-96.74475338520855,28565.0,0.8078,479.03,-524.0,41.23,61.02,63731.0
2360.0,-48795.99808508342,80308.85197202963,8455.195495529717,36.868473469893424,-96.57355487205024,27740.0,0.805,479.03,-24.0,34.51,75.55,63656.0
2455.0,-35613.57141044527,99483.8508557675,8443.513251543454,37.041498452014324,-96.42627400139182,27702.0,0.8053,479.28,476.0,21.1,88.38,63567.0
2549.0,-27247.822629676477,121167.07472201574,8671.613651310958,37.23677504631078,-96.33280862944501,28450.0,0.8089,479.9,163.0,25.21,79.15,63488.0
2644.0,-17324.577339603155,142244.12976915253,8749.89458504305,37.42655823740765,-96.22121242450156,28707.0,0.8104,480.23,470.0,28.77,86.49,63402.0
2738.0,-6115.472767463212,162655.99389609747,8975.333351631862,37.610265613107686,-96.09445334325466,29447.0,0.8132,480.39,-30.0,23.67,72.44,63329.0
2832.0,3253.949053937802,184028.1422585354,8960.987141249976,37.8024841921258,-95.98800377600497,29400.0,0.8136,480.73,-530.0,33.4,59.62,63270.0
2927.0,16130.886215881143,203554.59711946,8706.828611964058,37.977956050745746,-95.84102671628193,28566.0,0.8113,481.06,-1030.0,18.4,48.29,63221.0
3021.0,23531.37573370881,225797.0150137717,8212.856376575352,38.17782838362507,-95.75588354281255,26945.0,0.804,480.06,-1530.0,19.29,38.42,63183.0
3116.0,31270.24424190576,247905.26912666854,7479.070272288452,38.37642224335495,-95.66640191884656,24538.0,0.7895,476.17,-2030.0,34.29,29.79,63153.0
3210.0,44375.381017554195,267122.22334171354,6505.470351024565,38.54870481403798,-95.51490366352975,21343.0,0.7665,468.34,-2500.0,49.29,22.83,63130.0
3305.0,61731.52468743043,282054.9173157416,5306.39811171139,38.681992945233034,-95.31408122289076,17409.0,0.7352,456.3,-2500.0,36.24,26.22,63104.0
3399.0,74916.05234102657,300040.3012232544,4107.325749341149,38.842748774604686,-95.16032378591487,13475.0,0.7029,442.88,-2500.0,33.72,29.26,63075.0
3493.0,86926.76312939603,318038.2322432853,2908.2533663769977,39.00353263585133,-95.01945549641982,9542.0,0.6409,409.78,-2500.0,47.64,22.48,63052.0
3588.0,101714.34225068726,331520.86144168815,1709.1813139276119,39.12324208043925,-94.84642727865891,5608.0,0.4409,285.95,-2000.0,32.64,14.21,63038.0
3682.0,109230.42467576097,343254.07111163303,749.9234613382893,39.22787572045644,-94.7574857656569,2460.0,0.2409,157.98,-1500.0,17.64,16.37,63022.0
3777.0,111555.53675108463,350564.7601479878,30.479999997758746,39.29332999952182,-94.7293199994299,100.0,0.0409,27.03,-1000.0,2.64,173.98,62848.0
