ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-745481.17382415,280374.15614460025,30.480000021151472,33.001603623311794,-97.32076275242508,100.0,0.1804,119.3,1283.0,104.09,412.69,65887.0
226.0,-732202.4370798634,277040.4149036364,1504.7554514788744,32.9803926175535,-97.17616819590121,4937.0,0.2593,168.57,1783.0,119.09,396.96,65490.0
452.0,-715359.6818062192,267668.4309400812,3553.6689854502215,32.907211181054755,-96.98893655163427,11659.0,0.3932,249.47,1729.0,134.09,331.64,65159.0
679.0,-694812.3686632669,247761.34633328178,5540.7613267158395,32.74167497925112,-96.75470120889283,18178.0,0.5932,367.07,1229.0,149.09,261.43,64897.0
905.0,-673082.1170913412,211462.35049173076,6953.215584587751,32.42955292015335,-96.49719595157877,22812.0,0.7704,467.92,729.0,164.09,245.97,64651.0
1131.0,-658242.1620064484,159389.33407178026,7791.0317590429495,31.97162977608681,-96.30390682607214,25561.0,0.7892,473.96,229.0,162.11,205.27,64446.0
1357.0,-641326.1284149879,106990.3387989288,8054.209852056754,31.511547497080866,-96.09074925551951,26425.0,0.7948,475.61,-0.0,160.71,187.56,64258.0
1584.0,-623038.2067774812,54745.06487364117,8054.209849933064,31.05312203935198,-95.86567989693685,26425.0,0.7958,476.2,-0.0,155.48,187.65,64071.0
1810.0,-600041.3462511505,4318.5084306276885,8054.209848034274,30.612891009570337,-95.59498550340172,26425.0,0.7968,476.79,0.0,140.48,187.74,63883.0
2036.0,-564733.0797521144,-38490.70368599715,8054.20984843853,30.24614473815197,-95.20321330668325,26425.0,0.7978,477.37,472.0,125.48,216.7,63666.0
2262.0,-519664.43387378467,-70619.82254026113,8596.534981391569,29.978158135660447,-94.71866944506688,28204.0,0.8073,479.47,295.0,110.48,198.75,63468.0
2489.0,-467515.436359475,-90101.76811814946,8935.924590571412,29.824547691918582,-94.16915543050008,29317.0,0.8124,480.17,20.0,95.48,177.18,63290.0
2715.0,-411895.73777976556,-95442.44488261172,8959.416803756327,29.796740250989735,-93.59094930698197,29394.0,0.8139,480.89,-469.0,87.42,146.72,63144.0
2941.0,-355773.84260626626,-92913.83357061999,8420.149345975307,29.837199954096135,-93.01051658435787,27625.0,0.8079,481.01,-500.0,87.06,152.56,62991.0
3167.0,-299645.28969236766,-90032.61132390868,7845.511262596017,29.878254622411827,-92.42965591192488,25740.0,0.7982,478.99,-500.0,87.28,160.25,62831.0
3394.0,-243744.3402488471,-87380.08109499584,7270.873179193798,29.9146275126289,-91.8506369186622,23855.0,0.7863,475.53,-500.0,85.7,167.5,62663.0
3620.0,-188344.23207051447,-83216.50794204851,6696.235095810296,29.96194162507994,-91.27667355186453,21969.0,0.5863,357.31,-500.0,81.53,105.83,62558.0
3846.0,-147058.9737967922,-77069.9182036926,6121.597012459413,30.02293059405053,-90.84901943599915,20084.0,0.3863,237.21,-500.0,96.53,88.86,62469.0
4072.0,-119533.76949921939,-80221.56803516434,5546.958930364376,29.997625987232393,-90.56278526788392,18199.0,0.2764,171.01,0.0,111.53,220.16,62249.0
4298.0,-101019.23909319717,-87526.56443488148,5546.95893159732,29.933624454793232,-90.36984076746874,18199.0,0.2751,170.23,500.0,96.53,295.33,61953.0
4525.0,-81417.34778762041,-89770.99100888049,6121.597014984035,29.91491770829912,-90.16626057287863,20084.0,0.2953,181.37,500.0,81.53,280.15,61673.0
4751.0,-60625.59102014482,-86675.49405945718,6696.235098394215,29.94397456158207,-89.95072161562467,21969.0,0.4058,247.3,500.0,96.53,203.53,61470.0
