ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-745481.1737227349,280374.15624094603,30.480000000222784,33.00160362424031,-97.3207627514177,100.0,0.3,198.38,2411.0,104.09,368.69,65931.0
208.0,-725335.6765398317,275316.45590411045,2578.51650890497,32.969359509387424,-97.10142192454168,8460.0,0.5,320.98,1911.0,119.09,302.29,65629.0
416.0,-695733.9874930924,258844.89179226075,4598.098999606056,32.840355441873186,-96.77271431390183,15086.0,0.6204,388.53,1411.0,134.09,265.69,65363.0
624.0,-666168.373922801,230200.5134688362,6089.227367611866,32.60142087910679,-96.43679889648512,19978.0,0.7229,444.14,911.0,142.12,238.56,65125.0
832.0,-637170.8792440705,192924.54100547975,7051.901652063932,32.28388136064977,-96.1030406729624,23136.0,0.7723,468.45,725.0,129.37,225.21,64900.0
1040.0,-598612.3647042041,161290.100825792,7818.447916877102,32.020925917297305,-95.67402046516382,25651.0,0.7884,473.28,468.0,117.39,202.04,64698.0
1248.0,-553789.7644168023,138067.8842403391,8312.900336328126,31.834897928311253,-95.1861199793932,27273.0,0.7972,475.32,0.0,109.01,169.15,64528.0
1456.0,-505689.54332036735,121499.58465500563,8312.900890427876,31.708098610700382,-94.66904639126216,27273.0,0.7982,475.92,0.0,94.72,169.23,64359.0
1664.0,-454924.35328778444,117306.7095623305,8312.901500934673,31.69133263573748,-94.1309984620408,27273.0,0.7992,476.51,0.0,79.72,169.32,64190.0
1872.0,-404741.1242696842,126407.05426238716,8312.902100599364,31.7915159350133,-93.60477053694143,27273.0,0.8002,477.1,0.0,82.81,169.4,64020.0
2081.0,-354078.0862225053,132799.36999839888,8312.902576093955,31.865423067004606,-93.07137262227529,27273.0,0.8012,477.68,0.0,97.81,169.48,63851.0
2289.0,-303425.0644270299,125852.83724765727,8312.90309734019,31.81730222506789,-92.53311119856801,27273.0,0.7414,442.04,0.0,112.81,153.53,63697.0
2497.0,-259812.77941109682,107512.0327678229,8312.903523518562,31.662993291904908,-92.06686052393948,27273.0,0.5414,322.79,-500.0,127.81,86.81,63611.0
2705.0,-232420.61195224928,86257.74645508673,7784.4508618205855,31.47770371746267,-91.77253042511019,25540.0,0.7414,445.27,-500.0,137.91,129.58,63481.0
2913.0,-200361.82976286556,50766.548912390295,7255.997275613227,31.164544136117893,-91.42743119636543,23806.0,0.5745,347.5,-500.0,122.91,92.4,63389.0
3121.0,-169028.5370257156,30489.252945464443,6727.543894546884,30.987129599335233,-91.09477064977428,22072.0,0.557,339.35,-500.0,119.7,91.77,63297.0
3329.0,-137371.9810012343,12432.114744679655,6199.090553510981,30.828854767367016,-90.76027066265533,20338.0,0.357,219.03,-500.0,134.7,91.54,63205.0
3537.0,-120655.70402157141,-4110.457033700739,5670.637337315096,30.681915437497803,-90.58326099285877,18604.0,0.4663,288.04,-500.0,149.7,80.9,63124.0
3745.0,-105050.91999628152,-30815.648631946708,5142.184240025119,30.443248390055576,-90.41736786180151,16871.0,0.2663,165.62,-500.0,138.09,128.95,62995.0
3953.0,-93176.71675582905,-44046.80375218044,4613.731703560716,30.325248267006604,-90.29232158320944,15137.0,0.2476,155.01,-0.0,123.09,222.3,62773.0
4161.0,-79277.1072807409,-53105.721060798634,4613.725343884361,30.24478134234868,-90.14682070771333,15137.0,0.3399,212.83,362.0,108.09,188.07,62585.0
4369.0,-57679.111758006366,-60162.475103598365,4996.115688754989,30.182549365708027,-89.9215965581995,16391.0,0.5399,336.42,249.0,105.03,158.86,62426.0
4577.0,-22961.951124428833,-69483.51583980596,5259.0721718631,30.099885826477664,-89.56021205142166,17254.0,0.7305,453.65,500.0,90.03,228.92,62197.0
4785.0,25425.70570717519,-69508.17336233884,5787.519226813227,30.09961464597799,-89.05723849896272,18988.0,0.7503,462.8,234.0,89.7,211.13,61986.0
4993.0,74878.83966509019,-69245.04742819516,6035.160548279168,30.099925332722673,-88.54317861486518,19800.0,0.7334,450.88,455.0,97.35,211.97,61774.0
5201.0,122587.35403653757,-75396.90784817326,6516.447701109245,30.04070414505843,-88.04800730218068,21379.0,0.7306,446.37,470.0,98.7,203.05,61571.0
5409.0,169655.60216454766,-82597.1553424276,7013.45893086554,29.970274483112828,-87.56025514383053,23010.0,0.7442,451.68,473.0,100.6,198.59,61373.0
5617.0,217012.51463565545,-91459.83367184443,7513.023744202105,29.883035595992006,-87.07055312303866,24649.0,0.7526,453.7,466.0,100.82,192.11,61180.0
5825.0,264547.8104112877,-100541.24057191612,8005.654056168056,29.791970287230686,-86.57992664354548,26265.0,0.7689,460.38,439.0,99.08,186.81,60994.0
6034.0,313047.67955594667,-108293.17113408569,8469.97060348409,29.710779054533287,-86.07983355456808,27789.0,0.82,487.85,-41.0,88.15,166.76,60827.0
6242.0,365251.47025458235,-106602.68700806264,8426.802689153988,29.711412010494133,-85.53903923804114,27647.0,0.82,488.14,-500.0,100.52,142.72,60684.0
6450.0,416805.61294781265,-116178.90428637835,7898.350836939653,29.608843024044656,-85.0093629405156,25913.0,0.8092,485.24,-378.0,115.52,155.61,60529.0
6658.0,463800.0844517948,-138617.0745925821,7499.030244988637,29.390431969959174,-84.53338039388707,24603.0,0.7097,427.9,14.0,124.44,152.91,60376.0
6866.0,501566.1795792186,-164517.25651826157,7513.946196743227,29.143091619603695,-84.15595978629071,24652.0,0.7645,460.86,-320.0,129.64,150.03,60226.0
7074.0,539639.7584482946,-196053.8966361211,7175.756370033451,28.84402940970104,-83.77992536651581,23543.0,0.7802,472.48,-745.0,119.65,138.73,60087.0
7282.0,583815.5276083283,-221199.08824137363,6387.85083561642,28.59845924505932,-83.34028289765065,20958.0,0.7716,472.2,-1223.0,104.7,125.65,59961.0
7490.0,633099.3935600524,-234130.88949242714,5094.9934404999485,28.4584216181953,-82.84369339730479,16716.0,0.7019,436.82,-1231.0,89.7,117.71,59844.0
7698.0,680219.2796040978,-233886.3404870343,3794.0594586959996,28.43580597615214,-82.3625334121651,12448.0,0.6998,442.66,-1670.0,74.7,122.13,59721.0
7906.0,726381.4031197662,-221260.10548864823,2028.7817750246131,28.522865665581566,-81.8833435286797,6656.0,0.4998,322.96,-1170.0,89.09,62.72,59659.0
8114.0,761173.2680109591,-220709.49254804666,791.9464323696086,28.507020986429378,-81.52774804424259,2598.0,0.2998,196.54,-720.0,104.09,37.07,59622.0
8322.0,781651.3963056053,-225850.70257946613,30.4800000000012,28.448329999978963,-81.32230999999427,100.0,0.0998,66.0,-271.0,119.09,378.99,59243.0
