ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-342402.7862314421,-108051.8747387265,30.48000030432837,33.00162385980773,-97.32074316745951,100.0,0.3,198.38,2414.0,69.33,168.38,66132.0
95.0,-333457.1447282162,-104676.88741174122,1195.2683837543198,33.034766316421795,-97.22612020082879,3921.0,0.4797,313.02,2221.0,71.2,149.28,65982.0
190.0,-319101.75698023377,-99789.64843441518,2266.954125875361,33.083051915840365,-97.07394021212893,7438.0,0.5055,325.74,2002.0,71.19,141.29,65841.0
285.0,-304147.1966442754,-94696.96578514903,3232.913355360264,33.133169442390525,-96.91523161336114,10607.0,0.5328,339.37,1820.0,71.19,133.92,65707.0
380.0,-288553.7785320239,-89385.87444349365,4111.297065351515,33.185221378364005,-96.74955068080551,13489.0,0.5629,354.64,1693.0,71.2,128.11,65579.0
475.0,-272248.72068254236,-83835.13259474421,4928.36096794548,33.23938959206671,-96.57609761844128,16169.0,0.5925,369.48,1571.0,71.21,122.57,65456.0
570.0,-255251.563355044,-78053.17022559972,5686.471486476927,33.295561369026835,-96.3950524722515,18656.0,0.6217,383.98,1453.0,71.22,117.33,65339.0
665.0,-237577.94452571232,-72044.82064598346,6387.635293208861,33.35365685702449,-96.20655436028622,20957.0,0.6507,398.2,1339.0,71.24,112.43,65227.0
760.0,-219240.1506824824,-65817.07852317036,7033.713062898092,33.41357698478618,-96.01070560605373,23076.0,0.6795,412.25,1228.0,71.27,107.86,65119.0
855.0,-200244.86807344746,-59374.72713979823,7626.216933822417,33.47524297659674,-95.80754866061332,25020.0,0.7081,426.18,1120.0,71.28,103.64,65015.0
950.0,-180597.6682339948,-52718.197355504046,8166.551375883594,33.53861439302079,-95.59711455211989,26793.0,0.7365,440.01,1014.0,71.31,99.76,64915.0
1045.0,-160302.59617669228,-45852.163826179545,8656.13463133422,33.603611836373766,-95.37941641616096,28399.0,0.7619,452.13,922.0,71.34,96.36,64819.0
1140.0,-139437.78310487387,-38805.33282114913,9101.07606918616,33.66992890747123,-95.15526380355053,29859.0,0.7764,457.82,868.0,71.37,93.5,64726.0
1235.0,-118303.42225727215,-31678.96339861533,9519.837472601728,33.736586729579216,-94.92786251567972,31233.0,0.7874,461.57,980.0,71.4,94.95,64631.0
1330.0,-97001.3632145246,-24510.728745797438,9992.804206826955,33.803219528013244,-94.69829870025502,32785.0,0.7932,461.76,880.0,71.43,90.41,64540.0
1425.0,-75679.89156109153,-17347.47464036075,10417.520076994864,33.869383607054374,-94.46816780153881,34178.0,0.7874,455.55,380.0,71.45,74.78,64465.0
1520.0,-54601.81855341044,-10275.664328063502,10600.941912827619,33.93428487893075,-94.24031381761917,34780.0,0.7625,439.95,-120.0,71.49,58.6,64407.0
1615.0,-34203.9183412055,-3447.774181549869,10543.069718004155,33.99655080326188,-94.01948220930059,34590.0,0.7795,450.14,84.0,71.52,65.5,64341.0
1710.0,-13345.894475465093,3523.9342925364667,10583.81310492557,34.05972143168525,-93.79333532756397,34724.0,0.773,446.12,4.0,71.52,62.68,64279.0
1805.0,7331.901274062259,10435.640306457472,10585.566656115205,34.121939265987635,-93.5688106086556,34730.0,0.775,447.29,14.0,71.52,63.02,64216.0
1900.0,28064.069750467817,17363.510970695184,10592.222912079935,34.18389205036126,-93.34336488964186,34751.0,0.7759,447.77,109.0,71.55,65.69,64150.0
1995.0,48814.26721520922,24287.432131876885,10644.896492701653,34.24539606618745,-93.1173932054713,34924.0,0.7648,441.01,-391.0,71.57,50.57,64099.0
2090.0,69289.51720026525,31111.572522725077,10456.27603904659,34.30560640103913,-92.89409370197403,34305.0,0.7434,429.84,-891.0,71.56,35.45,64064.0
2185.0,89275.90461484293,37777.335958025425,10026.36155111836,34.36402928766243,-92.675817339861,32895.0,0.702,408.47,-1143.0,71.54,26.51,64037.0
2280.0,108279.25604913852,44122.06879066546,9474.764032798606,34.419280643321315,-92.4679947011226,31085.0,0.6672,391.34,-1224.0,71.53,22.9,64015.0
2375.0,126487.77784420489,50202.751903823184,8883.884057508792,34.47190320570475,-92.26860735154095,29147.0,0.6356,375.94,-1264.0,71.53,20.56,63994.0
2470.0,143979.01445175824,56045.34890776275,8273.944875024228,34.52216095921152,-92.0768381140787,27145.0,0.6065,361.8,-1282.0,71.52,18.89,63975.0
2565.0,160810.32170732412,61669.85002239183,7655.101554199484,34.5702606317492,-91.89208588783825,25115.0,0.5797,348.76,-1289.0,71.51,17.6,63957.0
2660.0,177032.5854266814,67093.4893485118,7033.1307059559185,34.616380339967016,-91.71381668672502,23075.0,0.5549,336.7,-1288.0,71.5,16.58,63941.0
2755.0,192690.68571585172,72332.95584064446,6411.554209033757,34.66069018979352,-91.54155880268743,21035.0,0.532,325.49,-1282.0,71.49,15.76,63925.0
2850.0,207824.8356900433,77400.2370071086,5792.662287124806,34.70331534516013,-91.37488964017817,19005.0,0.5108,315.05,-1274.0,71.49,15.04,63910.0
2945.0,222471.10807758104,82304.99708040064,5177.960638149012,34.74435784792171,-91.2134300722289,16988.0,0.4909,305.17,-1262.0,71.48,14.45,63896.0
3040.0,236655.55491796276,87057.89523714976,4568.726989347655,34.78392825958129,-91.05690833413084,14989.0,0.4723,295.87,-1249.0,71.45,13.93,63882.0
3135.0,250403.9493512406,91670.07246282445,3965.7876904597674,34.82213950663928,-90.9050537742974,13011.0,0.4549,287.11,-1235.0,71.44,13.47,63868.0
3230.0,263742.60932853795,96148.53157143293,3369.66424309813,34.859065266478325,-90.75758935403967,11055.0,0.4387,278.92,-1221.0,71.44,13.32,63855.0
3325.0,276699.0053795133,100499.32808808642,2780.5013754702627,34.89476855044649,-90.6142243532978,9122.0,0.4236,271.25,-1206.0,71.44,13.75,63841.0
