ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-342402.78643132985,-108051.8747339488,30.479999704468614,33.00162385978677,-97.32074316960333,100.0,0.1573,104.01,500.0,69.33,222.93,66077.0
126.0,-336095.9518403274,-105672.44913698209,351.40795631967956,33.0249972759409,-97.25403969851001,1153.0,0.162,106.72,107.0,54.33,195.85,65881.0
253.0,-330462.9259336799,-101629.12740202992,419.8380430384551,33.06307585525069,-97.19513359886395,1377.0,0.1626,107.02,188.0,52.13,202.12,65679.0
379.0,-324976.4199886245,-97362.23191338073,540.5583339265845,33.103091455561355,-97.1378295792009,1773.0,0.164,107.83,282.0,67.13,208.02,65471.0
505.0,-318527.6316757027,-94641.80841326762,721.8631373367076,33.1294744370636,-97.06959817661067,2368.0,0.1665,109.24,392.0,82.13,213.41,65258.0
632.0,-311508.29856636614,-93671.23352301314,973.3169190268408,33.140264681819964,-96.99459554182245,3193.0,0.1703,111.4,520.0,97.13,218.08,65040.0
758.0,-304344.8690629262,-94566.98212018351,1307.1590438677774,33.134281098507735,-96.9173972324458,4289.0,0.1757,114.47,674.0,112.13,222.12,64817.0
884.0,-297481.1544788825,-97357.8909420036,1739.5610492892597,33.11113613359445,-96.84280160083887,5707.0,0.1831,118.74,863.0,127.13,225.45,64592.0
1011.0,-291363.682752648,-101989.12195119243,2293.2603718084706,33.07120495920882,-96.77565866995677,7524.0,0.1934,124.6,931.0,142.13,224.55,64367.0
1137.0,-286422.84503295633,-108342.20440801892,2890.8457208337873,33.015448812274855,-96.72064923829191,9484.0,0.2054,131.36,936.0,127.13,221.44,64146.0
1263.0,-279657.0685794809,-113464.23440958302,3491.8090224428774,32.97120738382581,-96.64654023588444,11456.0,0.2197,139.5,936.0,112.13,216.75,63929.0
1390.0,-271306.80703936913,-116859.5997492791,4092.7677608048502,32.94283943734314,-96.556053809788,13428.0,0.2359,148.67,934.0,97.13,210.72,63719.0
1516.0,-261772.01202179692,-118051.8749382831,4692.42559932322,32.93449372520403,-96.45357654429708,15395.0,0.2868,179.38,1231.0,82.13,199.8,63519.0
1643.0,-250306.7415223866,-116466.55287444197,5482.28690279358,32.95147939245161,-96.33120865993378,17987.0,0.4826,298.84,1731.0,67.13,167.44,63351.0
1769.0,-232567.7428086386,-108983.35035353161,6593.076169247339,33.02273773300883,-96.14307949963208,21631.0,0.6826,416.59,1231.0,54.84,144.08,63207.0
1895.0,-210556.6066692124,-93476.78872276742,7382.937472700387,33.166688389290165,-95.91067302760088,24222.0,0.7873,475.46,731.0,66.92,134.12,63073.0
2022.0,-182219.30728716683,-81400.83796691532,7851.870813142555,33.28046897575613,-95.60874579120748,25761.0,0.7979,478.8,730.0,68.33,130.79,62942.0
2148.0,-153393.37172578138,-69946.65825434684,8320.59801528322,33.38799751367783,-95.3006632680651,27299.0,0.8074,481.36,722.0,68.66,127.14,62815.0
2274.0,-124347.36695980407,-58598.742311332004,8784.056760595968,33.49383221551502,-94.98943195452023,28819.0,0.8152,482.86,305.0,68.71,109.97,62705.0
2401.0,-95144.60150351602,-47218.296103907356,8980.043911692126,33.59919237054156,-94.67575211423775,29462.0,0.8182,483.33,32.0,68.75,99.28,62606.0
2527.0,-65868.08286560979,-35834.983605558955,9000.341216610825,33.70378814449644,-94.3605101183216,29529.0,0.8191,483.73,16.0,68.79,98.61,62507.0
2653.0,-36558.154526069375,-24459.86735284075,9010.683868586122,33.80750744973946,-94.04413986995695,29563.0,0.82,484.13,-84.0,68.84,95.19,62412.0
2780.0,-7200.419145536625,-13096.374823639802,8957.059047623063,33.91031167860103,-93.72648590101116,29387.0,0.82,484.53,-81.0,68.87,95.76,62316.0
2906.0,22187.370702874567,-1740.0034226830958,8904.864310201525,34.01223196643727,-93.4077414532272,29215.0,0.82,484.88,-74.0,68.99,96.45,62220.0
3032.0,51619.83895878358,9562.235885772701,8857.131658209246,34.11283762857117,-93.0877507760234,29059.0,0.82,485.21,-69.0,68.97,97.03,62123.0
3159.0,81066.00971223022,20885.79159317152,8812.941926942276,34.212800826763505,-92.7668495600354,28914.0,0.82,485.51,-64.0,68.92,97.57,62025.0
3285.0,110520.3394153865,32241.010499937198,8771.654142454938,34.31220888721066,-92.44509580667776,28778.0,0.82,485.79,-61.0,68.86,98.03,61927.0
3411.0,139979.4597691526,43633.22492293719,8732.800217860466,34.41110433938112,-92.12252356923233,28651.0,0.82,486.06,-332.0,68.79,89.33,61838.0
3538.0,169476.97920864736,55079.093478696916,8519.59295972387,34.5096258537356,-91.79876066427695,27951.0,0.817,485.7,-832.0,68.87,74.27,61764.0
3664.0,199030.80483922848,66498.98987725588,7985.457738635752,34.60704557809901,-91.47362506919424,26199.0,0.8068,483.23,-1332.0,69.17,61.46,61702.0
3790.0,228548.54424866568,77730.50376135185,7130.394554580274,34.70191413685826,-91.1481739742299,23394.0,0.7871,476.93,-1832.0,69.11,50.34,61652.0
3917.0,257718.31198634274,88863.54523466378,5954.403407576646,34.79511618046934,-90.82581793787219,19535.0,0.5951,366.25,-2332.0,76.24,15.34,61637.0
