ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-342402.78623522865,-108051.87492381486,30.4799999517792,33.001623858143816,-97.3207431674302,100.0,0.2159,142.76,1347.0,69.33,159.83,66140.0
91.0,-336174.7673212658,-105702.18485632667,655.574630836516,33.02470539655642,-97.25487349853177,2151.0,0.4159,273.06,1846.0,84.23,136.73,66003.0
183.0,-323498.07420629426,-104422.13311309007,1512.3521087565343,33.0401111971242,-97.11944137725493,4962.0,0.2159,140.35,1346.0,93.74,162.76,65841.0
274.0,-316969.6255314064,-104848.45370789846,2137.0898613454324,33.038234082493304,-97.04929560110595,7011.0,0.2545,164.27,1445.0,79.89,155.68,65685.0
365.0,-309428.4757424883,-103503.6395658796,2807.6683355440036,33.0525240011074,-96.96890076939056,9212.0,0.4545,290.99,1433.0,64.89,118.53,65566.0
457.0,-297109.7104813858,-97730.1714812471,3472.7493036959504,33.10789423839082,-96.8386930144365,11394.0,0.6545,415.66,933.0,49.89,115.36,65451.0
548.0,-282212.9905314027,-85180.99048869657,3905.790545963724,33.22470394355601,-96.6827655437137,12814.0,0.693,437.77,433.0,48.81,105.88,65345.0
639.0,-266749.97660448914,-71650.23302754964,4106.79206191646,33.35028721598206,-96.52062587418686,13474.0,0.6492,409.06,933.0,63.81,109.91,65235.0
731.0,-249549.65691312216,-63191.38912807051,4539.833303107521,33.43048905817512,-96.33787782207048,14894.0,0.4492,281.51,1433.0,78.81,117.03,65118.0
822.0,-236641.65596733664,-60638.52669683254,5204.914270089891,33.45639021753884,-96.19950387509365,17076.0,0.6492,403.44,1187.0,93.81,109.51,65009.0
914.0,-217798.15224302319,-61894.330839457405,5755.969640761266,33.44913580377175,-95.99613297185289,18884.0,0.7337,452.73,775.0,106.17,104.99,64904.0
1005.0,-197413.2440707947,-67803.20156198271,6115.424906915877,33.40000265814823,-95.77515777242375,20064.0,0.5337,327.78,1275.0,91.17,105.12,64799.0
1096.0,-182082.919668596,-68114.96309066606,6706.919899705195,33.39993747828849,-95.6099845966183,22004.0,0.7337,447.11,944.0,91.02,102.11,64697.0
1188.0,-161139.305159889,-68489.21379711918,7144.964934417461,33.39995523140464,-95.3843428560231,23441.0,0.5707,345.78,1348.0,76.02,104.81,64592.0
1279.0,-145448.20916443047,-64583.88736486954,7770.450727402951,33.43733340924212,-95.21597418581499,25494.0,0.7707,463.0,848.0,61.02,96.31,64495.0
1370.0,-126467.01416714158,-54072.71518836828,8163.896793638379,33.534278911169416,-95.01293253159093,26784.0,0.7963,475.77,735.0,52.01,93.37,64402.0
1462.0,-108888.67070120982,-40344.25272340291,8504.963163245224,33.6596801858771,-94.82498427067459,27903.0,0.8016,476.65,441.0,67.01,84.35,64318.0
1553.0,-88297.04663817481,-31608.129768827344,8709.521006873774,33.74016106711351,-94.6033847972055,28575.0,0.8044,476.94,-26.0,77.51,71.47,64246.0
1644.0,-66410.64355825898,-26761.95843546167,8697.345246193285,33.785346424988745,-94.36706035625001,28535.0,0.8047,477.24,-80.0,70.83,70.19,64176.0
1736.0,-45220.65862438429,-19393.271267174132,8659.998014239152,33.85273537426592,-94.13815709021289,28412.0,0.8048,477.54,165.0,62.31,76.61,64099.0
1827.0,-25359.055242997143,-8969.356336366867,8736.610784883098,33.94714530557754,-93.9233785541311,28663.0,0.8061,477.81,-247.0,74.95,65.76,64034.0
1918.0,-3656.896923452963,-3133.3216191061056,8621.771764647507,33.999929928977814,-93.6881291095135,28287.0,0.8053,478.11,252.0,89.95,79.02,63955.0
2010.0,18793.71518056956,-3113.097384150079,8738.92023780382,33.99994976595875,-93.4445899818182,28671.0,0.8071,478.39,-241.0,102.74,65.96,63889.0
2101.0,40740.20335231329,-8074.473329987749,8626.951980225249,33.95470915757538,-93.20675354796788,28304.0,0.8063,478.67,-321.0,102.14,64.6,63824.0
2193.0,62754.95950632088,-12811.889385201937,8477.776737537011,33.91102169471368,-92.96841530151991,27814.0,0.8048,478.76,179.0,93.08,78.03,63746.0
2284.0,85209.48220969376,-14020.555240067353,8560.641219238742,33.8985728073541,-92.72521586979273,28086.0,0.8064,479.16,328.0,84.82,81.26,63665.0
2375.0,107611.91246979506,-11990.188878834426,8712.641130835978,33.91477688902578,-92.48225431383194,28585.0,0.8088,479.55,18.0,83.5,72.73,63592.0
2467.0,130003.05065649882,-9438.19584768637,8721.009591264161,33.935193861172074,-92.23924624458012,28612.0,0.8094,479.84,158.0,84.3,76.18,63516.0
2558.0,152430.63910212513,-7198.997218407151,8794.557105181948,33.95231375228364,-91.99578229872319,28854.0,0.8107,480.13,-240.0,89.17,65.84,63450.0
2649.0,175010.30718227112,-6871.524244478917,8683.332342556714,33.95173970816389,-91.75095649028565,28489.0,0.8098,480.38,-148.0,78.0,68.81,63381.0
