ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-792679.0860259021,431162.5491864007,30.48000030323191,33.001600825827126,-97.32077092309811,100.0,0.3,198.38,2414.0,111.58,383.71,65916.0
216.0,-772595.3101494598,423219.0649418136,2684.741393025784,32.944008621754776,-97.09967080180394,8808.0,0.5,320.57,1989.0,116.13,318.55,65598.0
433.0,-741028.9432487708,407735.65273439116,4872.385264815359,32.82588534350573,-96.75040568629842,15986.0,0.6006,374.79,1533.0,116.13,278.24,65319.0
649.0,-703990.078619014,389567.2459869486,6558.092596164543,32.68605296748874,-96.34177348561501,21516.0,0.6684,408.12,1266.0,116.13,252.0,65068.0
866.0,-663582.2172001856,369745.61120868614,7950.560999870681,32.53200056867978,-95.89743145367417,26085.0,0.7347,440.27,1017.0,116.13,229.91,64838.0
1082.0,-619914.1361764121,348324.36111195484,9069.0554708952,32.36377789604862,-95.41895156254449,29754.0,0.7783,459.17,859.0,116.13,213.23,64624.0
1299.0,-574322.3948007409,325959.09119755914,10014.202918990397,32.186234624711396,-94.92129324707278,32855.0,0.7874,458.28,509.0,116.13,182.39,64442.0
1515.0,-528692.1085817141,303574.76996277797,10573.41249892286,32.00661036931112,-94.42515750534278,34690.0,0.7708,444.94,9.0,116.13,143.19,64299.0
1732.0,-484208.27842789824,281752.6565477014,10582.7733285683,31.82965915626754,-93.94335817366911,34720.0,0.7743,446.91,23.0,116.13,144.19,64155.0
1948.0,-439532.92885366187,259835.78633084847,10607.756320476063,31.650132042133098,-93.46134244925678,34802.0,0.7741,446.63,21.0,116.13,143.58,64011.0
2165.0,-394885.33253843524,237931.03838820473,10630.88186646341,31.46891362044078,-92.98148458823083,34878.0,0.7743,446.6,21.0,116.14,143.17,63868.0
2381.0,-350241.2663136279,216026.09879422604,10654.163002582825,31.285923179860905,-92.50352016871241,34955.0,0.7745,446.53,21.0,116.14,142.75,63725.0
2598.0,-305603.8455585578,194122.22731037458,10677.36075894095,31.10119122177799,-92.02747934444818,35031.0,0.7747,446.47,21.0,116.14,142.33,63583.0
2814.0,-260972.67448990484,172219.18332339879,10700.526115148623,30.914735947428927,-91.55335407604983,35107.0,0.7748,446.41,21.0,116.14,141.92,63441.0
3031.0,-216347.8810203352,150317.1642470179,10723.669943484894,30.72657928588657,-91.08114142502528,35183.0,0.775,446.34,21.0,116.14,141.5,63299.0
3247.0,-171729.53450993233,128416.50708881086,10746.808002026728,30.536744389034244,-90.61083729148957,35259.0,0.7751,446.27,21.0,116.15,141.09,63158.0
3464.0,-127117.72368872065,106517.63344018708,10769.955721248369,30.34525511278233,-90.14243720898,35335.0,0.7753,446.2,21.0,116.15,140.67,63018.0
3680.0,-82512.52005460665,84621.01784728566,10793.123297334883,30.152135731010407,-89.6759359547739,35411.0,0.7754,446.12,21.0,116.15,140.26,62877.0
3897.0,-37913.806310630454,62727.22781834682,10816.32432189387,29.957411278979077,-89.21132576808662,35487.0,0.7755,446.03,21.0,116.15,139.84,62737.0
4113.0,6678.702942057863,40836.88592153711,10839.579420114978,29.761107063270348,-88.74859656437194,35563.0,0.7756,445.94,21.0,116.15,139.43,62598.0
4330.0,51265.34855385588,18950.590596503414,10862.922150593868,29.563247760542207,-88.28773750675833,35640.0,0.7757,445.85,21.0,116.14,139.02,62459.0
4546.0,95846.32449156967,-2931.1059167704675,10886.384740544418,29.363858331081918,-87.82873865190403,35716.0,0.7758,445.74,21.0,116.14,138.6,62320.0
4762.0,140421.77903615683,-24807.643892373184,10909.992913506956,29.162963519418813,-87.37158956655671,35794.0,0.7759,445.63,22.0,116.14,138.25,62182.0
4979.0,184991.9583620889,-46678.49727782856,10933.770250069603,28.96058741921158,-86.9162785616978,35872.0,0.776,445.52,22.0,116.13,137.83,62044.0
5195.0,229557.1571898356,-68543.38971138075,10957.73199384111,28.756751726615434,-86.46279310697194,35951.0,0.776,445.39,22.0,116.13,137.41,61907.0
5412.0,274117.91681318963,-90402.17942235203,10981.890165418403,28.551476731996384,-86.01111780151331,36030.0,0.7761,445.27,22.0,116.13,136.99,61770.0
5628.0,318675.0031690786,-112254.88276505901,11006.263469961428,28.344781071106123,-85.56123466254897,36110.0,0.7762,445.18,22.0,116.12,136.57,61633.0
5845.0,363229.11033848603,-134101.75338441256,11030.827409614902,28.136681060094215,-85.11312623687682,36190.0,0.7762,445.21,23.0,116.12,136.22,61497.0
6061.0,407781.40215011203,-155943.49292207338,11055.877634173765,27.927188647184803,-84.66677021262761,36273.0,0.7762,445.2,20.0,116.11,135.6,61362.0
6278.0,452328.55317165627,-177778.60534160043,11077.879347972204,27.716336822508612,-84.22218887095055,36345.0,0.7771,445.73,55.0,116.11,137.47,61224.0
6494.0,496921.6753978822,-199632.34052758198,11138.154545444655,27.50389809391598,-83.7788635659488,36543.0,0.765,438.78,-387.0,116.1,107.99,61116.0
6711.0,540884.6989632796,-221173.79037329697,10713.000602529173,27.29313457922417,-83.34347109461208,35148.0,0.7531,433.82,-500.0,116.1,101.88,61014.0
6927.0,584444.5897803969,-242514.8685434243,10163.15184994548,27.08301650353237,-82.91369450689224,33344.0,0.72,418.1,-500.0,116.1,100.38,60914.0
7144.0,626423.600265518,-263079.532415594,9613.303097350748,26.879320354992803,-82.50103455599789,31540.0,0.6825,399.55,-500.0,116.1,97.88,60816.0
7360.0,666537.1355745042,-282729.1400000468,9063.454344750606,26.683581183553777,-82.1080966432196,29736.0,0.6058,357.42,-1000.0,116.1,55.33,60761.0
7577.0,702547.4400340763,-300367.74160567956,7963.756839552237,26.506963937384292,-81.75649731509799,26128.0,0.5817,348.53,-1500.0,116.1,29.85,60731.0
7793.0,737766.415826177,-317617.704209098,6314.210581785043,26.33341389451911,-81.41366550584482,20716.0,0.5369,328.91,-1576.0,116.09,26.22,60705.0
8010.0,770997.6581156295,-333893.11758719006,4581.369633046367,26.168929006578104,-81.0911212388485,15031.0,0.489,306.3,-1559.0,116.09,28.36,60676.0
8226.0,801921.572464219,-349037.6028320128,2866.567470711496,26.01523491055976,-80.79178567727976,9405.0,0.4481,286.7,-1539.0,116.09,30.95,60645.0
8443.0,830846.5973937329,-363202.52583520336,1173.599359172271,25.87092994151105,-80.51250498672137,3850.0,0.3,195.8,-1039.0,111.58,35.56,60610.0
8659.0,851229.4107771774,-371264.28463832306,30.47999969911023,25.786100000956843,-80.31482000092817,100.0,0.1519,100.41,-539.0,107.07,165.97,60444.0
