ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-792679.086225064,431162.5491874122,30.479999943630247,33.00160082570097,-97.32077092522692,100.0,0.1785,118.0,1254.0,111.58,479.32,65821.0
263.0,-778073.1250836656,425385.63637364574,1703.731135799678,32.95975470752676,-97.15994713361145,5590.0,0.2793,181.16,1754.0,126.58,447.29,65373.0
525.0,-758776.9943640563,411065.6888325152,4044.1935562541303,32.844324529253605,-96.94237635677611,13268.0,0.4793,302.23,1500.0,141.58,338.34,65035.0
788.0,-733745.2702641299,379506.53025544784,6045.827408500236,32.577812658232666,-96.65106849659342,19835.0,0.6793,417.57,1000.0,156.58,294.69,64740.0
1051.0,-711519.2362396946,328195.16911385296,7380.249976059644,32.13204768035752,-96.3769464113656,24213.0,0.7808,471.56,500.0,164.65,263.76,64477.0
1313.0,-694722.8594510503,267027.63735742937,8047.461258873801,31.594185869297988,-96.15614533252553,26402.0,0.7945,475.47,-0.0,161.9,217.86,64259.0
1576.0,-674764.8000611191,205953.25521337005,8047.461256967569,31.058426401941897,-95.90521168310505,26402.0,0.7957,476.16,-0.0,157.39,217.98,64041.0
1839.0,-650031.3988321711,146550.68314868424,8047.4612545060545,30.53957454709805,-95.6087444511177,26402.0,0.5957,356.47,254.0,142.39,191.04,63850.0
2101.0,-620705.4074264228,108477.45017762171,8386.63963241045,30.213431437657167,-95.28059110174895,27515.0,0.5586,332.7,500.0,127.39,215.26,63634.0
2364.0,-585156.9141271915,81303.82629119686,9053.850912931206,29.987070947253287,-94.89623192266343,29704.0,0.7586,447.61,-0.0,112.39,186.78,63448.0
2627.0,-529230.9247197717,58258.89746907902,9053.850911268175,29.805381049335487,-94.30484507536791,29704.0,0.8135,480.01,-0.0,97.39,202.33,63245.0
2889.0,-464904.73790193524,49910.48444061414,9053.85090923107,29.756079061703897,-93.63513357802313,29704.0,0.815,480.91,-475.0,86.7,168.39,63077.0
3152.0,-399737.6096464741,53672.83148824969,8420.228438337472,29.81244421009182,-92.9618865297043,27625.0,0.8083,481.24,-500.0,86.99,177.23,62900.0
3415.0,-334498.03535821155,57097.86729597501,7753.017153592809,29.86242982656994,-92.2870520398166,25436.0,0.7967,478.7,-500.0,87.41,187.54,62712.0
3678.0,-269584.15812031564,60038.258308410244,7085.805868829612,29.904600383644187,-91.61482488613669,23247.0,0.684,414.69,-500.0,81.78,152.25,62560.0
3940.0,-213877.55079276,68088.3171106023,6418.594584122757,29.987790333408185,-91.03861458497927,21058.0,0.484,296.04,-500.0,66.78,102.28,62458.0
4203.0,-176956.94696190846,83929.8907638236,5751.383299629919,30.136027954466023,-90.65794417945807,18869.0,0.284,175.22,0.0,81.78,250.27,62207.0
4466.0,-153521.95825077404,87316.43764234724,5751.383299650756,30.169604268423484,-90.4147687330972,18869.0,0.2825,174.3,500.0,96.78,336.58,61871.0
4728.0,-130243.44414318408,84550.03096125311,6418.5945842406345,30.147397073547676,-90.17230344307886,21058.0,0.307,187.79,500.0,111.78,316.17,61555.0
4991.0,-106790.04036018378,75180.15517881574,7085.80586899802,30.065384168527782,-89.92746725831893,23247.0,0.4189,253.99,500.0,126.78,233.31,61321.0
5254.0,-79427.0152993642,54726.961934766856,7753.017153745492,29.88350751581109,-89.64162458161404,25436.0,0.6189,371.88,500.0,111.78,209.86,61111.0
5516.0,-32977.39839503425,36169.86273507264,8420.228438483084,29.718717969826532,-89.15927295542085,27625.0,0.8189,487.54,0.0,103.88,214.07,60897.0
5779.0,30982.05047272914,20363.415092450054,8420.562785343156,29.57661930104772,-88.49741078690433,27627.0,0.82,488.19,-38.0,105.16,211.63,60686.0
6042.0,94680.75577459614,3107.2640138225147,8369.260809556865,29.418247095450994,-87.8402438691139,27458.0,0.82,488.54,-36.0,105.33,212.68,60473.0
6304.0,158372.02351530694,-14350.546752569728,8320.681331865759,29.25486498336285,-87.18524318494869,27299.0,0.82,488.87,-35.0,105.32,213.61,60259.0
6567.0,222106.3853913875,-31815.57816773082,8274.485503292937,29.088245397370823,-86.5319040667278,27147.0,0.82,489.18,-33.0,105.3,214.55,60045.0
6830.0,285889.362751126,-49259.74972456248,8230.399698903264,28.918664917124996,-85.88018480168354,27003.0,0.82,489.48,-32.0,105.29,215.4,59830.0
7092.0,349712.692187424,-66706.20836172487,8188.199183924122,28.745942631735353,-85.23019387358869,26864.0,0.82,489.76,-30.0,105.27,216.27,59613.0
7355.0,413579.4153279501,-84137.49590394777,8147.6966910231,28.57026088073799,-84.58191248278024,26731.0,0.82,490.04,-500.0,105.47,186.03,59427.0
7618.0,477690.80044759787,-101884.34050060749,7480.485406614436,28.388601935272003,-83.9334382377534,24542.0,0.8041,484.95,-500.0,105.03,195.61,59232.0
7880.0,541266.074954764,-118949.683004329,6813.2741220881635,28.21024225088436,-83.29233799300107,22353.0,0.6537,397.77,-500.0,116.62,141.22,59090.0
8143.0,589530.634220034,-143140.09574586834,6146.062838924474,27.972089279306346,-82.812788419382,20164.0,0.4537,278.51,-500.0,131.62,92.3,58998.0
8406.0,617784.7360922787,-168243.10988601798,5478.851555805325,27.7338125294946,-82.53881228246678,17975.0,0.254,157.26,-499.0,146.62,159.98,58838.0
8668.0,629521.5628585435,-186056.62770881358,4812.355509728792,27.568465417944303,-82.42928935155315,15789.0,0.4171,260.53,-500.0,161.62,88.17,58750.0
8931.0,640667.3165037694,-219601.54890362153,4145.144236022869,27.262299285639344,-82.33451414125136,13600.0,0.6171,388.68,-713.0,146.62,156.51,58593.0
9194.0,669730.6543940969,-263712.3036699628,3194.2589335578664,26.852425821374712,-82.0655529494891,10480.0,0.515,328.17,-213.0,131.62,160.8,58433.0
9457.0,702939.5370962869,-293217.5081043554,2910.5849056454585,26.570825895981848,-81.7484741157063,9549.0,0.5074,324.45,-453.0,116.62,137.65,58295.0
9719.0,742275.6455884152,-312932.94144221,2306.3959536819298,26.37287757103125,-81.36571329041911,7567.0,0.6693,431.03,-953.0,114.99,231.47,58064.0
9982.0,795456.7365420645,-337716.4135041863,1034.9957224133418,26.120418425354167,-80.84911395543817,3396.0,0.4693,306.76,-453.0,126.46,144.26,57919.0
10245.0,828908.6734372331,-362436.0441563934,430.8067718237404,25.8789812089681,-80.53131497140699,1413.0,0.2693,177.25,-300.0,111.58,100.96,57818.0
10507.0,851229.410974672,-371264.2848335935,30.479999998850534,25.786099999085494,-80.31481999909289,100.0,0.0693,45.8,-147.0,96.7,484.04,57334.0
