ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-503028.56138092483,-154436.54699265579,30.479999711157824,33.00161643744071,-97.32073973743353,100.0,0.1573,104.01,500.0,68.25,300.45,66000.0
170.0,-494595.4093626932,-151072.75817227797,463.01891250232643,33.035757664471376,-97.23228253630016,1519.0,0.1637,107.68,489.0,79.5,296.45,65703.0
341.0,-485351.3916997129,-149359.63856968872,886.2270216392791,33.05539646001345,-97.13417745229195,2908.0,0.1701,111.42,638.0,94.5,300.72,65402.0
511.0,-475667.46831471496,-150121.94077824862,1438.266957964863,33.052940710710985,-97.03000584824659,4719.0,0.1793,116.69,831.0,109.5,304.51,65098.0
681.0,-466095.3723661104,-153511.77573397895,2157.0702091016105,33.02676525070323,-96.92567980055625,7077.0,0.1925,124.2,929.0,124.21,303.34,64795.0
851.0,-457164.2727794446,-159582.60175789712,2960.4144228529613,32.97615985619782,-96.82692530771719,9713.0,0.2087,133.35,936.0,109.21,297.72,64497.0
1022.0,-446212.6748673174,-163397.53376405136,3769.7407069419946,32.94657010619582,-96.70777848590897,12368.0,0.258,163.25,1229.0,94.21,283.71,64213.0
1192.0,-432082.62459893164,-164436.5471893643,4833.103266948936,32.9430774970231,-96.55602608968725,15857.0,0.3853,240.56,1729.0,79.21,252.11,63961.0
1362.0,-411630.5784928996,-160537.1506841316,6329.004748312448,32.986202342311074,-96.33885974296906,20764.0,0.5853,358.45,1231.0,64.21,189.31,63772.0
1533.0,-383572.4272432828,-146976.64135576435,7393.616212323703,33.11848455259961,-96.04408379957171,24257.0,0.7853,474.16,731.0,67.56,180.89,63591.0
1703.0,-345349.6303795829,-131187.34294538488,8025.688754969018,33.27346623723372,-95.6400574448766,26331.0,0.7988,478.19,731.0,69.64,174.86,63416.0
1873.0,-306250.96153181564,-116678.25083624506,8658.021541095084,33.41589109975217,-95.22472723093239,28406.0,0.8098,480.51,278.0,70.0,148.22,63268.0
2043.0,-266762.1761874924,-102304.67191442386,8898.321441410393,33.55580808882069,-94.8037896269624,29194.0,0.8135,481.1,17.0,70.02,133.73,63134.0
2214.0,-227155.141259389,-87906.31434085491,8912.759946467606,33.69454314771641,-94.38022127746339,29241.0,0.8146,481.65,14.0,69.98,133.51,63000.0
2384.0,-187514.2382973866,-73460.23252444764,8924.717682461765,33.83226214537742,-93.95493326578382,29281.0,0.8157,482.19,-39.0,69.96,131.01,62869.0
2554.0,-147821.38063322243,-58978.655782853006,8891.34577359527,33.96884181899149,-93.5277222244225,29171.0,0.8162,482.73,-50.0,69.79,130.93,62739.0
2725.0,-108124.25430249203,-44361.56240767525,8847.674182265746,34.1051585599577,-93.09911434396004,29028.0,0.8166,483.24,114.0,69.77,138.93,62600.0
2895.0,-68428.89276464893,-29733.342436126437,8946.041579058714,34.24008081681549,-92.669150347328,29351.0,0.8187,483.81,-280.0,69.69,119.98,62480.0
3065.0,-28612.473123931006,-14995.915282217538,8703.46059193313,34.37448187824933,-92.2364977642898,28555.0,0.8163,484.05,-780.0,69.63,99.78,62380.0
3236.0,11322.67699730932,-166.13299354118396,8028.340683489819,34.508183584537505,-91.80116496521758,26340.0,0.8049,481.78,-1280.0,69.58,83.76,62296.0
3406.0,51162.59226165431,14668.754096353034,6920.681853701658,34.64038514408971,-91.36548101000041,22706.0,0.7798,473.86,-1780.0,68.61,70.56,62226.0
3576.0,90183.2960329965,29956.094698345423,5380.4841025847245,34.775172488725985,-90.93733331625509,17653.0,0.5987,371.2,-1626.0,67.56,33.15,62192.0
3746.0,120482.0346199876,42467.55647231577,3974.029802791323,34.88455997041211,-90.60383194128549,13038.0,0.3987,251.61,-1126.0,82.56,23.55,62169.0
3917.0,142449.15756042828,45335.219482269895,3000.1144242690857,34.90751967159634,-90.3625426587684,9843.0,0.1987,126.89,-626.0,97.56,111.03,62058.0
4087.0,153491.5168401811,43869.21466824232,2458.7379670731216,34.89273983353819,-90.24173590634115,8067.0,0.1871,120.28,-126.0,112.51,202.29,61855.0
4257.0,163232.22125177554,39832.97896466434,2349.9004312067223,34.854941822034206,-90.13574085049072,7710.0,0.1842,118.58,374.0,97.51,268.15,61587.0
4428.0,173506.34401236605,38478.9878413996,2673.601816659968,34.841077905602525,-90.02344497970445,8772.0,0.1896,121.59,874.0,82.51,298.65,61289.0
4598.0,183992.8779805806,39858.16071051262,3429.8421233945683,34.8516452179046,-89.90825992141849,11253.0,0.2056,130.62,946.0,67.51,294.65,60994.0
4768.0,194485.13912683062,44202.57826296258,4247.812005721567,34.88876004088137,-89.79229320028467,13936.0,0.2263,142.35,943.0,52.51,283.81,60710.0
4938.0,204307.8290810415,51737.73776811708,5063.5335124933845,34.95458115810718,-89.68278252712989,16613.0,0.2772,172.59,1205.0,37.51,266.23,60444.0
5109.0,213430.3995953844,63623.2612317517,6105.623064183216,35.05955487629754,-89.5796630672041,20032.0,0.4131,253.72,1310.0,43.9,206.56,60237.0
5279.0,228706.74950083756,79500.29648193758,7238.5879621336935,35.19895002048355,-89.40749486422482,23749.0,0.6131,370.95,810.0,58.9,153.84,60084.0
5449.0,256393.21884037295,96204.88336563225,7939.013938731141,35.34246724155641,-89.09771467248585,26047.0,0.8131,487.29,310.0,66.63,156.92,59927.0
5620.0,295506.26625734224,113110.04792869164,8206.900993960833,35.48370788819325,-88.66062948189455,26926.0,0.82,489.64,-190.0,66.1,133.14,59794.0
