ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-503028.56123917113,-154436.54710241195,30.47999999178254,33.00161643652313,-97.32073973585456,100.0,0.1573,104.01,500.0,68.25,282.06,66018.0
160.0,-495110.5775749174,-151278.24713041596,436.5346029972282,33.03367380341415,-97.23768820705301,1432.0,0.1633,107.46,387.0,83.25,272.27,65746.0
320.0,-486355.81567233306,-150242.6834524136,751.0849535236974,33.047012955714834,-97.14446313059226,2464.0,0.1679,110.1,692.0,77.53,285.24,65460.0
480.0,-477560.1277438685,-148297.48614399796,1312.9605575498565,33.06846300233393,-97.05125356342488,4308.0,0.3235,210.82,1192.0,62.53,216.14,65244.0
639.0,-462287.60819986806,-140357.1403919223,2280.890708037252,33.146492951531606,-96.89164814357139,7483.0,0.5235,337.29,1167.0,55.48,197.51,65047.0
799.0,-439576.41155325697,-124734.64723882936,3228.6176170088693,33.29640048675885,-96.65566279342374,10593.0,0.5767,367.3,1600.0,70.48,217.51,64829.0
959.0,-411358.4371545155,-114729.3005705472,4528.270386208597,33.39760520267911,-96.35698137680173,14857.0,0.3767,236.09,1739.0,85.48,241.01,64588.0
1119.0,-392226.5507275929,-113215.8073644429,5940.744830506507,33.4184908052994,-96.15174936598633,19491.0,0.5767,354.98,1574.0,100.48,198.45,64390.0
1279.0,-363787.3214205698,-118474.81838756581,7218.647733884375,33.38146109875791,-95.84341654639691,23683.0,0.7218,436.88,1074.0,87.47,176.39,64213.0
1439.0,-328115.1626363881,-116901.33742213377,8090.496293717837,33.40730454412423,-95.46006116175371,26544.0,0.7967,476.46,672.0,72.47,161.32,64052.0
1599.0,-290893.7459222265,-105147.14651724928,8636.020193698812,33.523861312270235,-95.06313937290513,28333.0,0.8053,478.02,172.0,57.47,134.64,63917.0
1759.0,-257779.46577013205,-84030.17473009595,8775.495060277455,33.72229203443936,-94.7122468365342,28791.0,0.8077,478.5,66.0,72.47,128.65,63789.0
1918.0,-220267.81669060417,-72184.33103733223,8829.345421773425,33.83733883459014,-94.30975570521122,28968.0,0.8092,478.98,-49.0,69.71,123.1,63666.0
2078.0,-183309.0772463485,-58522.94146381572,8789.355748861515,33.96729899250144,-93.91256195426412,28836.0,0.8096,479.52,-60.0,84.71,123.09,63543.0
2238.0,-144027.20830209585,-54888.36307824286,8740.554559769835,34.00615077616985,-93.48726370763411,28676.0,0.8099,480.02,-23.0,99.71,125.26,63417.0
2398.0,-105110.47496577525,-61550.11748153916,8722.17120738458,33.95090407341142,-93.064296468067,28616.0,0.8105,480.51,251.0,99.45,137.36,63280.0
2558.0,-66185.1328289911,-68026.75264682282,8926.153533811133,33.89586026801686,-92.64180944868728,29285.0,0.8137,480.99,-249.0,84.47,113.66,63166.0
2718.0,-26756.549670200948,-64206.50372463275,8724.081435247705,33.931973150852286,-92.21474593709996,28622.0,0.8122,481.48,-749.0,87.11,93.95,63072.0
2878.0,12954.249311207614,-62204.80692251224,8115.954804405537,33.95023793596789,-91.78429625225597,26627.0,0.8031,480.14,-1249.0,73.64,78.1,62994.0
3037.0,51093.88940090469,-51008.34585876015,7101.773631604352,34.04975503123347,-91.37015906379384,23300.0,0.7817,473.84,-1749.0,58.64,64.98,62929.0
3197.0,84663.31444771883,-30549.322162703535,5681.537957242755,34.23154345388622,-91.0037998309058,18640.0,0.7458,460.62,-1785.0,45.46,72.96,62856.0
3357.0,111897.661219515,-3751.977057329002,4231.847779143429,34.46992494817438,-90.70407078208285,13884.0,0.5458,343.36,-1285.0,30.99,39.17,62817.0
3517.0,126522.49105757338,20594.95980281493,3188.2114525997895,34.68715672669838,-90.54091226879956,10460.0,0.3458,220.35,-785.0,15.99,32.13,62785.0
3677.0,131531.40649661398,38071.63413199164,2550.6288868650463,34.843671557676586,-90.48339919796295,8368.0,0.1917,123.13,-285.0,13.76,163.81,62621.0
3837.0,133942.0221125871,47918.81273834768,2319.1005728787145,34.9319007462443,-90.45540936298836,7609.0,0.1865,120.08,215.0,28.76,235.67,62386.0
3997.0,138687.1096256975,56565.97683977946,2493.626280461048,35.00901826736292,-90.40192479106432,8181.0,0.1891,121.5,715.0,43.76,274.16,62111.0
4156.0,145561.9838430226,63746.267647589375,3074.2054384758226,35.07262027005424,-90.32519172833871,10086.0,0.2002,127.73,945.0,58.75,279.9,61832.0
4316.0,154477.1843830476,69155.15797618656,3841.32540393391,35.11993867075757,-90.22623496474796,12603.0,0.2256,142.65,1023.0,73.43,270.37,61561.0
