ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-190677.30534723247,-657933.3667857712,30.480000303764527,33.00163157635738,-97.32071240871534,100.0,0.3,198.38,2414.0,13.72,296.58,66003.0
167.0,-186704.45903845562,-641658.3076524028,2082.0296287905667,33.14870412889077,-97.28169790649129,6831.0,0.5,322.88,2043.0,15.22,251.51,65752.0
335.0,-179498.77734039165,-615170.7273423355,3818.510276416341,33.38817396824025,-97.20996912006909,12528.0,0.5604,354.37,1699.0,15.21,227.73,65524.0
502.0,-171576.84630620037,-586033.6068388167,5262.925591580945,33.65154948943781,-97.13065807779158,17267.0,0.6136,381.05,1482.0,15.19,210.66,65314.0
669.0,-163056.68481678845,-554660.255708958,6522.525805937583,33.93508049325435,-97.04482327432119,21399.0,0.6658,406.7,1277.0,15.17,195.32,65118.0
837.0,-153967.39919832232,-521132.1633012415,7608.25873814565,34.23801623062747,-96.95263589842253,24961.0,0.7173,431.85,1082.0,15.13,181.92,64936.0
1004.0,-144327.82921306576,-485485.4202942798,8527.963250142242,34.56001529347274,-96.85415807213828,27979.0,0.7645,454.46,910.0,15.08,170.72,64766.0
1171.0,-134204.4195859285,-447927.1101414126,9301.035753619384,34.899191425228175,-96.74993675268195,30515.0,0.7903,464.68,1000.0,15.02,170.38,64595.0
1339.0,-123901.06521725625,-409540.5468924821,10150.937420294444,35.245749596387945,-96.64300393823041,33304.0,0.7887,458.09,500.0,14.95,139.6,64456.0
1506.0,-113760.76762703538,-371564.93919154536,10575.846278370058,35.58849865416633,-96.53689947601671,34698.0,0.7698,444.31,-0.0,14.87,110.12,64345.0
1673.0,-103948.01121391292,-334599.3568757612,10575.762327902088,35.922035974604206,-96.43338673085252,34697.0,0.7743,446.92,18.0,14.78,111.29,64234.0
1841.0,-94136.67542532775,-297405.22801158397,10590.85372549359,36.257539492887695,-96.32904513566834,34747.0,0.7751,447.3,21.0,14.69,111.28,64123.0
2008.0,-84376.63315363982,-260164.6981788794,10608.955870922697,36.59336498518135,-96.22438711024961,34806.0,0.7753,447.26,21.0,14.6,111.03,64012.0
2175.0,-74674.97147482884,-222912.31619366014,10626.835795265464,36.92920083353363,-96.11947628295243,34865.0,0.7754,447.25,22.0,14.52,110.83,63901.0
2342.0,-65026.500216547094,-185647.45089544312,10645.215119077284,37.26505291640496,-96.01424345947284,34925.0,0.7755,447.15,21.0,14.44,110.52,63791.0
2510.0,-55426.70418889668,-148377.820346415,10663.262309178657,37.600851767654156,-95.90862513670614,34984.0,0.7756,447.1,21.0,14.39,110.27,63680.0
2677.0,-45865.36147801717,-111102.54845616227,10681.434953779493,37.936605300884665,-95.80249247588539,35044.0,0.7757,447.03,21.0,14.34,110.01,63570.0
2844.0,-36332.59532389313,-73826.0652118605,10699.189500737846,38.272273261922436,-95.69571783331092,35102.0,0.7759,447.01,21.0,14.32,109.77,63460.0
3012.0,-26815.255533218413,-36546.92407630666,10717.30026233896,38.60786791534709,-95.58813389595727,35162.0,0.7759,446.93,21.0,14.32,109.52,63351.0
3179.0,-17302.684436521664,727.4122488949685,10735.248900762524,38.94332082644082,-95.47959851246104,35221.0,0.776,446.88,21.0,14.33,109.27,63242.0
3346.0,-7781.240736197763,37995.3503954301,10753.05431986821,39.27861560276593,-95.36993195591067,35279.0,0.7762,446.84,21.0,14.37,109.02,63133.0
3514.0,1767.0957474337279,75253.91767800928,10771.280592396128,39.61372293396193,-95.25890132443884,35339.0,0.7762,446.74,22.0,14.43,108.82,63024.0
3681.0,11350.821324396573,112495.19983538467,10790.172074752028,39.94856854241054,-95.1463805161107,35401.0,0.7761,446.53,20.0,14.51,108.44,62915.0
3848.0,20982.566570431984,149707.44339004246,10807.327175533248,40.283042908480354,-95.03219253010346,35457.0,0.7764,446.6,22.0,14.63,108.32,62807.0
4016.0,30692.576163333008,186905.79770982385,10825.647638768756,40.61727711982888,-94.9159475093563,35517.0,0.7764,446.48,21.0,14.74,108.01,62699.0
4183.0,40470.0203879814,224077.83302836466,10843.47313483476,40.951154662244036,-94.79773749966225,35576.0,0.7765,446.44,22.0,14.88,107.81,62591.0
4350.0,50337.23536293198,261224.52735284215,10862.177025108684,41.284677958694765,-94.67725910656931,35637.0,0.7765,446.27,19.0,15.01,107.4,62484.0
4518.0,60286.850946725564,298336.9841447369,10877.914994118268,41.6177615302092,-94.55456076226005,35689.0,0.7772,446.58,51.0,15.14,108.78,62375.0
4685.0,70328.55161023236,335448.08669761993,10921.53822194666,41.95069433304597,-94.42948128529416,35832.0,0.7697,442.02,-158.0,15.27,97.51,62278.0
4852.0,80360.58417735976,372202.133648093,10787.334703258539,42.28028128895306,-94.303260368,35392.0,0.7554,434.64,-658.0,15.39,72.14,62205.0
5020.0,90328.94358188524,408420.2039343982,10228.138375986806,42.6049171058927,-94.17657889300534,33557.0,0.6879,399.11,-1158.0,15.5,42.66,62163.0
5187.0,99571.40942041362,441749.3815890618,9243.949240224203,42.90352671393716,-94.05798635260038,30328.0,0.6318,371.79,-1259.0,15.59,34.39,62128.0
5354.0,108234.4980882701,472790.2916278408,8173.895028246742,43.181517207676826,-93.94582317678363,26817.0,0.5828,348.18,-1281.0,15.67,30.12,62098.0
5522.0,116387.23955596726,501843.3914492879,7085.234527711023,43.44159989114766,-93.83936827517218,23246.0,0.5398,327.29,-1277.0,15.74,27.28,62071.0
5689.0,124080.23372536147,529135.6400693988,5999.667555478027,43.68582420020458,-93.73810538682174,19684.0,0.5019,308.71,-1261.0,15.8,25.21,62046.0
5856.0,131358.49888693227,554861.8264381399,4927.984508214998,43.91594842661931,-93.64156601236948,16168.0,0.4689,292.39,-1240.0,15.84,23.64,62022.0
6024.0,138267.82187543056,579214.1478228571,3874.365793222808,44.13370500896166,-93.54924808275213,12711.0,0.4394,277.69,-1215.0,15.87,22.93,61999.0
6191.0,144840.44600742683,602330.1099363527,2841.5708141373925,44.3403349144498,-93.4608113118637,9323.0,0.4134,264.53,-1190.0,15.89,24.25,61975.0
6358.0,151107.85559036297,624340.7194610575,1830.0141750147145,44.537019218595496,-93.37591064119232,6004.0,0.3902,252.75,-1166.0,15.9,25.58,61949.0
6525.0,157098.1919831886,645363.6530954716,839.155406399493,44.72481835163681,-93.29423245597944,2753.0,0.3,196.56,-951.0,13.72,27.85,61922.0
6693.0,161124.4461772737,661857.501585057,30.479999697114753,44.872259999122264,-93.23831000129591,100.0,0.2098,138.71,-737.0,11.53,34.53,61887.0
