ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-190677.30536168438,-657933.366983616,30.479999954662716,33.00163157457598,-97.32071240882665,100.0,0.1573,104.01,538.0,13.72,370.96,65929.0
209.0,-188037.14230355437,-647117.7434782479,602.1567790900442,33.09937026272324,-97.29479963197781,1976.0,0.1658,108.95,917.0,28.72,380.8,65548.0
418.0,-182458.9736881785,-636936.601157726,1576.1507693453862,33.1919478832782,-97.23717935919902,5171.0,0.2754,178.91,1417.0,19.38,335.02,65213.0
627.0,-176150.04115627325,-619005.8065945794,3081.0497142199106,33.35430145230876,-97.17317572117082,10108.0,0.4754,303.35,1264.0,4.38,254.61,64959.0
836.0,-173678.97741072706,-586776.5373542443,4422.83870376291,33.644498663151246,-97.15318018483778,14511.0,0.6754,423.9,764.0,349.38,244.11,64714.0
1045.0,-182031.69289975712,-542211.4351906558,5233.722738901519,34.04362710413325,-97.25290820846995,17171.0,0.7294,453.13,264.0,348.72,219.61,64495.0
1254.0,-191544.7533297064,-494515.2807326901,5513.701818501791,34.47057405953456,-97.3670478161984,18090.0,0.7004,433.5,-68.0,348.71,182.18,64313.0
1463.0,-200677.305418734,-448783.0723111019,5441.196989457265,34.87981769476276,-97.47782305306131,17852.0,0.5004,309.99,432.0,3.71,171.94,64141.0
1672.0,-198528.8639424907,-415621.1008113466,5899.597111686061,35.1783763724515,-97.46250441818174,19356.0,0.3004,184.98,925.0,353.75,309.03,63832.0
1881.0,-200677.30552870143,-395999.42503857345,6881.555641357777,35.354310239371806,-97.49107646817222,22577.0,0.3907,237.55,1201.0,8.31,276.98,63555.0
2090.0,-197022.78069837912,-370972.03611010185,8156.581952808339,35.580063026480964,-97.45707426140815,26760.0,0.5907,352.98,701.0,23.31,184.84,63370.0
2299.0,-182085.48933112703,-336300.81823831075,8900.70331515805,35.89476943642237,-97.30013636411753,29202.0,0.7907,467.6,201.0,34.53,169.25,63201.0
2508.0,-153626.38507626113,-294942.23419474927,9113.91973457365,36.271735104196175,-96.99266958267356,29901.0,0.8159,481.01,-68.0,31.16,156.49,63044.0
2717.0,-126848.57815997527,-250660.05809652366,9041.199307663663,36.67395518790332,-96.70153981344788,29663.0,0.8165,481.87,8.0,31.22,161.88,62882.0
2926.0,-99993.7767819334,-206351.59711738568,9049.740547626765,37.075699772641904,-96.40647977393864,29691.0,0.8177,482.56,-279.0,31.18,145.66,62737.0
