ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-190677.30543908494,-657933.3669132235,30.479999990060442,33.0016315751939,-97.32071240967039,100.0,0.2038,134.76,1595.0,13.72,355.33,65945.0
196.0,-187512.7306836721,-644969.4516981106,1615.3085005094363,33.118783333277484,-97.2896458333188,5300.0,0.394,255.8,2013.0,27.73,304.05,65641.0
391.0,-175714.88492959476,-622525.7082459775,3615.688516528645,33.322733870032664,-97.16777837410169,11862.0,0.5913,374.84,1513.0,12.73,261.04,65380.0
587.0,-167488.51243323908,-586109.0926514207,5119.287306028841,33.651580423909635,-97.08654446814772,16796.0,0.6878,427.88,1013.0,357.73,235.18,65144.0
782.0,-169182.83112221985,-543380.3679423766,6126.104958362485,34.03544570672758,-97.11341258617463,20099.0,0.7508,461.05,709.0,352.67,220.32,64924.0
978.0,-175072.42552986686,-497588.56257823645,6830.576103294968,34.446086013199576,-97.18691989066845,22410.0,0.7681,467.33,722.0,7.49,213.76,64710.0
1173.0,-168970.09767099385,-451197.7940358649,7547.627484252826,34.8642559459545,-97.13007849781756,24763.0,0.7842,472.54,732.0,7.73,206.62,64504.0
1369.0,-162604.81849081852,-404324.4447032993,8275.338416183156,35.286787077891944,-97.06990331030495,27150.0,0.7978,475.93,473.0,10.53,184.97,64319.0
1565.0,-153886.1552121229,-357400.10966006824,8745.047460057116,35.710139879797,-96.98310291492983,28691.0,0.8045,476.8,-27.0,19.44,152.51,64166.0
1760.0,-137917.80374195997,-312151.58759905444,8717.976262109363,36.119470756859066,-96.81442644512518,28602.0,0.8053,477.46,-523.0,14.77,125.83,64040.0
1956.0,-125623.81392163779,-265532.69535764,8198.235512430128,36.54039406861779,-96.68532697081785,26897.0,0.7993,477.31,-1023.0,18.86,104.92,63935.0
2151.0,-109992.95243971949,-219778.16251712776,7181.713855227433,36.95381663188026,-96.51716275243689,23562.0,0.7798,472.22,-705.0,17.29,133.44,63802.0
2347.0,-95803.16992985725,-174205.26726699361,6481.002183254126,37.36521850406535,-96.36345665317167,21263.0,0.5848,357.42,-205.0,32.29,115.12,63687.0
2543.0,-76563.97620127103,-143765.68054000393,6277.070906103255,37.64077978732942,-96.14901336285524,20594.0,0.4458,273.24,295.0,43.84,150.68,63536.0
2738.0,-57558.75563923131,-123975.834943106,6569.919198927241,37.82016208696577,-95.93477953570194,21555.0,0.3412,208.33,-61.0,58.84,151.87,63384.0
