ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-328188.57884947356,172412.86280785734,30.47999998848113,33.00162408444408,-97.32075919039598,100.0,0.1573,104.01,914.0,114.72,247.29,66053.0
135.0,-321669.321682224,169411.05827902205,657.7370889916712,32.97654313447349,-97.2498541085089,2158.0,0.1672,109.77,917.0,99.72,246.02,65807.0
270.0,-314201.3213405645,168131.33696378465,1287.3684107687527,32.96716136295194,-97.16940983241373,4224.0,0.1819,118.59,982.0,90.38,243.92,65563.0
405.0,-306017.7941063163,168077.0184907245,1961.5401797995885,32.96893520582833,-97.08172160769843,6435.0,0.204,131.91,1109.0,105.38,240.34,65322.0
540.0,-297247.3596205297,165664.48272533432,2722.6297207372468,32.949614248908524,-96.98698741946231,8933.0,0.2328,149.21,1248.0,120.38,234.6,65088.0
676.0,-288376.4372030382,160464.04293106933,3579.0972998313914,32.90519542077704,-96.89035433248333,11742.0,0.2819,178.76,1455.0,135.38,223.52,64864.0
811.0,-279730.4214208948,151702.48321586658,4578.168564428636,32.828643209696196,-96.79515775502486,15020.0,0.3419,214.14,1567.0,150.38,207.7,64657.0
946.0,-272442.6229892911,138883.90241265157,5654.11376945174,32.7152289512463,-96.71346530174263,18550.0,0.4848,299.51,1733.0,165.38,181.55,64475.0
1081.0,-267236.9068043628,118926.98281903238,6843.7330004879095,32.53711353092729,-96.65218241663092,22453.0,0.6848,416.53,1233.0,159.03,154.18,64321.0
1216.0,-256937.89023403538,92055.88927371133,7690.212882229362,32.29798401583067,-96.5350881055299,25230.0,0.789,474.46,733.0,156.22,141.58,64179.0
1351.0,-243684.45596740293,61983.85251110549,8193.485936785917,32.03059944709803,-96.38648755076589,26882.0,0.7986,476.94,373.0,157.03,124.77,64055.0
1486.0,-230767.89997274295,31515.57825679967,8449.48054233081,31.759399867133578,-96.24225467103626,27721.0,0.8031,477.92,-127.0,156.9,104.21,63950.0
1621.0,-217726.58635958243,939.2079066896563,8362.268320762305,31.48707724478235,-96.09756010319607,27435.0,0.8025,478.14,-627.0,157.34,86.2,63864.0
1757.0,-204882.3034029554,-29819.330240861553,7931.849272048689,31.21290704433276,-95.95577454124127,26023.0,0.7957,476.95,-1127.0,157.97,70.88,63793.0
1892.0,-192382.44007535436,-60706.23853347795,7158.223396286291,30.93735829582638,-95.81843018253015,23485.0,0.78,472.45,-1569.0,158.44,59.92,63733.0
2027.0,-180235.071278947,-91453.58254686596,6081.333454546052,30.662853139355697,-95.68562004875885,19952.0,0.754,463.29,-1069.0,167.43,85.74,63648.0
2162.0,-173193.02729596748,-123027.57760185788,5347.650339886142,30.38003194588457,-95.60667350497081,17545.0,0.554,343.65,-569.0,158.9,61.93,63586.0
2297.0,-164574.12246769472,-145366.98101778037,4957.174052393001,30.180405767026965,-95.51328910434864,16264.0,0.354,220.69,-69.0,143.9,87.15,63499.0
2432.0,-155533.47075046523,-157765.97938432705,4909.904592083702,30.070140548355894,-95.41740177438348,16109.0,0.2596,161.96,431.0,128.9,180.25,63318.0
2567.0,-146791.76443445057,-164820.29562597504,5205.841958938041,30.00782184366834,-95.32558647048778,17080.0,0.2689,167.1,931.0,113.9,210.94,63107.0
2702.0,-136232.26146089163,-169500.19069401483,5844.986152891851,29.966995727408868,-95.21533522623331,19176.0,0.3354,206.73,1253.0,98.9,196.22,62911.0
2838.0,-122140.39929548037,-171707.56575574155,6705.2133378317585,29.94867415121198,-95.06881683030963,21999.0,0.5354,326.29,1558.0,83.9,163.52,62748.0
2973.0,-99774.07628246289,-169318.31101507653,7774.3214170965,29.972240907905594,-94.83693969347242,25506.0,0.7354,441.75,1058.0,94.49,143.19,62604.0
3108.0,-69322.03337388393,-171707.5657500021,8500.22266967013,29.952915259649497,-94.5206849829382,27888.0,0.8124,483.14,558.0,90.0,128.8,62476.0
3243.0,-35830.121698467745,-171707.56575726118,8882.91709526955,29.954392642541283,-94.17309728441509,29143.0,0.8188,484.32,58.0,90.0,108.01,62368.0
3378.0,-2173.541488719262,-171707.56575696726,8922.404693958102,29.95492973028347,-93.82379339940542,29273.0,0.82,484.76,-76.0,90.0,102.91,62265.0
3513.0,31535.83879240324,-171707.56575818636,8869.986639821089,29.954514037589252,-93.47395055076406,29101.0,0.82,485.12,-70.0,90.0,103.61,62161.0
3648.0,65269.12546836999,-171707.56570485356,8821.877277867452,29.953144064004135,-93.12385653635593,28943.0,0.82,485.45,-65.0,87.78,104.23,62057.0
3783.0,98999.1669142484,-170401.1763412215,8777.222481882836,29.962567883968983,-92.77368608779841,28797.0,0.82,485.76,-94.0,87.23,103.61,61953.0
3919.0,132740.98297330778,-168770.63321213674,8712.818234933982,29.97394975922296,-92.42328836008437,28585.0,0.8196,485.98,-594.0,87.15,86.3,61867.0
4054.0,166574.72113829295,-167085.8878870147,8305.20716084357,29.98484908030827,-92.07184971556939,27248.0,0.8129,484.75,-1094.0,87.19,71.72,61795.0
4189.0,200396.46298898628,-165424.451701456,7554.389259558424,29.994577892385337,-91.72046517608484,24785.0,0.7971,480.22,-1594.0,87.75,59.4,61736.0
4324.0,233980.77242791938,-164105.76471585405,6460.364531099059,30.00030953741708,-91.37155559327405,21195.0,0.7698,470.65,-2094.0,89.28,48.49,61687.0
