ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-328188.5787634623,172412.86271623953,30.479999999994387,33.00162408364613,-97.32075918944182,100.0,0.3,198.37,2328.0,114.72,182.01,66118.0
103.0,-318732.38656045357,168058.74056812175,1253.6253160771396,32.965231083983824,-97.2179244066386,4113.0,0.2754,179.59,1888.0,124.28,179.69,65938.0
207.0,-310925.4246912043,162737.32323176,2245.659413708802,32.91960730433409,-97.13251140493054,7368.0,0.2375,153.06,1388.0,124.15,180.73,65758.0
310.0,-304242.4618258254,158204.38097873828,2975.0296433068274,32.88070634381113,-97.05947318397922,9761.0,0.213,136.1,933.0,123.55,180.42,65577.0
414.0,-298239.5158826174,154223.52089379675,3465.0413014068818,32.84654353115729,-96.99395078559209,11368.0,0.2253,143.1,932.0,126.0,177.09,65400.0
517.0,-292111.47853720916,149771.14350754794,3954.64297901783,32.80814167172698,-96.92699379018897,12975.0,0.2388,150.73,930.0,138.1,173.08,65227.0
621.0,-286781.80966089456,143831.34349871826,4443.3502895536885,32.75613418092677,-96.86817410441755,14578.0,0.2735,171.62,1116.0,153.05,166.58,65060.0
724.0,-282666.82762848353,135738.95790392387,5029.720536252189,32.68445011796831,-96.82175200105158,16502.0,0.3809,237.2,1616.0,168.04,152.23,64908.0
827.0,-280072.03492434806,123487.59223459037,5878.771515880329,32.574996076272214,-96.79039462520832,19287.0,0.5808,357.84,1216.0,153.04,117.09,64791.0
931.0,-271482.15300129197,106598.20217209187,6517.873677102322,32.42530146757941,-96.6939167483946,21384.0,0.7614,465.18,716.0,157.76,114.52,64677.0
1034.0,-262139.16327790765,83749.64536016941,6894.291099815399,32.22214323909006,-96.58812800716024,22619.0,0.7706,468.43,723.0,152.79,112.64,64564.0
1138.0,-250772.63914915858,61644.92148939644,7274.209172069835,32.02602079127058,-96.46156841825685,23866.0,0.7794,471.37,729.0,153.76,110.67,64453.0
1241.0,-239712.9948988051,39212.42093935113,7657.254343592676,31.826754398780942,-96.33873479296102,25122.0,0.7877,473.9,733.0,138.76,108.59,64345.0
1344.0,-223136.3175957231,20306.168583589893,8042.420638107839,31.660141456479607,-96.15899560643302,26386.0,0.7952,475.91,253.0,146.05,93.03,64252.0
1448.0,-209008.43868461516,-677.8027383081256,8175.5889270178395,31.47414942128492,-96.00529413284961,26823.0,0.7979,476.64,-170.0,142.05,80.16,64171.0
1551.0,-193402.1181664092,-20685.368347932294,8086.3887479097475,31.296990509832195,-95.83685235347892,26530.0,0.7969,476.61,-7.0,127.05,85.41,64086.0
1655.0,-173162.1028792733,-35962.27731675503,8082.928892902419,31.162833622802715,-95.62120656676619,26519.0,0.7973,476.87,493.0,112.05,99.48,63987.0
1758.0,-149688.9034481989,-45467.544285594435,8341.965859641647,31.080623021791165,-95.37311296528584,27369.0,0.8019,477.95,731.0,97.05,104.41,63882.0
1862.0,-124522.18221407932,-48577.723293345385,8725.849111976304,31.055616215343935,-95.10847984424424,28628.0,0.8075,478.72,241.0,82.05,88.51,63794.0
1965.0,-99320.43903982246,-45056.06343106608,8852.5160423507,31.089703070200155,-94.84427715580271,29044.0,0.8094,478.97,-259.0,67.05,73.49,63720.0
2068.0,-75833.10287284818,-35108.08408880419,8716.51760203956,31.18092796403577,-94.59838339707217,28597.0,0.8085,479.36,-407.0,80.99,70.18,63650.0
2172.0,-50606.79885851625,-31108.902858434667,8502.589237529795,31.21826370017411,-94.33341704474343,27896.0,0.8062,479.45,93.0,95.99,85.79,63564.0
2275.0,-25246.060320588647,-33770.72756272011,8551.33606408615,31.19515309852564,-94.06665927063246,28056.0,0.8074,479.84,416.0,110.99,94.49,63470.0
2379.0,-1448.4350650017534,-42901.84346906163,8769.78421068586,31.11330851795635,-93.81645348204235,28772.0,0.8108,480.35,264.0,125.99,88.92,63381.0
2482.0,19208.77515388757,-57905.63362750924,8908.704540702583,30.9782187996914,-93.59975575867946,29228.0,0.8129,480.63,-235.0,126.14,74.0,63307.0
2586.0,39877.41336793391,-72999.62404464693,8785.40710576034,30.84195408282492,-93.383555286434,28824.0,0.8121,480.99,156.0,111.14,85.83,63221.0
2689.0,63732.05685368212,-82223.54990146527,8867.327303792292,30.757948911764654,-93.13428035347059,29092.0,0.8135,481.32,-37.0,96.14,79.92,63141.0
2792.0,89196.8601500624,-84963.02744910469,8847.782947804984,30.73165416507345,-92.8680402164872,29028.0,0.8139,481.65,89.0,92.58,83.59,63057.0
2896.0,114788.07226684829,-86117.87537718704,8894.38116504812,30.71904607817738,-92.60044696916266,29181.0,0.815,481.97,58.0,89.08,82.45,62975.0
2999.0,140422.20799148185,-85706.04478638641,8924.894051132838,30.719963481859434,-92.33226059229743,29281.0,0.8159,482.3,-331.0,99.16,71.39,62904.0
3103.0,165785.4394334191,-89797.16187579307,8750.921012832316,30.679872822691372,-92.067637664033,28710.0,0.8143,482.54,-594.0,107.48,65.17,62838.0
3206.0,190324.56234669246,-97525.31022547363,8438.88580129563,30.6066754103414,-91.81252729393503,27687.0,0.81,482.13,-501.0,118.44,69.78,62769.0
3309.0,212920.78105260356,-109762.39367454202,8175.555029956766,30.492795976913555,-91.57902182054596,26823.0,0.8058,481.36,-1001.0,130.7,57.39,62711.0
3413.0,232403.37221273646,-126519.32665314047,7649.546569996092,30.338488473848525,-91.3795291308162,25097.0,0.7953,478.56,-1501.0,115.7,46.48,62665.0
3516.0,255458.17469179904,-137614.4185611951,6860.85816356451,30.23400999066598,-91.14211670140537,22509.0,0.777,472.54,-2001.0,122.26,36.74,62628.0
3620.0,276849.04282367055,-151115.00281381322,5809.490640450634,30.10787292190677,-90.92314349524793,19060.0,0.7218,445.06,-2500.0,107.68,21.15,62607.0
3723.0,299566.0644195822,-158357.43799225625,4496.073427823011,30.037281355389393,-90.68917485120627,14751.0,0.5218,327.18,-2500.0,92.68,13.49,62593.0
3827.0,317047.6723419817,-159176.88589340224,3182.6547975946823,30.025390524119075,-90.50791591175987,10442.0,0.3218,205.07,-2500.0,85.42,15.31,62578.0
3930.0,327932.21114339895,-158304.4863973529,1869.2648920407514,30.030281170191845,-90.39464792705915,6133.0,0.1777,115.03,-2000.0,100.39,17.73,62560.0
4033.0,333902.8573464004,-159399.55051400198,818.5346482334362,30.0187826335761,-90.33301311552253,2685.0,0.1591,104.28,-1500.0,114.72,18.97,62541.0
4137.0,338915.3567829885,-161707.56565856462,30.480000000001517,29.996629999999733,-90.2817299999988,100.0,0.1406,92.94,-1000.0,129.05,39.64,62502.0
