ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,12506.643288863375,-133651.46292029374,30.480000304516206,33.00164000090044,-97.3207500010702,100.0,0.3,198.38,2414.0,354.8,76.29,66224.0
43.0,12112.865335155271,-129321.67520141866,558.1856557108147,33.040583211229915,-97.32491421186756,1831.0,0.4791,314.93,2290.0,354.24,69.04,66155.0
86.0,11416.293477449477,-122421.92446460713,1058.9190171356095,33.10264177910511,-97.33229913885386,3474.0,0.4915,321.2,2175.0,354.24,67.38,66087.0
129.0,10706.050888718912,-115381.39459262896,1534.5570004401034,33.16596610393003,-97.33983969116166,5035.0,0.5037,327.37,2069.0,354.25,65.75,66022.0
172.0,9983.207850283705,-108202.62500127435,1986.9452040098986,33.23053331013409,-97.3475250733135,6519.0,0.5158,333.45,1970.0,354.27,64.14,65957.0
215.0,9249.008842135141,-100887.82751921618,2417.7190062553445,33.296323468863854,-97.3553425870244,7932.0,0.5278,339.49,1878.0,354.3,62.59,65895.0
258.0,8504.898246832548,-93438.03328233965,2828.2550086784854,33.36332727066687,-97.36327733830912,9279.0,0.5398,345.46,1791.0,354.33,61.07,65834.0
301.0,7752.46442796978,-85854.58372885895,3219.8153652493365,33.43153261791269,-97.37131284720377,10564.0,0.5532,352.38,1715.0,354.38,59.71,65774.0
344.0,6990.812800568235,-78116.73452708087,3594.7495110610107,33.501126055498254,-97.3794591909381,11794.0,0.5675,359.84,1654.0,354.43,58.57,65715.0
387.0,6219.752627966979,-70212.88439253264,3956.292724089085,33.57221189591355,-97.387719029043,12980.0,0.5818,367.28,1593.0,354.48,57.45,65658.0
430.0,5439.824167022379,-62143.53518917573,4304.55580643746,33.64478560069581,-97.396087262007,14123.0,0.5961,374.69,1533.0,354.53,56.36,65602.0
473.0,4651.312730094132,-53909.35648551406,4639.656549969607,33.718841125441365,-97.40456154286701,15222.0,0.6105,382.11,1473.0,354.58,55.3,65546.0
