ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,12506.643383732746,-133651.46306595727,30.48000000331494,33.001639999589344,-97.32075000005496,100.0,0.2313,152.94,1899.0,354.8,77.45,66223.0
43.0,12204.115839244967,-130325.01793453262,444.0838661829604,33.03155890418283,-97.32394890821678,1457.0,0.2506,164.95,1971.0,341.51,76.69,66146.0
86.0,11061.349557407568,-126906.99995189541,873.2704846096727,33.062310323392246,-97.33616458829668,2865.0,0.2512,164.51,1866.0,356.51,76.22,66070.0
129.0,10842.579885908812,-123316.40465334611,1279.632559048879,33.0946035380626,-97.33846875311434,4198.0,0.2586,168.56,1826.0,11.51,75.54,65994.0
171.0,11578.650783466363,-119702.81417014672,1677.227820288657,33.12709353955416,-97.33052120908313,5503.0,0.274,177.79,1847.0,26.51,74.53,65920.0
214.0,13315.753114281226,-116220.75937817057,2079.50768723023,33.15838802291186,-97.31181651228965,6823.0,0.2938,189.74,1885.0,41.51,73.24,65846.0
257.0,16069.314059989487,-113109.88651612052,2489.997286880166,33.186326645140916,-97.28218232298076,8169.0,0.3055,196.31,1859.0,45.0,72.12,65774.0
300.0,19110.021843537208,-110069.17637733498,2894.791464409395,33.21362198186736,-97.2494440382429,9497.0,0.3123,199.72,1804.0,30.0,71.13,65703.0
343.0,21298.501993416216,-106278.61458841452,3287.721702176248,33.24766955181477,-97.22583052521159,10786.0,0.3345,212.92,1825.0,15.0,69.41,65634.0
386.0,22506.642865907925,-101769.76604103476,3685.113592492634,33.2881934819217,-97.21272599297079,12090.0,0.3722,235.74,1882.0,360.0,66.91,65567.0
429.0,22506.641844790254,-96599.6528515791,4094.900174017735,33.33468920456537,-97.21259567886666,13435.0,0.413,260.25,1900.0,360.0,64.22,65503.0
472.0,22506.63831004642,-90889.47498288138,4508.621136032216,33.386041822223035,-97.21245149282652,14792.0,0.4623,289.82,1878.0,0.0,61.23,65441.0
514.0,22506.639963486545,-84526.88991834549,4917.67103169671,33.44326165042227,-97.21229041908828,16134.0,0.5363,334.51,1759.0,0.0,57.45,65384.0
557.0,22506.641653048464,-77177.05795418544,5300.763302679474,33.50935996070112,-97.21210388935954,17391.0,0.6564,407.38,1259.0,358.58,52.42,65331.0
600.0,22284.504244295935,-68214.95553708891,5574.961676658478,33.5899624163871,-97.21427391898077,18291.0,0.7298,451.37,759.0,354.18,49.6,65282.0
643.0,21276.075807197427,-58323.26156695683,5740.265992981201,33.67894100857867,-97.22492179460689,18833.0,0.7409,457.25,702.0,352.61,49.05,65233.0
686.0,19980.594934230336,-48333.360933014876,5893.220360413464,33.768807398329386,-97.23869461407118,19335.0,0.7448,458.78,705.0,351.28,48.76,65184.0
729.0,18447.695726139296,-38343.15163819939,6046.750918249084,33.858679262400585,-97.2550672761637,19838.0,0.7488,460.28,708.0,350.21,48.46,65136.0
772.0,16724.3599442858,-28350.538443190926,6200.865575519452,33.94857366740633,-97.27353872244093,20344.0,0.7527,461.75,710.0,349.77,48.14,65087.0
815.0,14917.594130612119,-18339.800280470437,6355.57271806307,34.03862953934085,-97.29295414954514,20852.0,0.7566,463.19,713.0,349.59,47.83,65040.0
857.0,13074.018684535074,-8303.624520425046,6510.8812551569645,34.12891162460064,-97.31281017780049,21361.0,0.7604,464.59,716.0,349.4,47.52,64992.0
900.0,11191.465839049248,1756.656621656988,6666.800191194948,34.21940776812962,-97.33313212251343,21873.0,0.7642,465.96,719.0,349.61,47.2,64945.0
943.0,9340.037114464212,11853.111802860596,6823.335255054288,34.31022560753526,-97.35315843772933,22386.0,0.768,467.27,722.0,349.28,46.87,64898.0
986.0,7424.743582132372,21967.048377902174,6980.48400134929,34.40119784119435,-97.37392391117702,22902.0,0.7717,468.53,265.0,349.08,41.25,64857.0
1029.0,5467.928978092901,32109.424400763863,7038.132614064158,34.49242255628184,-97.39518725125937,23091.0,0.7731,469.04,-235.0,349.26,35.12,64822.0
1072.0,3540.2980106862824,42276.454085184036,6986.887331069427,34.583865223856655,-97.41617806492953,22923.0,0.7721,468.76,-735.0,349.99,29.1,64793.0
1115.0,1740.8397593901393,52467.159525014365,6826.748105755106,34.675517033247324,-97.43581324459356,22397.0,0.7686,467.64,-1235.0,349.62,23.28,64769.0
1158.0,-120.25946998069014,62626.87473557025,6557.714953223392,34.766887008588405,-97.45616653154603,21515.0,0.7624,465.54,-1735.0,348.53,17.76,64752.0
1200.0,-2166.372904515718,72707.642296593,6179.787939370485,34.85754325401329,-97.47859217919179,20275.0,0.7534,462.3,-2235.0,348.37,12.67,64739.0
1243.0,-4225.813783102865,82714.88896820974,5692.967289882464,34.9475341677096,-97.50121292786612,18678.0,0.7412,457.73,-2500.0,350.77,10.57,64728.0
1286.0,-5847.692372900191,92700.14678635071,5148.497241846669,35.03732575831391,-97.519077104105,16891.0,0.7272,452.23,-2500.0,355.95,11.22,64717.0
1329.0,-6554.265345109999,102668.82229740327,4604.027207191458,35.12697189540641,-97.52691620057365,15105.0,0.6149,385.02,-2500.0,1.76,5.46,64712.0
1372.0,-6293.197983612346,111168.11307551642,4059.557181305933,35.20340946338802,-97.52411023219194,13319.0,0.4149,261.56,-2500.0,5.92,5.87,64706.0
1415.0,-5698.477742214054,116899.99855529655,3515.0871548625155,35.25496102383599,-97.51760452001051,11532.0,0.2229,141.45,-2500.0,350.92,6.54,64699.0
1458.0,-6184.901537350997,119945.26329672446,2970.617135145303,35.28234490307556,-97.52298408995618,9746.0,0.2086,133.26,-2500.0,335.93,6.79,64692.0
1501.0,-7367.780921582061,122592.76490230282,2426.1471244798136,35.3061465798611,-97.53603858178494,7960.0,0.1966,126.47,-2500.0,320.93,7.05,64685.0
1543.0,-9099.137909722333,124725.20818736246,1881.6771222776301,35.325310094487705,-97.55514066041427,6173.0,0.1855,120.07,-2500.0,322.38,7.31,64678.0
1586.0,-10687.778401077256,126786.73345145372,1337.2071258326982,35.343834381392426,-97.5726774101673,4387.0,0.1751,114.05,-2500.0,337.38,7.57,64670.0
1629.0,-11636.4536828708,129063.60878010996,792.7379892344779,35.364300382789835,-97.58316829329692,2601.0,0.1653,108.38,-2000.0,352.38,7.84,64663.0
1672.0,-11949.09363866842,131400.376920507,357.162106546121,35.38531178978266,-97.58664984294474,1172.0,0.158,104.07,-1500.0,354.8,8.04,64655.0
1715.0,-12155.293671390997,133667.65210326615,30.4800000000869,35.40569941139417,-97.58895782573998,100.0,0.1506,99.59,-1000.0,357.23,14.01,64641.0
