ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-793875.8818761839,424255.5690617701,30.480000303239937,33.00160079046695,-97.32077051883148,100.0,0.3,198.38,2414.0,111.15,382.69,65917.0
216.0,-773785.6908606992,416483.2499539744,2677.7016129253316,32.945582915352944,-97.09972571953516,8785.0,0.5,320.6,1990.0,115.75,317.81,65600.0
432.0,-742199.3280126482,401244.68472746667,4860.247344669454,32.82972476959565,-96.7504015994385,15946.0,0.5997,374.34,1536.0,115.75,277.72,65322.0
648.0,-705185.7421512115,383387.88286173454,6545.3850765101515,32.69273783236989,-96.34221535290352,21474.0,0.6674,407.56,1270.0,115.75,251.58,65070.0
864.0,-664812.5747153519,363911.0556963563,7938.814691063702,32.54183195470706,-95.89840833172453,26046.0,0.7334,439.56,1022.0,115.75,229.55,64841.0
1080.0,-621191.9923285517,342869.30695479887,9059.973120906272,32.37706950955133,-95.42058132302434,29724.0,0.7777,458.87,862.0,115.75,212.86,64628.0
1295.0,-575603.411981124,320881.4761892499,10005.271497536629,32.2029973557102,-94.92306079818154,32826.0,0.7874,458.33,514.0,115.75,182.31,64445.0
1511.0,-529942.314970914,298861.82207530434,10569.51213830854,32.026744916982224,-94.4266592345435,34677.0,0.7717,445.45,14.0,115.74,143.27,64302.0
1727.0,-485381.3102528177,277375.1136781869,10585.362366244697,31.852916555789623,-93.94406019863494,34729.0,0.7736,446.47,20.0,115.74,143.51,64159.0
1943.0,-440719.68926098035,255841.23791843856,10607.288697624761,31.67689938065933,-93.46219705675713,34801.0,0.7741,446.61,21.0,115.74,143.21,64015.0
2159.0,-396043.82465458,234301.96848877732,10630.769113211803,31.49904725973151,-92.98200776902618,34878.0,0.7742,446.51,21.0,115.74,142.78,63873.0
2375.0,-351375.45492701867,212769.2719818314,10653.889310091516,31.319478955258926,-92.50372530204633,34954.0,0.7744,446.46,21.0,115.73,142.37,63730.0
2591.0,-306709.9309910032,191242.08708742802,10676.961607481851,31.138206253246,-92.02729721871138,35029.0,0.7746,446.41,21.0,115.73,141.96,63588.0
2807.0,-262047.29928137088,169720.49808850203,10700.051414551957,30.955249460875574,-91.55272060038573,35105.0,0.7747,446.35,21.0,115.72,141.54,63447.0
3023.0,-217388.32839985212,148205.2274445135,10723.17305405053,30.77063445078597,-91.07999967968802,35181.0,0.7749,446.28,21.0,115.72,141.13,63306.0
