ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-793875.8820423399,424255.56909867754,30.47999999889544,33.001600790683874,-97.32077052063781,100.0,0.1907,126.11,1427.0,111.15,474.8,65825.0
261.0,-778368.1164948272,418256.05907512567,1920.6357104988379,32.95839381982371,-97.15011995525911,6301.0,0.3258,210.79,1927.0,126.15,428.45,65397.0
521.0,-755979.3753696204,401899.9462950688,4473.03855253728,32.82676908558929,-96.89792501454869,14675.0,0.5258,329.79,1445.0,141.15,325.86,65071.0
782.0,-728593.7530153088,367899.8701919393,6386.733728435473,32.53981230615478,-96.5798632715645,20954.0,0.7258,444.17,945.0,156.15,295.79,64775.0
1043.0,-704709.4911713995,313874.6665925719,7638.181767815432,32.070609633368846,-96.28662771724692,25060.0,0.7858,472.87,445.0,166.11,254.2,64521.0
1304.0,-689541.7901330031,252554.86484543627,8227.382687300795,31.530307062396705,-96.0834731252931,26993.0,0.7971,475.82,0.0,161.54,213.43,64307.0
1564.0,-669329.9808059429,192018.60758328933,8227.382703085217,30.99938666010011,-95.83075692295297,26993.0,0.7983,476.54,0.0,148.64,213.55,64094.0
1825.0,-636062.8990753416,137439.63697750264,8227.382768582545,30.528073552454966,-95.44884710903861,26993.0,0.7995,477.26,50.0,133.64,217.28,63877.0
2086.0,-589755.0004162149,93284.5114001299,8293.256883735512,30.15524820849781,-94.94137400830398,27209.0,0.8017,478.16,43.0,118.64,215.87,63661.0
2347.0,-533487.1045512676,62559.393075041924,8350.197477233909,29.905133517635,-94.3414677135315,27396.0,0.8038,479.04,0.0,103.64,212.04,63449.0
2607.0,-471045.38827225723,47410.72412666229,8350.197497378107,29.794382173525495,-93.68760255562461,27396.0,0.805,479.75,0.0,88.64,212.17,63237.0
2868.0,-406714.5759376063,48941.62294149043,8350.197498000745,29.830800154152342,-93.0219583717477,27396.0,0.8062,480.46,-500.0,87.74,176.75,63060.0
3129.0,-342028.79167525284,51495.066512283105,7687.950353117185,29.873199321321557,-92.35249950552449,25223.0,0.7946,477.85,-500.0,88.61,186.87,62873.0
3389.0,-277668.74679062597,53055.91177913901,7025.703203677316,29.90326363573616,-91.68561853484101,23050.0,0.6831,414.5,-500.0,78.25,151.96,62721.0
3650.0,-223000.6542490543,64428.116295949374,6363.456055346588,30.016506105195337,-91.12095844030951,20877.0,0.4831,295.73,-500.0,63.25,101.8,62619.0
3911.0,-187431.27192254693,82357.51927323341,5701.208907428791,30.183589155138385,-90.7547438164628,18705.0,0.2831,174.8,-500.0,74.76,153.5,62466.0
4172.0,-164722.06472548217,88543.2247305701,5038.961761783173,30.242441561736488,-90.51947664305901,16532.0,0.2586,161.03,-3.0,89.76,266.75,62199.0
4432.0,-143122.860824462,88632.56882950978,5035.3539640776735,30.24593821178032,-90.29466678814468,16520.0,0.257,160.07,497.0,104.76,355.74,61843.0
