ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-438073.89103635424,-488007.2370031273,30.4800003038469,33.001620252703766,-97.32072112851009,100.0,0.3,198.38,2414.0,36.94,282.73,66017.0
160.0,-428469.7057166192,-475235.8081187868,1986.232967248778,33.1203844920516,-97.22417837433743,6517.0,0.5,323.25,2051.0,39.97,240.55,65777.0
319.0,-411632.1467771364,-455149.1787246923,3648.3347980475605,33.30773614561896,-97.05320702940723,11970.0,0.5518,349.64,1737.0,39.94,219.43,65557.0
479.0,-393394.5074109807,-433370.7243298895,5056.1429002774585,33.51059649130179,-96.86720103111642,16588.0,0.6024,375.04,1529.0,39.9,203.64,65354.0
638.0,-373826.20449194737,-409967.8693089806,6295.048602090381,33.728267075420256,-96.66667020448725,20653.0,0.6519,399.4,1333.0,39.84,189.31,65164.0
798.0,-352992.73800436663,-384994.50650682376,7375.066549902782,33.96017073894465,-96.4520813616374,24196.0,0.7004,423.04,1147.0,39.77,176.61,64988.0
957.0,-330935.1188129358,-358490.9122021443,8304.529440803044,34.205859545035,-96.22363443519356,27246.0,0.7482,446.17,970.0,39.7,165.6,64822.0
1117.0,-307683.9505984628,-330481.0258359949,9090.74123501494,34.46503274421469,-95.98141232659502,29825.0,0.7771,458.32,865.0,39.65,157.03,64665.0
1276.0,-283812.36818173697,-301671.4118647739,9791.35194084666,34.73109474976119,-95.73118162212589,32124.0,0.7909,461.78,746.0,39.62,147.19,64518.0
1436.0,-259760.26787653475,-272613.1510435816,10396.152336675963,34.998927888954476,-95.47744063023538,34108.0,0.7844,453.96,246.0,39.6,119.14,64399.0
1595.0,-236049.30249900764,-243954.68364456418,10595.804870217426,35.262556452403906,-95.22567787774831,34763.0,0.7669,442.54,-24.0,39.62,103.39,64295.0
1755.0,-212885.98956499808,-215979.45574502696,10576.26756529767,35.51940082488195,-94.9781441886649,34699.0,0.7761,447.99,30.0,39.67,106.77,64189.0
1914.0,-189422.22899007206,-187688.31443843123,10600.487839674233,35.77863894203491,-94.72577474768931,34779.0,0.7747,447.01,19.0,39.69,105.83,64083.0
2074.0,-165998.06569112634,-159465.90223396776,10616.207035411859,36.03672477029567,-94.47218644230787,34830.0,0.7752,447.18,21.0,39.74,105.74,63977.0
2233.0,-142540.75113826897,-131253.09522295732,10633.49645519078,36.29419499835383,-94.21656572169253,34887.0,0.7753,447.12,21.0,39.76,105.51,63872.0
2393.0,-119078.25227598049,-103049.88588701357,10650.64916383459,36.551035104227395,-93.95919940357743,34943.0,0.7754,447.08,21.0,39.76,105.28,63766.0
2552.0,-95618.45851947671,-74848.22993842911,10667.872745837394,36.8073074240197,-93.70015379844884,35000.0,0.7755,447.03,21.0,39.75,105.05,63661.0
2712.0,-72162.37919664549,-46648.800528222826,10685.080487079376,37.06299707922678,-93.43941683755608,35056.0,0.7756,446.97,21.0,39.73,104.82,63556.0
2871.0,-48722.32917489953,-18441.54746449764,10702.260165545991,37.31818499636639,-93.17710497134597,35112.0,0.7757,446.92,21.0,39.69,104.6,63452.0
3031.0,-25303.02355039312,9777.486245394735,10719.421193384445,37.57289862112745,-92.913248481814,35169.0,0.7758,446.86,21.0,39.65,104.37,63347.0
3190.0,-1903.5651930715535,38007.54369323138,10736.495021292092,37.82712307605232,-92.64781343894711,35225.0,0.7759,446.81,21.0,39.62,104.14,63243.0
3350.0,21476.78825854577,66249.17802487923,10753.402924664955,38.080855297236965,-92.38076812758834,35280.0,0.7761,446.79,21.0,39.6,103.92,63139.0
3509.0,44847.509150994854,94497.03552729839,10770.312885002657,38.3340387200532,-92.1119803578887,35336.0,0.7762,446.76,21.0,39.6,103.7,63036.0
3669.0,68214.98412618993,122745.80212391085,10787.359703860675,38.586616054610715,-91.84135221820318,35392.0,0.7764,446.71,21.0,39.61,103.48,62932.0
3828.0,91588.83481430465,150985.41928915225,10804.674875224353,38.83848617033853,-91.5687485169039,35448.0,0.7764,446.62,22.0,39.64,103.29,62829.0
3988.0,114972.20396313736,179209.1353907636,10822.29585873694,39.08957733341876,-91.29410817403004,35506.0,0.7764,446.49,21.0,39.69,103.01,62726.0
4147.0,138371.16186025084,207407.39879373187,10839.478717453616,39.339791683642254,-91.01733688535495,35563.0,0.7765,446.42,26.0,39.73,103.02,62623.0
4307.0,161787.1401473398,235585.5299515022,10860.333377022382,39.58916510671207,-90.73839109081159,35631.0,0.7756,445.77,62.0,39.77,104.37,62518.0
4466.0,185187.43248001827,263702.1088146369,10910.352916641405,39.837320158140905,-90.45763867580777,35795.0,0.7651,439.42,-438.0,39.81,79.65,62439.0
4626.0,208334.5935692781,291478.5288812309,10555.224594000447,40.08179996729218,-90.17793925745528,34630.0,0.7239,417.95,-938.0,39.83,53.46,62385.0
4785.0,230420.94404664022,317955.51906495035,9794.948409092709,40.31420934602455,-89.90919577322052,32136.0,0.6638,387.58,-1218.0,39.85,36.75,62349.0
4945.0,250936.46433357798,342533.24793001736,8807.717541154976,40.52938611767691,-89.65791615072624,28897.0,0.6131,363.06,-1269.0,39.86,31.33,62317.0
5104.0,270156.443628174,365553.34985917324,7779.617102418976,40.73043025306647,-89.42104413596688,25524.0,0.5684,341.42,-1279.0,39.85,27.97,62289.0
5264.0,288225.08331482427,387197.78373692854,6743.023141948871,40.91901898844138,-89.1970558318856,22123.0,0.529,322.23,-1272.0,39.85,25.58,62264.0
5423.0,305270.15430052293,407621.8628669519,5712.610282189997,41.096578790313714,-88.98458291947097,18742.0,0.4944,305.25,-1256.0,39.83,23.81,62240.0
5583.0,321406.4193155984,426966.88015867025,4695.262434013638,41.26440066578554,-88.7823760724465,15404.0,0.4639,290.16,-1236.0,39.81,22.45,62217.0
5742.0,336733.30600214977,445355.948572152,3694.10239508403,41.4236061979076,-88.58934239786237,12120.0,0.4367,276.56,-1213.0,39.8,22.06,62195.0
5902.0,351333.33542448655,462880.46405738156,2710.870993577958,41.57502910492961,-88.40457941980327,8894.0,0.4122,264.2,-1190.0,39.79,23.26,62172.0
6061.0,365273.9832859604,479619.01271736156,1746.438219513254,41.7193865912545,-88.2273499719853,5730.0,0.3901,252.91,-1167.0,39.78,24.47,62148.0
