ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-438073.89113617264,-488007.23710307834,30.479999999995215,33.00162025176334,-97.32072112952845,100.0,0.2037,134.72,1044.0,36.94,294.0,66006.0
172.0,-430967.5704981922,-478557.41210308694,942.6402051801285,33.08950323300661,-97.249312174252,3093.0,0.2567,167.98,1359.0,51.94,281.16,65725.0
344.0,-419382.9599647137,-469486.7405021142,2129.7511001998178,33.17581499003305,-97.12955616180935,6987.0,0.4566,294.71,1235.0,50.2,212.83,65512.0
516.0,-399496.0234547818,-452914.89620058076,3208.3678949656573,33.332692866756155,-96.92387760942003,10526.0,0.6566,418.34,753.0,43.64,213.29,65299.0
688.0,-374056.50845099014,-426240.2184200524,3865.9297659354734,33.58204329819835,-96.66205907761274,12683.0,0.6923,437.5,539.0,28.64,204.5,65094.0
860.0,-355556.04591451405,-392368.2474572422,4336.600483878018,33.89302628428458,-96.47674491663405,14228.0,0.7051,442.98,54.0,13.64,177.82,64916.0
1032.0,-346313.58289204334,-354289.8174007141,4383.628035510073,34.23832353023716,-96.39238354726703,14382.0,0.5571,349.83,554.0,359.44,162.32,64754.0
1204.0,-346614.04906386544,-323435.8387548764,4867.497114811612,34.515355386512724,-96.40848647413979,15969.0,0.3571,222.88,1054.0,4.76,221.2,64533.0
1376.0,-344988.0226186137,-303919.5106513767,5788.1986192588065,34.691228514496764,-96.39891778847995,18990.0,0.3019,186.2,953.0,13.31,255.61,64277.0
1548.0,-341220.5537186471,-287994.39649859053,6620.486264948589,34.83559598650379,-96.3643840455501,21721.0,0.4424,269.89,1269.0,28.31,212.54,64065.0
1720.0,-329993.04005804675,-267147.9345818806,7728.961216782814,35.02672422003529,-96.2499432149444,25357.0,0.641,385.31,776.0,43.3,160.57,63904.0
1892.0,-306724.199685963,-242457.759370439,8407.171116665311,35.25617471124078,-96.00401052039648,27583.0,0.8033,478.36,295.0,58.1,153.02,63751.0
2064.0,-270856.7021465681,-220131.2144330595,8664.896599593878,35.46751846160261,-95.61683665259159,28428.0,0.8077,479.22,-204.0,43.2,126.9,63624.0
2236.0,-241796.4723261979,-189181.87698109337,8486.923731148792,35.75341565962146,-95.30558646747042,27844.0,0.8062,479.51,-287.0,28.2,124.94,63499.0
2408.0,-221714.49161599152,-151725.25795698143,8236.599865367472,36.09495500592597,-95.09377149572518,27023.0,0.8029,479.2,-205.0,40.85,131.44,63368.0
2580.0,-193947.59709587586,-119613.04646212532,8057.198396759627,36.389699669278365,-94.7929146426497,26434.0,0.8005,478.99,246.0,55.85,154.35,63214.0
2752.0,-158926.86413659115,-95857.11852150118,8272.180306891072,36.60982222626567,-94.40670911748224,27140.0,0.6246,372.63,744.0,70.85,153.69,63060.0
