ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,1178711.4995412128,-621124.3163267453,30.47999981392057,33.00164000076408,-97.32074999880459,100.0,0.1584,104.76,933.0,310.41,560.09,65740.0
306.0,1166303.7024481737,-610560.8733631293,1481.8761244996551,33.11013934123499,-97.43819409849985,4862.0,0.3584,233.09,1433.0,325.41,427.58,65312.0
612.0,1145779.1109115006,-580798.1317370455,3710.7293595100796,33.3984508468082,-97.61663042734048,12174.0,0.5584,353.59,1200.0,340.41,369.38,64943.0
918.0,1127337.665278616,-528981.1014509295,5577.154043390835,33.8799142196618,-97.74426860830118,18298.0,0.7377,456.23,700.0,355.22,352.26,64591.0
1224.0,1121391.9161575455,-457904.7368986002,6666.12161695355,34.51772285986342,-97.71168472565643,21870.0,0.7655,466.77,404.0,340.22,311.17,64280.0
1530.0,1096621.9701199548,-389035.0435732609,7294.301464476904,35.15797792726415,-97.88584624242469,23931.0,0.7809,472.12,729.0,325.22,327.04,63952.0
1837.0,1054544.6814115657,-328452.7726593179,8428.56812706078,35.74427846865542,-98.26347364789922,27653.0,0.8031,478.08,290.0,310.22,271.51,63681.0
2143.0,997243.0062184968,-279997.9462978209,8880.175974251968,36.238390368409334,-98.83068477688256,29134.0,0.8101,479.2,5.0,302.43,239.33,63442.0
2449.0,933554.4932541096,-239538.6011337597,8887.287821798662,36.66538709094218,-99.4859460513792,29158.0,0.8119,480.2,3.0,302.45,239.24,63202.0
2755.0,869748.9742044848,-198968.07809859427,8891.647130364947,37.09005387330508,-100.14947200057118,29172.0,0.8136,481.19,-19.0,302.38,237.54,62965.0
3061.0,805745.9802258253,-158384.8985198725,8862.306489866654,37.51147075966224,-100.82246043168078,29076.0,0.8149,482.16,-45.0,302.9,236.16,62729.0
3367.0,741967.3761992593,-117125.62414745544,8791.825357190504,37.935079999518884,-101.49960717235177,28845.0,0.8156,483.06,-119.0,303.54,231.64,62497.0
3673.0,678484.4884086656,-75045.92971144107,8607.410238334849,38.36207953446799,-102.18018743640607,28240.0,0.8144,483.61,-500.0,303.69,204.02,62293.0
3979.0,614781.785532024,-32579.911301933924,7829.953128294476,38.78892193675101,-102.87077708685094,25689.0,0.8009,480.73,-500.0,303.77,218.09,62075.0
4285.0,551524.0181792395,9716.103778847673,7052.4960180706485,39.210059879199314,-103.56441973312508,23138.0,0.7837,475.39,-1.0,306.93,272.0,61803.0
4591.0,491683.57457834773,54691.25811634876,7050.969296189165,39.64932172021019,-104.2243625926248,23133.0,0.5837,354.08,499.0,294.35,247.68,61555.0
4897.0,441157.8330221945,77555.41177930527,7826.8996837664035,39.88188061215055,-104.79816601593544,25679.0,0.7318,439.25,456.0,279.35,267.72,61288.0
5203.0,373247.05004162504,88734.57406121875,8536.691791840965,40.014603183938696,-105.5866926161568,28008.0,0.82,487.4,-44.0,277.75,243.73,61044.0
5510.0,297164.4320816166,99086.61040689464,8469.02679099465,40.13752899055462,-106.47464257191601,27786.0,0.82,487.86,-40.0,278.34,245.44,60798.0
5816.0,221122.7894067874,110227.81499535807,8406.308533768077,40.26084974956505,-107.36494184587512,27580.0,0.82,488.28,-38.0,278.37,246.89,60551.0
6122.0,145022.80470028825,121418.58494425492,8347.699889800057,40.37790049490722,-108.25905320694373,27387.0,0.82,488.68,-35.0,278.36,248.34,60303.0
6428.0,68860.68208244763,132604.7456917444,8292.576839624106,40.48812734887495,-109.15689494403773,27207.0,0.82,489.06,-500.0,278.23,213.21,60090.0
6734.0,-7760.364029833335,143688.9651876609,7515.119729354336,40.59058513197521,-110.06300726864978,24656.0,0.8025,483.73,-0.0,275.91,265.46,59824.0
7040.0,-83525.10814289762,151530.90003141377,7515.119717792028,40.65699441155666,-110.96119913918369,24656.0,0.6025,363.17,500.0,276.28,239.38,59585.0
7346.0,-140060.5127152224,157755.9079844192,8292.576815959164,40.705443418043124,-111.63261583281476,27207.0,0.4025,240.03,419.0,291.28,275.36,59310.0
7652.0,-175113.62620270078,171410.86215574198,8943.719930902382,40.821617104260035,-112.05211012006046,29343.0,0.6025,356.05,-81.0,306.28,167.13,59143.0
7958.0,-220347.69130578224,204618.4392609151,8817.405936457792,41.10938975943352,-112.6011198893136,28928.0,0.8025,475.09,-500.0,321.28,189.82,58953.0
8264.0,-267391.75401812454,263304.2211529468,8039.948827017316,41.622873770022885,-113.18780565557987,26378.0,0.82,490.77,-26.0,314.25,255.35,58697.0
8570.0,-322758.90900587355,317246.3721204088,7998.993561732449,42.08744385740849,-113.88212801057719,26243.0,0.82,491.04,-337.0,314.19,232.82,58465.0
8876.0,-378404.137374276,371330.7451000494,7474.4005666817075,42.54891439621044,-114.59012647834983,24522.0,0.8072,486.83,-500.0,314.13,229.25,58235.0
9183.0,-433710.7135543884,424985.95843713987,6696.94345656287,43.002298732294044,-115.30413725984404,21972.0,0.7641,465.71,-0.0,318.07,266.6,57969.0
9489.0,-482713.42003765696,479542.2016343265,6696.943452466858,43.46313701438218,-115.95165113699751,21972.0,0.5641,343.82,500.0,303.07,234.71,57734.0
