ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,1178711.4994443147,-621124.3164297015,30.480000000077954,33.00163999996699,-97.32074999997262,100.0,0.189,124.98,1404.0,310.41,561.56,65738.0
308.0,1163901.2901031678,-608515.569049981,2228.9813376169764,33.1311352398371,-97.46096609854753,7313.0,0.389,250.77,1722.0,295.41,451.46,65287.0
617.0,1128643.9382770362,-591766.9180130946,4925.527909311567,33.32102757642776,-97.81390140561415,16160.0,0.589,367.33,1222.0,281.35,363.26,64924.0
925.0,1072257.4684892779,-580447.4444518895,6839.0425559064415,33.48513491854842,-98.40109822075875,22438.0,0.7684,467.43,722.0,284.89,336.79,64587.0
1233.0,1001168.9190212957,-561539.3668135782,7969.525175756405,33.72910924132933,-99.13913534599003,26147.0,0.7926,474.83,392.0,286.24,290.29,64297.0
1541.0,929176.2322005038,-540575.0633678159,8583.080989106113,33.98765533459944,-99.88888727682985,28160.0,0.8031,477.01,38.0,299.8,249.1,64048.0
1850.0,863558.6502497502,-502990.0491598168,8643.0916473811,34.38403625530133,-100.55691221512215,28357.0,0.8054,477.98,17.0,314.8,246.35,63801.0
2158.0,809782.922629335,-449581.74007610924,8669.168727220864,34.908050165706435,-101.08641543937323,28442.0,0.8073,478.94,-145.0,329.8,232.3,63569.0
2466.0,771518.4544455409,-383827.30927445716,8442.203831321687,35.527565220820875,-101.44001157601544,27698.0,0.8057,479.55,-500.0,334.98,206.7,63362.0
2775.0,739180.3034023609,-314540.4795090618,7659.1718041188005,36.17306111832312,-101.72952314956218,25129.0,0.7721,464.5,-240.0,320.16,232.75,63129.0
3083.0,691869.878955926,-257830.20850026148,7283.7101392006725,36.717000409913744,-102.20253632531367,23897.0,0.7853,474.9,-499.0,305.24,227.69,62902.0
3391.0,630036.584402589,-214146.73482584234,6501.884877110478,37.15283674633552,-102.85678058641224,21332.0,0.716,437.52,-227.0,293.7,234.32,62667.0
3699.0,566354.176067241,-186187.6540642881,6146.122710818038,37.4454401846815,-103.55171324128308,20164.0,0.516,316.79,210.0,278.73,216.69,62451.0
4008.0,516803.09978459636,-178582.90028227455,6475.28848296747,37.54344597392197,-104.10633311730999,21244.0,0.7096,433.78,-111.0,289.98,241.63,62209.0
4316.0,452073.5587622461,-155055.1749672135,6300.901896639692,37.78945695685591,-104.82443890934927,20672.0,0.6986,428.02,389.0,275.62,285.49,61924.0
4624.0,384792.03305160825,-148433.1446991611,6909.533087374806,37.880422510347614,-105.58557243413163,22669.0,0.4986,303.04,500.0,290.49,249.68,61674.0
4932.0,340014.8586923285,-131702.49690532256,7692.556848605951,38.048878051447716,-106.08723053970917,25238.0,0.6068,364.92,219.0,305.48,216.31,61458.0
5241.0,293001.8939030649,-98187.05922671409,8035.074208677596,38.366728214980405,-106.60972629718849,26362.0,0.8068,482.91,71.0,320.48,262.41,61195.0
5549.0,244308.86596209568,-39149.240673292734,8146.672498019696,38.91210642726543,-107.14701307323193,26728.0,0.8127,485.69,159.0,323.71,268.6,60927.0
5857.0,198794.52242525882,22828.552108610253,8394.936399640832,39.48077150078832,-107.6545675377638,27542.0,0.8192,487.86,29.0,308.71,254.08,60673.0
6166.0,138437.9613171011,71197.6370960872,8440.64222990473,39.927466675628864,-108.34754145366907,27692.0,0.7562,450.07,-73.0,297.99,217.85,60455.0
6474.0,75361.83558669327,104727.97723583672,8325.562389073,40.2368880565499,-109.08331325335384,27315.0,0.82,488.83,-500.0,283.67,213.93,60241.0
6782.0,-372.2849629108587,123145.6675810355,7542.534306403883,40.40587051330244,-109.97550652923886,24746.0,0.7923,477.43,-336.0,287.05,234.75,60006.0
7090.0,-73016.52500487494,145427.4425469845,7016.374323617771,40.60308718843858,-110.83593625329672,23020.0,0.5923,359.45,-6.0,301.74,190.97,59815.0
7399.0,-121498.58437110216,175421.3982646749,7007.533470776395,40.867173863117,-111.41587884725253,22991.0,0.4568,277.27,-143.0,316.74,159.42,59656.0
7707.0,-151676.7081120077,207494.31604098668,6783.350182258286,41.15059814023612,-111.78246616228861,22255.0,0.6568,399.86,357.0,326.15,249.96,59406.0
8015.0,-186867.52434597112,259960.7793639773,7342.131241344352,41.61505531377148,-112.21858437766727,24088.0,0.6375,385.22,469.0,311.15,245.45,59160.0
8324.0,-232638.1625678676,299958.13851978566,8077.048437974955,41.96282956380283,-112.78422073482493,26500.0,0.82,490.52,-27.0,300.45,256.34,58904.0
8632.0,-299723.40346104495,339389.0977883943,8034.374357730838,42.29513657168246,-113.6145728860001,26359.0,0.82,490.81,-371.0,308.25,231.06,58673.0
8940.0,-361097.18938135135,387764.1956944491,7453.674933192686,42.704374296833215,-114.38948842619094,24454.0,0.8058,486.17,-484.0,305.56,232.16,58441.0
9248.0,-424136.5423514341,432834.82132041187,6696.237999486789,43.07785236530119,-115.19255608061056,21969.0,0.6488,395.42,16.0,298.78,213.55,58227.0
9557.0,-479093.82959564205,463019.00907710084,6721.817883696987,43.31724297269126,-115.89278858919312,22053.0,0.609,371.05,487.0,283.78,244.99,57982.0
9865.0,-535949.9512026929,476965.05231329123,7484.242404124648,43.40571142143795,-116.60629559456895,24555.0,0.8089,487.84,237.0,298.71,286.28,57696.0
10173.0,-603631.7226521188,514041.8824175773,7855.367582471755,43.68859431867041,-117.4805702730872,25772.0,0.82,492.01,-22.0,302.59,261.27,57435.0
10482.0,-669390.2652193063,556082.4484160753,7820.354321234535,44.01087472172007,-118.3451718118589,25657.0,0.82,492.25,-259.0,316.45,244.56,57190.0
10790.0,-723324.8127695288,612820.6770149571,7415.101350751365,44.46892644813961,-119.09136408545282,24328.0,0.8096,488.72,-500.0,310.52,233.43,56957.0
11098.0,-782556.0032469244,663438.1021850142,6632.069608918499,44.86203590052007,-119.90690786937631,21759.0,0.7878,480.55,-1000.0,299.73,207.91,56749.0
11406.0,-849405.8243287696,701613.0316416976,5066.006233860663,45.13012301224785,-120.8093964696533,16621.0,0.7,435.78,-1500.0,288.39,153.46,56595.0
11715.0,-915922.5252969849,723723.5305236878,2716.9123344626523,45.24904754159938,-121.68720951711575,8914.0,0.5,320.44,-1108.0,303.39,88.94,56506.0
12023.0,-958770.7254225627,751962.8470926781,982.2185123944346,45.44626097095627,-122.28086835361214,3223.0,0.3,196.23,-608.0,310.41,65.26,56441.0
12331.0,-982585.903988538,772238.0230252855,30.47999999999883,45.595098465861724,-122.62151183035459,100.0,0.1,66.13,-108.0,317.43,560.23,55881.0
