ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,685278.5460278582,-336.3267206105864,30.480000303759745,33.001640000088415,-97.32075000106728,100.0,0.3,198.38,2414.0,276.08,296.03,66004.0
167.0,668650.1698283824,1434.2396661371733,2078.240697528119,33.027858139719854,-97.49734665668782,6818.0,0.5,322.89,2043.0,272.66,251.06,65753.0
334.0,641278.3649355292,2703.954052820893,3811.793127293894,33.05574461621502,-97.78942491816632,12506.0,0.5597,353.95,1703.0,272.65,227.51,65525.0
501.0,611206.6699733445,4093.4788596121466,5256.303722090079,33.085551938485004,-98.11052680565719,17245.0,0.6127,380.5,1486.0,272.61,210.44,65315.0
668.0,578838.5352187876,5571.514208702239,6517.125221517787,33.11656210409029,-98.45640020339992,21382.0,0.6646,406.01,1282.0,272.57,195.13,65120.0
835.0,544259.0929338266,7124.176122141106,7605.083689956421,33.14840360644756,-98.82618348691969,24951.0,0.7157,430.93,1088.0,272.5,181.72,64938.0
1002.0,507514.5857261092,8726.577800139785,8528.506951414296,33.18062063748834,-99.2194342832872,27981.0,0.7631,453.61,915.0,272.42,170.46,64768.0
1169.0,468795.89137169207,10360.482303626559,9305.080837015614,33.212746572802004,-99.63414776969536,30528.0,0.7899,464.41,1001.0,272.33,170.03,64598.0
1336.0,429179.5522328436,11974.317816139835,10154.311811145095,33.243679080297696,-100.0588110730315,33315.0,0.7879,457.61,501.0,272.23,139.3,64458.0
1503.0,390017.0206833816,13498.9625922218,10579.334880199127,33.27220963538833,-100.47892838245414,34709.0,0.7687,443.69,1.0,272.12,109.86,64348.0
1670.0,351921.6762690851,14912.494572557855,10580.150044227712,33.29798746793937,-100.88788107988894,34712.0,0.7731,446.23,16.0,272.0,110.86,64238.0
1837.0,313608.77686337644,16253.63865246334,10593.96439411576,33.32184394961255,-101.29943420530938,34757.0,0.7743,446.79,22.0,271.89,111.03,64127.0
2004.0,275246.774966999,17520.552213488078,10612.823657057266,33.343694066114985,-101.71175692763902,34819.0,0.7742,446.63,21.0,271.79,110.7,64016.0
2171.0,236895.86647027454,18716.39705496415,10630.392146960396,33.36354556338086,-102.12417906430258,34877.0,0.7744,446.64,21.0,271.68,110.47,63905.0
2338.0,198541.38213349026,19843.975446988326,10648.053678571618,33.38142551410374,-102.53683618615791,34935.0,0.7746,446.64,21.0,271.59,110.22,63795.0
2505.0,160185.00012861975,20908.037752699485,10665.526624617632,33.39737422387136,-102.94968801944619,34992.0,0.7749,446.66,20.0,271.51,109.94,63685.0
2672.0,121825.03966389368,21918.440741929153,10682.797548321856,33.41147876314048,-103.36273048627754,35049.0,0.7751,446.71,21.0,271.45,109.76,63575.0
2839.0,83459.66390387435,22887.00040541464,10700.234466117445,33.423843826001274,-103.77596263095819,35106.0,0.7754,446.73,21.0,271.4,109.53,63466.0
3006.0,45091.42286742676,23823.967171486063,10717.78693467327,33.4345597889314,-104.18933828019898,35163.0,0.7756,446.72,21.0,271.37,109.29,63357.0
3173.0,6722.175697631042,24739.62471359968,10735.348590278043,33.44371779477005,-104.60282047677815,35221.0,0.7758,446.72,21.0,271.35,109.05,63248.0
3340.0,-31647.579243742144,25645.378410875823,10752.929799872585,33.451419082081195,-105.01638851966483,35279.0,0.776,446.71,21.0,271.36,108.81,63139.0
3507.0,-70017.23914444809,26555.60321183345,10770.485178856059,33.45779259635905,-105.430022504014,35336.0,0.7761,446.71,21.0,271.39,108.57,63030.0
3674.0,-108386.85453255166,27484.279384004483,10788.092699772093,33.462963730385034,-105.8437123751316,35394.0,0.7763,446.69,21.0,271.43,108.33,62922.0
3841.0,-146755.7369246674,28440.398012959675,10805.581505521157,33.46701297496904,-106.25744156943384,35451.0,0.7765,446.7,21.0,271.48,108.1,62814.0
4008.0,-185125.4611022854,29433.001430538494,10823.1072239,33.470021025483156,-106.67121943302256,35509.0,0.7767,446.7,21.0,271.55,107.86,62706.0
4175.0,-223495.59703374148,30472.364000895344,10841.060253012974,33.47207986703521,-107.08503554247268,35568.0,0.7769,446.64,22.0,271.63,107.67,62598.0
4342.0,-261860.76724079848,31567.35352215437,10859.438104557898,33.47327010271066,-107.49882749394374,35628.0,0.7769,446.52,18.0,271.73,107.22,62491.0
4509.0,-300216.54606229474,32724.144532066664,10874.564609857673,33.47364861540981,-107.91254377511272,35678.0,0.7777,446.92,46.0,271.82,108.42,62383.0
4676.0,-338601.3430999633,33942.52155593811,10913.243008244914,33.473202016437284,-108.32659308168513,35805.0,0.772,443.38,-80.0,271.91,101.4,62281.0
4843.0,-376708.44283191854,35214.08267273345,10845.136031726339,33.471958801838106,-108.73766234268722,35581.0,0.7625,438.35,-580.0,272.0,76.3,62205.0
5010.0,-414484.49765671813,36536.108907772425,10352.821150139209,33.469944329824514,-109.14517111235732,33966.0,0.7032,407.22,-1080.0,272.09,47.49,62157.0
5177.0,-449671.3600426374,37821.51548073797,9436.298363495187,33.46735738731241,-109.52475373280103,30959.0,0.6464,379.33,-1266.0,272.18,35.27,62122.0
5344.0,-482470.7215615499,39071.985779486124,8361.888038557001,33.46437693786239,-109.87858434151943,27434.0,0.5957,354.97,-1299.0,272.25,30.51,62092.0
5511.0,-513157.9604318692,40278.218029147865,7259.379779751356,33.46100682188975,-110.209625190314,23817.0,0.5517,333.72,-1303.0,272.32,27.38,62064.0
5678.0,-541998.0639347719,41448.263472038336,6154.210119513575,33.45736682821772,-110.52073560681512,20191.0,0.5134,315.12,-1293.0,272.37,25.18,62039.0
5845.0,-569220.8204907135,42572.67407891922,5057.618187693796,33.45339949022717,-110.81438532656257,16593.0,0.4793,298.44,-1275.0,272.43,23.53,62016.0
6012.0,-594991.7513092619,43664.91439398474,3975.9491024745844,33.449257043562156,-111.0923659712128,13044.0,0.449,283.38,-1253.0,272.44,22.72,61993.0
6179.0,-619453.6955176444,44705.40871155456,2912.802250451651,33.44478637285212,-111.35620338658032,9556.0,0.4221,269.89,-1230.0,272.48,24.05,61969.0
6346.0,-642741.9506151761,45715.19035628194,1869.1961250855102,33.44018470778477,-111.60736884290222,6133.0,0.3984,257.91,-1208.0,272.48,25.4,61943.0
6513.0,-664989.6067205141,46677.67738215189,844.2071736513919,33.43529770539162,-111.84728358534186,2770.0,0.3,196.55,-959.0,276.08,27.79,61916.0
6680.0,-681840.3496798449,48471.92107238645,30.479999697183704,33.44082743628195,-112.02979001340586,100.0,0.2016,133.32,-710.0,279.68,41.1,61875.0
