ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,685278.546208932,-336.3267234235433,30.479999998949367,33.00163999994901,-97.32074999913245,100.0,0.1573,104.01,914.0,276.08,300.83,65999.0
164.0,676603.5288484361,587.377811482787,793.5249843301234,33.0153486606323,-97.41286738057416,2603.0,0.1694,111.06,918.0,273.02,298.86,65700.0
329.0,667297.6070607909,1078.9110069871065,1560.1371979726853,33.025507868527505,-97.51208107935163,5119.0,0.1827,118.72,923.0,258.02,295.82,65404.0
493.0,657550.7664756227,-988.6625457563076,2330.951569193195,33.012934476587446,-97.61788152080045,7647.0,0.231,148.71,1328.0,243.02,287.61,65117.0
657.0,646461.7851467335,-6633.048021704807,3440.00332305922,32.96902758293129,-97.74054279616428,11286.0,0.3366,213.82,1828.0,258.02,264.45,64852.0
822.0,629003.9929323114,-10336.326678318537,4966.55891729495,32.946087189590955,-97.92983978619233,16294.0,0.5366,334.46,1449.0,272.61,202.31,64650.0
986.0,600995.7446483291,-9060.44808818516,6176.212461523053,32.97336101796157,-98.22858815229948,20263.0,0.7227,443.53,949.0,269.78,188.02,64462.0
1151.0,563695.0072726432,-9201.177717198712,6968.362150977821,32.99208404578242,-98.62787191039538,22862.0,0.7731,469.46,725.0,269.15,178.38,64284.0
1315.0,524167.57039600465,-9785.528818228882,7573.430128012637,33.006630734700444,-99.05141974357501,24847.0,0.7868,473.9,732.0,269.65,173.24,64110.0
1479.0,484267.35977775167,-10030.468925012965,8184.9466737982075,33.02295461795393,-99.4789137177172,26853.0,0.7988,477.1,569.0,269.92,160.48,63950.0
1644.0,444059.37499886955,-10088.500079133011,8659.659527436757,33.03962122378373,-99.90976638901667,28411.0,0.8063,478.42,69.0,269.96,133.58,63816.0
1808.0,403620.146194791,-10114.952723044935,8716.869265727048,33.055173491963544,-100.34324009015664,28599.0,0.8078,478.94,24.0,269.93,131.02,63685.0
1972.0,363126.36977498495,-10162.74347072434,8736.790689912405,33.06905008976292,-100.7774531706396,28664.0,0.8089,479.46,29.0,269.89,131.1,63554.0
2137.0,322590.25430703966,-10237.626388786377,8761.054311239575,33.081188160077275,-101.21225967184975,28744.0,0.8101,479.98,12.0,269.86,130.14,63424.0
2301.0,282006.3497359219,-10336.320861370092,8770.721274784295,33.09161255944052,-101.64769897225496,28775.0,0.811,480.49,-3.0,270.0,129.43,63295.0
2466.0,241375.28283055458,-10336.326556229023,8768.191217730691,33.101417755917666,-102.08371406809216,28767.0,0.8119,481.0,22.0,270.0,130.63,63164.0
2630.0,200707.22589115458,-10336.326533794496,8786.9510260025,33.109709049470226,-102.52021605099681,28829.0,0.813,481.52,20.0,270.0,130.41,63034.0
2794.0,159994.82288703023,-10336.326620226828,8803.25622945409,33.11648254610891,-102.95726901070509,28882.0,0.814,482.03,12.0,270.0,129.94,62904.0
2959.0,119237.1265607674,-10336.32667072263,8813.514182694214,33.121732728356896,-103.39486815055149,28916.0,0.815,482.54,4.0,270.0,129.54,62774.0
3123.0,78434.32503191786,-10336.326707577527,8817.254112855842,33.125453985705505,-103.83299636486454,28928.0,0.8159,483.05,-5.0,270.0,129.16,62645.0
3287.0,37586.47238619625,-10336.326735085642,8812.82509538374,33.127640876355066,-104.27163787372346,28913.0,0.8167,483.54,-15.0,270.0,128.83,62516.0
3452.0,-3305.531516998503,-10336.326742745012,8800.090655524977,33.128288068234035,-104.71076723568511,28872.0,0.8173,484.02,-13.0,270.0,129.1,62387.0
3616.0,-44237.377220716495,-10336.326795317445,8789.182760317162,33.12738972637373,-105.15032372794629,28836.0,0.818,484.49,101.0,278.0,134.23,62253.0
3781.0,-84782.88570111689,-4636.18106192467,8873.200746531807,33.17623511232085,-105.58624751303734,29112.0,0.82,485.1,-70.0,293.0,126.0,62127.0
3945.0,-122556.8620861952,11399.911569031465,8814.86283365694,33.316813688661064,-105.99426030829558,28920.0,0.82,485.5,-64.0,308.0,126.92,62000.0
