ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,685278.5461757195,-336.3267234799885,30.480000003291465,33.001639999969456,-97.32074999948777,100.0,0.2299,152.02,1885.0,276.08,291.3,66009.0
161.0,672945.6027510015,976.86817329595,1574.3056834091647,33.02110903093153,-97.45171831195174,5165.0,0.4299,279.27,1583.0,285.38,223.54,65785.0
322.0,650820.7072083665,7064.40626884161,2870.430662133,33.089123898631215,-97.68414683396695,9417.0,0.6299,402.94,1083.0,270.38,211.61,65574.0
484.0,617595.9686545068,7287.046748552606,3757.091013679614,33.11055080903996,-98.03991560141063,12326.0,0.6889,435.96,671.0,264.35,198.17,65375.0
645.0,581743.3018052547,3740.095738478957,4306.468583871256,33.098588960950764,-98.42643811461345,14129.0,0.7037,442.28,171.0,269.33,172.23,65203.0
806.0,545098.798409197,3312.821301268418,4446.381526486219,33.11380047606175,-98.81946561901219,14588.0,0.644,404.09,671.0,284.33,176.07,65027.0
967.0,512746.38828984974,11578.570520432198,4995.75906915029,33.2037406665631,-99.1616813178609,16390.0,0.444,276.68,1171.0,299.33,190.22,64837.0
1128.0,492882.6573057753,22740.15195070009,5954.601199592006,33.313120949211125,-99.36881407477262,19536.0,0.5456,335.77,1087.0,289.5,174.35,64663.0
1290.0,466800.54240420094,31977.396713694634,6844.810359026614,33.40761588725383,-99.64437941366864,22457.0,0.7455,453.47,634.0,274.5,167.04,64495.0
1451.0,429442.997416088,34918.88638292244,7363.651410465678,33.449561085267916,-100.0450363148796,24159.0,0.5455,329.51,1134.0,259.5,173.86,64322.0
1612.0,402758.31586945243,29974.191288816117,8291.956930196795,33.41547458610351,-100.33462564840039,27205.0,0.7455,444.63,634.0,244.5,150.63,64171.0
1773.0,369599.06381211034,14159.540688965595,8810.797954076363,33.28532004931771,-100.69812448768188,28907.0,0.8062,477.37,134.0,259.5,132.3,64039.0
1934.0,330702.931457513,6952.05291579763,8920.1745197409,33.23317742805141,-101.11897019002723,29266.0,0.808,477.71,-321.0,270.8,110.85,63928.0
2096.0,291016.744771616,7508.903293364923,8657.136497886007,33.249590847942066,-101.54529425985405,28403.0,0.8064,478.48,132.0,272.02,133.83,63794.0
2257.0,251390.50701211873,8905.165013633743,8765.442337773855,33.27208248904484,-101.97089304941454,28758.0,0.8084,478.98,-231.0,272.69,116.68,63677.0
2418.0,211659.2958461482,10771.219456322491,8576.627163413594,33.29737118466677,-102.39772271973736,28139.0,0.807,479.39,269.0,287.69,140.68,63537.0
2579.0,173841.51387140376,22832.437975851626,8797.27660359688,33.4125596254313,-102.80223206460363,28862.0,0.8105,480.0,101.0,272.69,131.19,63405.0
2741.0,134101.00513369148,24698.92905331953,8879.9376512768,33.43502209804984,-103.23007028731297,29134.0,0.8123,480.48,-333.0,261.42,111.27,63294.0
2902.0,94624.46802319231,18745.8852213383,8607.625104301867,33.38568203982608,-103.65610146947627,28240.0,0.8098,480.85,167.0,262.98,136.02,63158.0
3063.0,55084.15935715999,13878.397279091443,8744.776920817703,33.344654793063846,-104.08226246713511,28690.0,0.8124,481.49,-214.0,268.67,118.08,63040.0
3224.0,15115.262356407937,12947.770671853925,8569.157022088388,33.33758614312547,-104.51256085974323,28114.0,0.8108,481.7,-714.0,281.26,97.95,62942.0
3385.0,-24219.01716054251,20782.388945870498,7984.072801760981,33.40787819618801,-104.93618769876716,26194.0,0.8012,479.86,-214.0,296.26,125.5,62817.0
3547.0,-59949.1131228512,38413.97698610356,7808.453016680742,33.56504182731368,-105.32229095039384,25618.0,0.7982,479.24,-714.0,292.21,105.25,62711.0
3708.0,-96886.55633172486,53497.250245953954,7223.458136319932,33.697980019161825,-105.72257099314979,23699.0,0.7856,475.42,-937.0,277.21,100.52,62611.0
3869.0,-136196.30406526,58471.92115573993,6456.444395368743,33.738433645318814,-106.14820724839883,21183.0,0.6541,399.92,-437.0,270.0,95.66,62515.0
4030.0,-169438.36627970502,58471.92090529423,6098.892531141299,33.73368747676713,-106.50764646092128,20009.0,0.4977,305.71,63.0,270.0,102.44,62413.0
4191.0,-194782.68444340918,58471.92095851409,6150.583565954119,33.72937573948837,-106.78166004592903,20179.0,0.495,303.88,552.0,270.0,135.58,62277.0
4353.0,-219905.33149026235,58471.920926672705,6603.035152738903,33.724509994974206,-107.05324808019921,21664.0,0.6788,414.22,641.0,270.0,153.91,62123.0
4514.0,-254133.59681617175,58471.92104943574,7128.038173275176,33.716932899495724,-107.42321924273406,23386.0,0.7854,475.96,249.0,266.76,153.16,61970.0
4675.0,-293487.8482987368,56245.266913704276,7331.70499395154,33.686862318419784,-107.84777386100055,24054.0,0.7207,435.5,741.0,252.24,157.84,61812.0
4836.0,-327736.50148628844,45273.421123176326,7938.915906931097,33.57836331847257,-108.21367822734598,26046.0,0.7931,475.31,650.0,256.18,159.93,61652.0
4997.0,-365869.5430961615,35892.04038573309,8470.858914227516,33.48178777465677,-108.62116690209729,27792.0,0.8169,486.02,157.0,261.85,137.27,61515.0
5159.0,-405733.4114969506,30186.573795399952,8599.578687321335,33.41626536710058,-109.04803637840206,28214.0,0.82,486.97,-44.0,271.7,127.68,61387.0
5320.0,-446111.1136122374,31382.815423408425,8563.246824051104,33.41104339929697,-109.4832103560882,28095.0,0.82,487.22,-384.0,271.61,113.77,61274.0
5481.0,-486588.1907069046,32522.991164095674,8248.873183891203,33.40375882535599,-109.91936332974254,27063.0,0.8145,486.09,-884.0,271.75,95.68,61178.0
5642.0,-527076.2875240231,33761.38580818685,7525.034921034134,33.39582876569458,-110.35561179827867,24688.0,0.7986,481.35,-1384.0,274.2,80.84,61097.0
5803.0,-567177.659462377,36706.22676465101,6391.732031951919,33.40188019024093,-110.78869217362714,20970.0,0.7697,471.03,-1884.0,273.12,68.09,61029.0
5965.0,-606547.0451522468,38851.06289581602,4848.964517932165,33.39966847166667,-111.21341493657545,15909.0,0.6779,423.19,-2384.0,273.75,34.43,60995.0
6126.0,-641943.3011078362,41172.52931872747,2896.7323913887217,33.39996726303974,-111.59553178800853,9504.0,0.4779,305.62,-2000.0,282.9,22.8,60972.0
6287.0,-666840.9471702095,46874.804996629784,1258.873889874683,33.43591835593768,-111.86733387050904,4130.0,0.2779,181.2,-1500.0,276.08,26.73,60945.0
6448.0,-681840.349807176,48471.92117651583,30.480000002170158,33.44082743713367,-112.0297900148539,100.0,0.0779,51.51,-1000.0,269.26,296.46,60649.0
