ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,927860.6294030553,-16062.468948935768,30.480000303211504,33.001640000972806,-97.3207500009657,100.0,0.3,198.38,2414.0,279.26,387.24,65913.0
218.0,906351.0238715549,-12555.874431767155,2709.211462823623,33.051196206541746,-97.54690293854715,8888.0,0.5,320.47,1987.0,273.76,321.23,65592.0
437.0,870958.4208094038,-10231.142029852934,4914.544079865692,33.10110594470465,-97.92287907858184,16124.0,0.6018,375.39,1528.0,273.75,280.21,65311.0
655.0,829348.8706475993,-7502.751778967847,6610.285361557618,33.158306304235836,-98.36543984962351,21687.0,0.6702,408.93,1260.0,273.75,253.6,65058.0
874.0,783935.6098343957,-4527.281453100564,8008.237834348946,33.21893935860304,-98.84910647410994,26274.0,0.7369,441.23,1009.0,273.74,231.16,64827.0
1092.0,734847.3912123601,-1314.35943518616,9128.528972481938,33.28235747986325,-99.37265487185539,29949.0,0.779,459.17,857.0,273.73,214.45,64612.0
1311.0,683707.7655981407,2022.7903417958307,10079.127831665754,33.346015872050735,-99.91888257526114,33068.0,0.7864,457.25,446.0,273.73,179.3,64433.0
1529.0,632613.7102779023,5350.370409738593,10573.964010093185,33.40718481831728,-100.46540856755153,34691.0,0.7711,445.08,10.0,273.72,144.58,64288.0
1748.0,582699.1387239323,8592.770075199933,10584.653150021659,33.464567076865535,-101.00005044051709,34727.0,0.7743,446.88,23.0,273.7,145.48,64143.0
1966.0,532586.6071425745,11835.159184145583,10609.916362127593,33.519766944479855,-101.53751613053637,34809.0,0.7741,446.59,21.0,273.69,144.86,63998.0
2185.0,482505.12824348314,15065.756009997503,10633.104526494575,33.57253998933356,-102.07532303994792,34886.0,0.7743,446.58,21.0,273.68,144.45,63853.0
2403.0,432423.9634022685,18286.803240240824,10656.657445253437,33.622915515641594,-102.61377237433078,34963.0,0.7745,446.5,21.0,273.67,144.02,63709.0
2622.0,382349.75003858947,21497.554155827256,10680.051989816548,33.670877226337595,-103.15276432272815,35040.0,0.7747,446.44,21.0,273.66,143.59,63566.0
2840.0,332280.9168769252,24698.866896589385,10703.503015013934,33.71642736493935,-103.6922864384093,35116.0,0.7748,446.37,21.0,273.65,143.17,63423.0
3059.0,282219.1191259866,27890.893316020607,10726.862999974817,33.75956102760201,-104.23229153336976,35193.0,0.7749,446.3,21.0,273.64,142.75,63280.0
3277.0,232163.39815382904,31073.031535766873,10750.234381535387,33.800267759243646,-104.7727605812833,35270.0,0.7751,446.22,21.0,273.63,142.32,63138.0
3496.0,182114.2898419916,34245.37129855088,10773.58615353257,33.838543226902935,-105.31365783804965,35346.0,0.7752,446.15,21.0,273.62,141.9,62996.0
3714.0,132071.61564499213,37408.850649771186,10797.006675992841,33.87439126380265,-105.8549549103274,35423.0,0.7753,446.06,21.0,273.61,141.48,62854.0
3932.0,82036.3398729934,40563.86196848391,10820.469841739317,33.907811024082676,-106.39661105099817,35500.0,0.7754,445.96,21.0,273.6,141.05,62713.0
4151.0,32008.569078912464,43710.162015451715,10843.989072982948,33.93879645811739,-106.93859473617712,35577.0,0.7755,445.87,21.0,273.59,140.63,62573.0
4369.0,-18011.793308170872,46847.657538411324,10867.58613089994,33.967342923309545,-107.48087640521794,35655.0,0.7756,445.77,21.0,273.58,140.21,62432.0
4588.0,-68024.95393092201,49976.6926732384,10891.248930546113,33.99345031039182,-108.02342698985771,35732.0,0.7757,445.67,21.0,273.57,139.79,62293.0
4806.0,-118031.88249029993,53097.69309760189,10915.076451284469,34.01712000952978,-108.5662260041038,35811.0,0.7758,445.56,22.0,273.56,139.42,62153.0
5025.0,-168032.4130775023,56210.694740197236,10939.026491590697,34.038349927286006,-109.10924061120471,35889.0,0.7759,445.45,22.0,273.55,139.0,62014.0
5243.0,-218027.66253716394,59316.61136840977,10963.233048377371,34.05714590995125,-109.65245190546713,35969.0,0.776,445.33,22.0,273.55,138.58,61876.0
5462.0,-268016.85038906056,62417.14612335535,10987.597193792466,34.07352151236872,-110.1958206993112,36049.0,0.7761,445.21,22.0,273.54,138.15,61737.0
5680.0,-318001.4844181282,65513.666290046654,11012.238822417037,34.08748707345364,-110.73933278967574,36129.0,0.7761,445.16,22.0,273.54,137.73,61600.0
5899.0,-367981.26338139887,68607.20354743965,11037.050496186363,34.09905060382341,-111.28295441735806,36211.0,0.7762,445.2,23.0,273.54,137.36,61462.0
6117.0,-417957.98437986453,71699.0956754276,11062.284888105864,34.10822243042767,-111.82667489832822,36294.0,0.7762,445.21,21.0,273.54,136.81,61325.0
